Brand,Units
ASHWOOD,42815
FENLAND,2883
GABICCI,1325
MONOMOI,1093
COLLONIL,986
LORENZ,819
SIENNA DE LUCA,678
TRAPPER,536
BRAMPTON,505
ROXBIKE,477
NC,474
ESTIMO,399
LAKELAND,212
big 7,181
ORKIN OF LONDON,174
THE BRIDGE,152
MIXED,117
HEWITTS,80
Dawid Tomaszewski,40
TIDDY WADE,36
PRIVATE PLANET,29
TIGHA,21
TAURINUS,17
EDWARD ROBERTSON,16
BUGATTI,14
JOHN PARTRIDGE,14
winner,13
VIA VENETO,9
FILIPPIDIS PHILIPPOS,8
RUDSAK,6
CELTIC,5
DAVID MOORE,4
TAZZIO,3
MAPS,2
MARTA PONTI,2
TRING,2
JAMES LAKELAND,1
MARIA CARLA,1
MODE SHOW,1
STRELLSON,1
AL FRANCO,0
ANAPHORA,0
B4,0
BEN SHERMAN,0
BLACK LABEL,0
BLLOOM,0
CARLOS,0
COSTA,0
ENZI ZITO,0
ENZO DESIGN,0
EUREKA,0
G3000,0
GIPSY,0
HAMPTON LEATHER,0
KURT MULLER,0
LEATHER COMPANY,0
LONDON BROGUES,0
MANZONI,0
MCNEAL,0
MILESTONE,0
OAKWOOD,0
OFF TRACK,0
OFFSET,0
PEDAG,0
PETROFF,0
PROXIMO,0
QIPSY,0
RADLEY,0
REISENTHEL,0
ROGUE,0
SHEEPSKIN,0
STONES,0
TEODEM,0
