Landing page,Sessions,Users,New users,Engagement rate,Average engagement time per session,Key events,Total revenue
/,114375,89399,75738,0.46,59.33,974,119349.02
/mens-c4/leather-jackets-c25,39416,34963,30472,0.69,86.13,200,25404.59
/handbags-c6,32851,30592,27460,0.67,76.42,173,11978.59
/ladies-c3/leather-jackets-c9,26010,23248,19614,0.68,97.8,176,22229.64
/ladies-c3/fur-coats-c77/mink-coat-brown-imola-p1417/s7043,12185,10694,9955,0.34,13.29,0,0.0
/mens-c4/sheepskin-jackets-c26,11931,10667,9309,0.64,70.34,15,2578.49
/basket,10415,7121,2365,0.5,81.43,1517,147926.65
/christmas-deals-2023-c164,10019,5214,4820,0.39,10.79,10,776.74
/ladies-c3/sheepskin-jackets-c11,9848,9030,7714,0.69,86.36,20,8021.18
/handbags-c6/backpacks-c89,9129,8393,7653,0.71,67.02,60,4600.54
/luggage-c7,8991,7720,6640,0.52,50.64,47,5761.55
/ladies-c3/deals-for-her-c161,8860,5851,4262,0.53,54.69,55,4524.72
/mens-c4/man-bags-briefcases-c12,8788,8234,7257,0.74,91.3,81,5932.22
/mens-c4/man-bags-briefcases-c12/mens-vintage-wash-leather-a4-side-bag-rust-7994-p676/s4143,8256,7355,6496,0.61,53.38,78,5553.06
/mens-c4/man-bags-briefcases-c12/ashwood-mens-three-pocket-luxury-small-leather-flight-bag-tan-4551-p653/s4120,8127,7280,6485,0.67,63.51,104,6245.05
/luggage-c7/holdall-c15,7326,6679,5901,0.72,89.35,87,11381.04
/ashwood-m1,6375,5969,5213,0.76,111.67,43,3083.11
/sheepskin-fur-c5,5413,4804,3901,0.63,85.96,26,5626.25
/mens-c4,5020,4151,2786,0.65,131.53,54,6181.73
/mens-c4/leather-jackets-c25/leather-jacket-tan-edinburgh-p234/s1258,4993,4585,3985,0.68,62.28,41,4111.09
/handbags-c6/ashwood-c30,4871,4575,4038,0.73,110.52,42,2552.28
/handbags-c6/marta-ponti-m38,4826,4516,4323,0.63,31.29,0,0.0
/ladies-c3/14-card-rfid-protected-large-leather-purse-denim-blue-s1-p6704/s20034,4764,4425,3951,0.71,40.98,42,1691.73
/luggage-c7/holdall-c15/mens-large-leather-weekend-holdall-chestnut-vt-charles-p918/s5121,4750,4163,3591,0.63,59.52,53,7887.42
/mens-c4/leather-jackets-c25/trapper-m33,4533,4082,3810,0.66,51.71,5,1267.0
/gift-accessories-c8/mens-gloves-c37,4397,4061,3730,0.75,65.69,82,2951.48
/ladies-c3,4376,3819,2553,0.53,114.19,58,7665.41
/mens-c4/sheepskin-jackets-c26/sheepskin-coat-tan-hektor-p807/s4338,4345,3773,3530,0.45,19.15,0,0.0
/luggage-c7/backpacks-rucksacks-c52,4288,4024,3735,0.74,60.52,23,2175.82
/luggage-c7/mens-leather-suit-carrier-chestnut-harper-p595/s4062,4206,3730,3340,0.52,30.98,25,3520.51
/ladies-c3/sheepskin-jackets-c11/fur-poncho-blue-sian-p832/s4536,3927,3573,3309,0.45,14.59,0,0.0
/mens-c4/sheepskin-jackets-c26/sheepskin-flying-jacket-ginger-leo-p101/s762,3906,3321,2752,0.48,22.34,2,651.59
/ladies-c3/womens-medium-leather-wallet-purse-denim-blue-s3-p6716/s20046,3900,3486,3220,0.6,42.58,64,1550.96
/mens-c4/deals-for-him-c162,3771,2604,1822,0.55,68.7,31,2826.39
/luggage-c7/mens-weekend-leather-travel-holdall-chestnut-vt-albert-p628/s4095,3732,3400,3059,0.67,47.53,34,4461.83
/black-friday-c164,3686,3031,2439,0.51,70.8,32,4112.1
/mens-c4/leather-jackets-c25/biker-styles-c97,3665,3204,2458,0.7,83.24,9,1117.0
/mens-c4/man-bags-briefcases-c12/vintage-wash-leather-a4-side-bag-brown-7994-p1342/s6837,3500,3142,2637,0.64,58.43,38,2495.48
/mens-c4/man-bags-briefcases-c12/ashwood-mens-small-vintage-leather-travel-bag-rust-7993-p675/s4142,3483,3105,2613,0.59,48.58,44,2508.69
/handbags-c6/cross-body-bag-c87,3480,3291,2498,0.7,106.59,37,1781.75
/ladies-c3/michigan-leather-note-and-coin-rfid-purse-black-m-05-p6674/s19980,3478,2859,2475,0.42,25.6,36,1568.74
/sheepskin-fur-c5/ladies-fur-coats-c76/cropped-3-4-sleeve-mink-coat-brown-tiffany-p1397/s7010,3301,2926,2608,0.36,12.61,0,0.0
/handbags-c6/ashwood-c30/ladies-michigan-large-leather-handbag-cognac-m-61-p3992/s14417,3279,2979,2728,0.62,44.41,17,1391.98
/ladies-c3/sheepskin-jackets-c11/long-length-toscana-suede-leather-coat-tan-alaska-p883/s5016,3262,3026,2702,0.55,39.03,4,3962.45
/luggage-c7/wash-toiletry-bags-c55,3172,2933,2664,0.76,73.74,82,3782.1
/handbags-c6/ashwood-m1,3038,2754,2369,0.84,134.93,31,1640.7
/ladies-c3/michigan-leather-note-and-coin-rfid-purse-cognac-m-05-p6675/s19981,2996,2656,2355,0.62,42.13,40,1357.78
/ladies-c3/long-length-sheepskin-coat-black-brissa-3581-p5740/s17719,2986,2603,2239,0.56,34.95,1,449.1
/mens-c4/leather-jackets-c25/leather-jacket-tan-edinburgh-p234/s1256,2803,2503,2146,0.65,54.29,16,2436.14
/gift-accessories-c8/wallets-c16,2784,2661,2319,0.74,84.52,33,1242.41
/ladies-c3/sheepskin-jackets-c11/long-length-toscana-suede-leather-coat-tan-alaska-p883/s5019,2746,2516,2309,0.51,21.46,1,54.98
/mens-c4/leather-jackets-c25/leather-jacket-tan-edinburgh-p234,2677,2214,1553,0.52,66.78,36,3813.58
/weekly-deals-c164,2675,2398,1864,0.55,82.51,19,979.89
/mens-c4/leather-jackets-c25/leather-jacket-tan-edinburgh-p234/s1255,2660,2001,1448,0.43,20.96,0,0.0
/mens-c4/mens-waistcoats-c58,2617,2357,2066,0.72,74.36,17,1399.55
/ladies-c3/handbags-c10/large-leather-handbag-bridge-vt-gina-p1050/s5774,2584,2098,1712,0.52,30.34,10,729.43
/luggage-c7/holdall-c15/large-vintage-leather-travel-holdall-brown-marcus-p3248/s11745,2545,2236,1882,0.63,45.89,22,2792.43
/mens-c4/man-bags-briefcases-c12/ashwood-luggage-mens-leather-flight-bag-tan-crum-8341-p318/s1821,2531,2217,1878,0.6,45.7,24,1369.91
/gift-accessories-c8/purses-c36/medium-purses-c95/vintage-woven-leather-medium-18-card-purse-yellow-d-83-p4301/s15022,2501,2336,2077,0.6,37.06,40,1198.05
/ladies-c3/womens-medium-leather-wallet-purse-two-tone-tan-s3-p6720/s20050,2470,2236,1969,0.66,47.53,39,1256.97
/mens-c4/sheepskin-jackets-c26/sheepskin-flying-jacket-ginger-leo-p101/s765,2405,2035,1754,0.49,25.32,1,299.0
/sheepskin-fur-c5/mens-sheepskin-jackets-c35,2395,2107,1673,0.69,79.35,5,2379.48
/ladies-c3/leather-jackets-c9/biker-styles-c78/leather-jacket-tan-ruby-p3203/s11598,2333,2142,1960,0.66,56.94,27,1936.34
/ladies-c3/sheepskin-jackets-c11/long-length-toscana-suede-leather-coat-tan-alaska-p883/s5017,2333,2185,1987,0.63,46.34,2,1022.5
/mens-c4/mens-jackets-coats-c182,2289,2004,1581,0.68,87.91,14,2246.34
/ladies-c3/sheepskin-jackets-c11/long-length-toscana-suede-leather-coat-tan-alaska-p883/s5020,2272,2124,1963,0.49,27.28,1,169.0
/ladies-c3/14-card-rfid-protected-xl-leather-purse-poppy-red-s2-p6713/s20043,2257,2075,1805,0.67,42.68,16,737.53
/contact-us-i3,2247,1756,917,0.46,56.4,20,2155.39
/ladies-c3/purses-c22/14-card-rfid-protected-xl-leather-purse-two-tone-tan-s2-p6714/s20044,2229,2084,1782,0.67,41.94,24,1063.21
/sheepskin-fur-c5/sheepskin-footwear-c46/fenland-m10,2196,2012,1822,0.74,68.3,68,3199.13
/mens-c4/leather-jackets-c25/leather-jacket-tan-edinburgh-p234/s1260,2187,1887,1578,0.61,50.08,7,959.72
/mens-c4/man-bags-briefcases-c12/laptop-messenger-bags-c113,2186,2010,1622,0.67,81.26,21,1593.49
/ladies-c3/toscana-double-collar-suede-leather-gilet-taupe-pegasus-p5693/s17608,2144,1923,1553,0.57,23.01,0,0.0
/ladies-c3/ashwood-leather-jacket-grey-aliona-p5546/s17196,2125,1092,638,0.29,13.04,2,122.5
/mens-c4/mens-triple-gusset-heavy-duty-leather-briefcase-chestnut-gareth-p4231/s14952,2107,1897,1665,0.67,50.61,24,2660.19
/ladies-c3/leather-jackets-c9/full-length-styles-c92,2105,1962,1728,0.67,50.3,3,647.0
/mens-c4/leather-jackets-c25/brown-t3,2105,1974,1768,0.7,52.29,7,1641.99
/luggage-c7/holdall-c15/large-leather-holdall-brown-k-48-p7329,2087,1782,1682,0.42,23.78,2,340.0
/handbags-c6/ashwood-c30/medium-leather-shoulder-bag-tan-62551-p3662/s13105,2081,1802,1533,0.64,60.2,28,715.51
/ladies-c3/ashwood-zip-top-leather-cross-body-bag-black-sb-buckle-p6031/s18590,2080,1867,1637,0.62,56.36,35,1552.16
/ladies-c3/ashwood-two-section-leather-tote-bag-bordeaux-c-52-p5414/s16929,2029,1765,1496,0.6,40.99,15,1004.87
/luggage-c7/leather-tablet-a4-sleeves-c151/vintage-leather-luxury-a4-metal-binder-sleeve-tan-noah-p2932/s10363,2029,1872,1715,0.69,36.64,14,795.0
/gift-accessories-c8/purses-c36,2007,1797,1193,0.63,94.68,34,1384.4
/ladies-c3/ashwood-curve-zip-top-leather-cross-body-bag-black-croc-curve-p6620/s19919,1990,1685,1431,0.47,30.75,15,571.8
/ladies-c3/leather-biker-jacket-navy-lola-p5468/s17048,1983,1904,1709,0.67,56.75,13,1159.39
/mens-c4/man-bags-briefcases-c12/vintage-a4-messenger-bag-rust-7995-p677/s4144,1970,1640,1298,0.52,33.77,10,618.24
/handbags-c6/ashwood-leather-crocodile-print-shoulder-bag-green-c-55-p5430/s16945,1966,1790,1741,0.18,7.63,3,274.99
/ladies-c3/ladies-waistcoats-c47,1965,1847,1574,0.58,55.7,6,730.95
/ladies-c3/14-card-rfid-protected-large-leather-purse-two-tone-tan-s1-p6708/s20038,1941,1795,1517,0.68,46.91,48,2086.01
/ladies-c3/leather-cross-body-bag-with-free-rfid-wallet-black-63742-p6641/s19940,1937,1730,1495,0.62,56.13,24,1041.89
/ladies-c3/sheepskin-jackets-c11/hooded-toscana-coat-brown-lyonesse-p879/s4980,1895,1767,1612,0.42,19.12,0,0.0
/mens-c4/leather-jackets-c25/leather-jacket-tan-edinburgh-p234/s1259,1838,1645,1390,0.65,57.41,13,1460.18
/gift-accessories-c8/wallets-c16/ashwood-m1,1792,1596,1481,0.67,63.67,26,605.89
/size-guide-i9,1764,1577,1437,0.56,37.88,2,348.17
/ladies-c3/womens-luxury-shearling-jacket-black-cream-alayna-p5873/s18228,1738,1573,1344,0.68,59.46,11,3626.49
/ladies-c3/toscana-suede-leather-gilet-honey-kashmina-p6679/s19995,1729,1542,1332,0.55,34.01,2,545.75
/ladies-c3/womens-medium-leather-wallet-purse-black-s3-p6715/s20045,1701,1497,1286,0.58,35.15,22,776.81
/luggage-c7/suit-carriers-c51/ashwood-leather-wheeled-suit-carrier-chestnut-89149-p6736/s20066,1685,1488,1250,0.64,49.54,14,3483.18
/register,1685,1292,674,0.45,95.97,68,7537.62
/handbags-c6/shoulder-bag-c86,1665,1513,1161,0.62,63.01,15,1163.1
/ladies-c3/ashwood-leather-jacket-grey-aliona-p5546/s17189,1664,1239,868,0.33,15.53,0,0.0
/ladies-c3/leather-jackets-c9/ashwood-m1,1648,1484,1308,0.69,74.22,7,1076.69
/mens-c4/leather-jackets-c25/bomber-styles-c99,1644,1478,1163,0.69,81.09,7,899.1
/mens-c4/man-bags-briefcases-c12/mens-3-pocket-luxury-small-leather-flight-bag-tan-jack-p660/s4127,1628,1368,1086,0.5,38.33,10,652.31
/mens-c4/leather-jackets-c25/leather-jacket-timber-edinburgh-p235/s1272,1625,1449,1262,0.65,50.93,8,1015.57
/mens-c4/sheepskin-jackets-c26/sheepskin-flying-jacket-ginger-leo-p101/s763,1622,1358,1132,0.63,40.37,5,1838.1
/mens-c4/man-bags-briefcases-c12/mens-leather-vintage-wash-bag-rust-7998-p680/s4147,1619,1455,1277,0.61,52.34,56,1956.17
/sheepskin-fur-c5/ashwood-single-australian-sheepskin-rug-rosa-p4386/s15191,1599,1460,1283,0.65,40.98,29,1417.88
/luggage-c7/trolleys-c33/leather-wheeled-weekend-travel-holdall-oily-brown-adrian-p7180/s21479,1596,1429,1247,0.66,32.73,6,1245.78
/mens-c4/man-bags-briefcases-c12/ashwood-mens-leather-washbag-chestnut-vt-2012-p590/s4057,1596,1449,1211,0.68,58.73,43,1867.82
/ladies-c3/leather-biker-jacket-tan-lola-p5469,1575,1371,1169,0.64,55.88,9,898.91
/mens-c4/leather-jackets-c25/leather-jacket-tan-edinburgh-p234/s1257,1558,1392,1225,0.68,53.84,13,1491.04
/mens-c4/trapper-mens-nappa-leather-jacket-red-brown-joshua-p5797/s17939,1558,1277,1016,0.57,37.73,0,0.0
/mens-c4/leather-jackets-c25/blazer-styles-c98/two-button-leather-blazer-timber-vito-p3930/s14168,1551,1356,1141,0.66,47.71,4,427.99
/sheepskin-fur-c5/sheepskin-footwear-c46/dinosos-classic-9-vintage-sheepskin-biker-boots-brown-p4229/s14942,1545,1353,1237,0.65,31.9,2,134.98
/luggage-c7/holdall-c15/large-vintage-leather-travel-holdall-tan-jayden-p4213/s14921,1544,1374,1131,0.66,55.15,17,2058.99
/mens-c4/sheepskin-jackets-c26/sheepskin-flying-jacket-brown-cream-leo-p955/s5310,1531,1225,947,0.49,26.22,0,0.0
/ladies-c3/leather-biker-jacket-timber-britney-p5621/s17375,1505,1432,1240,0.72,64.16,8,784.91
/mens-c4/mens-nappa-leather-detachable-double-collar-jacket-cognac-trap-ryan-p5801/s17961,1498,1343,1163,0.56,41.35,0,0.0
/mens-c4/leather-jackets-c25/leather-jacket-black-edinburgh-p233,1497,1244,565,0.42,74.09,22,2668.83
/mens-c4/mens-leather-sheepskin-gloves-nap-brown-db-705-p6548/s19760,1480,1359,1208,0.69,57.95,38,984.32
/mens-c4/sheepskin-jackets-c26/classic-style-c119/luxury-shearling-pilot-jacket-ginger-ke-271-p7371/s21800,1460,1265,1083,0.48,17.16,0,0.0
/newsletter/unsubscribe,1444,1336,1137,0.71,10.61,0,0.0
/ladies-c3/sheepskin-jackets-c11/sheepskin-coat-tobacco-olivia-p851/s4693,1423,1258,1065,0.51,18.34,1,749.99
/gift-accessories-c8/ladies-gloves-c38,1421,1305,1076,0.66,64.53,31,1298.4
/ladies-c3/ashwood-three-pocket-leather-sling-bag-chestnut-tan-t-75-p6756/s20086,1421,1274,1107,0.73,52.53,10,575.2
/ladies-c3/fur-parkas-c72/hooded-toscana-tipped-fur-parka-with-detachable-fur-trim-lining-black-white-kaylee-p1432/s7087,1403,1247,1063,0.45,15.93,0,0.0
/mens-c4/leather-jackets-c25/3-4-styles-c100,1396,1254,1033,0.67,64.06,10,2224.24
/handbags-c6/ashwood-c30/small-vintage-leather-backpack-honey-g25-p3621/s13052,1395,1262,1089,0.63,46.48,2,254.0
/ladies-c3/vintage-leather-cross-body-shoulder-bag-honey-g22-p3614/s13045,1391,1215,998,0.62,50.64,12,790.37
/mens-c4/sheepskin-jackets-c26/sheepskin-flying-jacket-ginger-leo-p101/s767,1388,1163,1008,0.49,20.26,0,0.0
/sheepskin-fur-c5/ashwood-sheepskin-seat-pad-mink-p4382/s15187,1382,1281,1140,0.72,40.93,29,1191.05
/sheepskin-fur-c5/ladies-fur-coats-c76/suede-and-leather-long-haired-toscana-sheepskin-jacket-penny-p2601/s10005,1382,1175,949,0.45,17.88,0,0.0
/ladies-c3/sheepskin-jackets-c11/toscana-suede-leather-gilet-navy-kashmina-p857/s4763,1352,1237,1130,0.45,22.09,2,837.2
/ladies-c3/ladies-jackets-coats-c181,1351,1190,855,0.61,99.4,5,1617.84
/gift-accessories-c8/purses-c36/ashwood-m1,1336,1262,1130,0.57,67.65,10,313.95
/ladies-c3/14-card-rfid-protected-large-leather-purse-navy-s1-p6706/s20036,1326,1181,984,0.66,38.21,20,841.31
/luggage-c7/mens-weekend-leather-travel-holdall-mud-vt-albert-p629/s4096,1307,1191,1075,0.66,35.17,5,698.1
/ladies-c3/leather-biker-jacket-navy-lola-p5468/s17047,1302,1240,1082,0.68,59.63,8,1122.17
/ladies-c3/ashwood-vintage-leather-trunk-tan-vin-22-p6089/s18673,1299,1203,1131,0.74,60.48,1,249.96
/ladies-c3/leather-jackets-c9/long-length-gothic-coat-black-black-zelda-p1241/s6306,1298,1219,1101,0.51,29.29,0,0.0
/ladies-c3/sheepskin-jackets-c11/hooded-toscana-coat-brown-lyonesse-p879/s4977,1298,1144,963,0.43,17.99,0,0.0
/mens-c4/sheepskin-jackets-c26/pilot-style-c120/mens-luxury-shearling-flying-jacket-green-mandek-p3388/s12621,1294,1060,805,0.58,35.62,0,0.0
/mens-c4/leather-jackets-c25/leather-jacket-tan-edinburgh-p234/s2675,1281,1183,982,0.71,69.3,5,643.96
/ladies-c3/14-card-rfid-protected-large-leather-purse-mandarin-s1-p6705/s20035,1273,1140,925,0.67,43.78,21,907.03
/ladies-c3/leather-jackets-c9/biker-styles-c78/womens-leather-biker-jacket-brown-tavira-p3282/s11949,1265,1182,1004,0.67,62.34,20,1119.72
/mens-c4/leather-jackets-c25/leather-jacket-tan-edinburgh-p234/s1261,1263,1143,932,0.66,57.61,11,1142.98
/ladies-c3/ashwood-a4-leather-book-cover-brandy-p6763/s20093,1255,1137,1018,0.57,32.95,6,193.64
/delivery-returns-i5,1253,979,299,0.44,89.34,53,7310.4
/mens-c4/man-bags-briefcases-c12/ashwood-luggage-mens-leather-flight-bag-brown-crum-8341-p317/s1820,1250,1091,873,0.66,58.67,21,691.64
/ladies-c3/sheepskin-jackets-c11/toscana-suede-leather-biker-gilet-tan-kimi-p1008/s5659,1249,1174,1059,0.51,29.32,0,0.0
/mens-c4/man-bags-briefcases-c12/backpacks-c116,1243,1146,845,0.66,84.37,11,1034.54
/luggage-c7/wash-toiletry-bags-c55/leather-canvas-hanging-toiletry-bag-brown-tum-7010-p1588/s7648,1241,1150,1046,0.64,36.25,34,1313.05
/search/leather-jackets,1240,1195,1003,0.72,86.45,9,1356.93
/mens-c4/sheepskin-jackets-c26/pilot-style-c120/mens-luxury-shearling-flying-jacket-green-mandek-p3388/s12618,1233,1088,830,0.66,57.17,6,627.98
/ladies-c3/fur-coats-c77/belted-rex-rabbit-fur-coat-brown-montana-p1407/s7026,1229,1103,947,0.51,19.39,1,899.1
/ladies-c3/medium-weekend-leather-holdall-cognac-croc-harry-p6469/s19633,1228,1082,896,0.67,53.63,5,690.0
/mens-c4/sheepskin-jackets-c26/sheepskin-flying-jacket-brn-cream-ivan-p1252/s6522,1227,907,590,0.62,43.68,0,0.0
/mens-c4/leather-jackets-c25/blazer-styles-c98,1225,1131,952,0.7,63.31,3,507.55
/ladies-c3/leather-jackets-c9/long-length-gothic-coat-black-black-zelda-p1241/s6307,1224,1152,1057,0.55,32.95,3,595.93
/ladies-c3/sheepskin-fingerless-patch-mittens-grey-p734-p6676/s19983,1211,1033,911,0.45,22.41,7,264.86
/ladies-c3/womens-medium-leather-wallet-purse-poppy-red-s3-p6719/s20049,1210,1081,922,0.59,42.8,17,777.23
/mens-c4/leather-jackets-c25/leather-jacket-tan-edinburgh-p234/s2674,1179,1066,877,0.62,46.94,1,159.0
/ladies-c3/14-card-rfid-protected-large-leather-purse-black-s1-p6703/s20033,1173,1039,864,0.64,42.24,16,647.94
/ladies-c3/14-card-rfid-protected-large-leather-purse-poppy-red-s1-p6707/s20037,1171,1058,884,0.63,34.32,14,567.22
/luggage-c7/holdall-c15/ashwood-m1,1168,981,837,0.72,88.76,11,1836.5
/ladies-c3/womens-sheepskin-gloves-pink-db-801-p6562/s19789,1161,1043,878,0.51,35.35,23,872.04
/gift-accessories-c8,1152,913,621,0.53,79.35,9,985.51
/gift-accessories-c8/purses-c36/large-purses-c96/vintage-woven-leather-zip-around-large-22-card-coin-note-purse-taupe-d-84-p4309/s15030,1148,994,773,0.55,32.38,4,156.62
/sheepskin-fur-c5/mens-sheepskin-jackets-c35/sheepskin-coat-whisky-denver-p1514/s7529,1148,980,748,0.57,36.27,0,0.0
/ladies-c3/fur-parkas-c72/hooded-toscana-tipped-fur-parka-with-detachable-fur-trim-lining-blue-white-kaylee-p1433/s7091,1142,981,857,0.47,19.51,0,0.0
/ladies-c3/ladies-leather-jacket-ivory-serefina-p6001/s18488,1142,1033,897,0.6,36.07,2,129.0
/ladies-c3/leather-jackets-c9/biker-styles-c78/ladies-leather-biker-jacket-navy-enya-p3967/s14369,1141,1056,913,0.72,51.75,0,0.0
/sheepskin-fur-c5/sheepskin-footwear-c46/fenland-classic-mens-suede-sheepskin-moccasin-slippers-tan-beige-p4090/s14551,1139,1044,966,0.7,49.01,14,798.93
/handbags-c6/backpacks-c89/large-vintage-leather-backpack-honey-g28-p3755/s13672,1138,1031,869,0.68,59.87,9,1029.49
/mens-c4/leather-jackets-c25/leather-bomber-jacket-black-danny-p948/s5234,1134,934,769,0.52,27.39,0,0.0
/mens-c4/man-bags-briefcases-c12/briefcases-c112,1133,1059,832,0.71,86.35,14,1524.53
/ladies-c3/fur-parkas-c72/hooded-toscana-tipped-fur-parka-with-detachable-fur-trim-lining-blue-white-kaylee-p1433/s7090,1131,980,818,0.51,20.76,2,649.0
/handbags-c6/navy-t49,1124,1087,1021,0.56,54.19,6,560.97
/map,1124,951,521,0.51,72.09,2,115.98
/mens-c4/man-bags-briefcases-c12/ashwood-luggage-mens-leather-flight-bag-black-crum-8341-p316/s1819,1119,989,803,0.6,42.86,13,537.39
/mens-c4/mens-leather-washbag-chestnut-gb-milo-p6357/s19307,1115,998,822,0.65,49.58,28,918.71
/ladies-c3/leather-biker-jacket-tan-lola-p5469/s17054,1108,1004,842,0.6,45.47,7,598.96
/mens-c4/leather-jackets-c25/ashwood-m1,1104,991,845,0.69,84.92,1,210.0
/ladies-c3/ashwood-leather-crossbody-smart-phone-bag-cognac-m-77-p6984/s20733,1095,953,833,0.58,42.11,10,524.9
