# ----------------------------------------
# Report CSV Export
# Account: Leather Company
# Property: Leather Company - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20231130
# End date: 20240227
Landing page + query string,Organic Google Search clicks,Organic Google Search impressions,Organic Google Search click through rate,Organic Google Search average position,Users,Engaged sessions,Engagement rate,Average engagement time,Event count,Conversions,Ad revenue
/,5149,115527,0.044569667696728904,13.852986747686687,5232,3828,0.5019669551534225,105.75172018348624,82978,58,0
/ladies-c3/leather-jackets-c9,4225,497683,0.008489339599705032,14.34740186022026,3815,3102,0.7494563904324716,89.90642201834862,49172,13,0
/mens-c4/leather-jackets-c25,3065,408527,0.007502564090011187,17.25445564185476,2778,2312,0.7465288989344527,80.10835133189345,32123,10,0
/handbags-c6,2531,273076,0.009268482034305468,24.249051546089735,2310,1897,0.7471445450964946,84.94069264069265,25887,12,0
/ladies-c3/sheepskin-jackets-c11,2491,147109,0.016933022452739126,11.364586802982823,2186,1838,0.7725935266918873,86.0736505032022,25060,1,0
/luggage-c7/backpacks-rucksacks-c52,2118,122035,0.017355676650141354,15.193133117548244,1885,1543,0.7508515815085158,67.29920424403183,19724,9,0
/handbags-c6/backpacks-c89,1918,149988,0.012787689681841213,21.028688961783608,1807,1459,0.7474385245901639,69.53680132816824,17508,5,0
/gift-accessories-c8/mens-gloves-c37,1763,125219,0.014079333008568987,15.634767886662567,1592,1300,0.7647058823529411,60.58291457286432,14548,23,0
/mens-c4/sheepskin-jackets-c26,1564,99900,0.015655655655655656,13.803123123123124,1316,1092,0.7583333333333333,77.67705167173253,14695,0,0
/handbags-c6/marta-ponti-m38,1501,19613,0.07653087238056391,6.013970325804314,1343,916,0.6387726638772664,36.675353685778106,9637,0,0
/mens-c4/leather-jackets-c25/trapper-m33,1276,21037,0.06065503636450064,11.766031278224082,1037,839,0.7164816396242528,67.48505303760848,11459,0,0
/ladies-c3/leather-jackets-c9/full-length-styles-c92,1161,127804,0.009084222716033928,12.578463897843573,989,702,0.6666666666666666,39.20525783619818,9164,2,0
/mens-c4/man-bags-briefcases-c12,1135,186398,0.006089121127909098,29.80987456946963,1030,837,0.7493285586392122,78.39514563106796,11339,3,0
/luggage-c7/holdall-c15,1076,97334,0.011054718803295867,16.999640413421826,909,769,0.7815040650406504,91.65016501650165,11907,6,0
/luggage-c7/wash-toiletry-bags-c55,1016,96453,0.01053362777725939,23.847200190766486,887,756,0.8016967126193001,78.66967305524238,11208,29,0
/handbags-c6/ashwood-c30,1009,76607,0.013171120132624956,12.854895766705392,819,685,0.7679372197309418,108.74969474969475,11050,2,0
/gift-accessories-c8/wallets-c16,955,124477,0.007672100066678985,28.642841649461346,921,764,0.7724974721941354,68.04451682953312,8843,5,0
/handbags-c6/cross-body-bag-c87,785,100837,0.007784840881819174,30.44149468944931,721,595,0.7737321196358907,82.47711511789181,8850,5,0
/gift-accessories-c8/purses-c36,657,98356,0.0066798161779657575,19.979787709951605,570,495,0.8048780487804879,73.8157894736842,6746,1,0
/mens-c4/leather-jackets-c25/brown-t3,644,104450,0.006165629487793202,11.315605552896123,562,427,0.7011494252873564,56.903914590747334,5876,0,0
/handbags-c6/shoulder-bag-c86,607,65054,0.009330709871798813,19.074737910043964,534,415,0.7118353344768439,57.735955056179776,5194,3,0
/mens-c4/mens-waistcoats-c58,514,40170,0.01279561862086134,23.235822753298482,401,361,0.7780172413793104,88.8927680798005,5325,1,0
/ladies-c3/skirts-jeans-c74/skirts-dresses-c127,499,49944,0.009991190132948902,16.359622777510815,440,348,0.7451820128479657,49.763636363636365,4031,3,0
/ladies-c3/skirts-jeans-c74/jeans-trousers-c128,495,37251,0.013288233872916163,15.947222893345145,460,382,0.7564356435643564,39.75869565217391,4037,2,0
/sheepskin-fur-c5/mens-sheepskin-jackets-c35,456,29875,0.015263598326359833,14.271866108786611,393,293,0.6976190476190476,66.40966921119593,3859,1,0
/mens-c4/leather-jackets-c25/bomber-styles-c99,447,148579,0.0030085005283384597,20.93155156516062,384,319,0.7705314009661836,68.84114583333333,4026,0,0
/gift-accessories-c8/ladies-gloves-c38/ashwood-m1,423,5633,0.07509320078111131,16.536836499201137,325,243,0.6639344262295082,64.40307692307692,3635,2,0
/luggage-c7/leather-tablet-a4-sleeves-c151,418,22214,0.018816962276042137,17.1146574232466,373,291,0.7293233082706767,39.66487935656836,3658,1,0
/mens-c4/leather-jackets-c25/ashwood-m1,408,24722,0.016503519132756248,17.10254024755279,291,224,0.7111111111111111,83.07560137457045,3359,0,0
/luggage-c7,402,68302,0.0058856256039354635,24.258982167432873,364,295,0.7356608478802993,69.21978021978022,4034,2,0
/ladies-c3/ladies-waistcoats-c47,397,31230,0.01271213576689081,26.41322446365674,339,273,0.7338709677419355,84.41592920353982,4228,1,0
/mens-c4/mens-jackets-coats-c182,394,76109,0.005176785925449027,23.595803387247237,310,266,0.7621776504297995,69.48064516129033,3131,0,0
