Stock Evaluation,,,,,,,,,
Brand,Season,Units,,AVG Unit Cost,AVG Unit Retail,Total Cost,Total Retail,,Profit
AL FRANCO,NO SEASON,0,,70.00,354.00,0.00,0.00,,0.00
AL FRANCO,Totals,0,,70.00,354.00,0.00,0.00,,0.00
ANAPHORA,NO SEASON,0,,10.00,89.00,0.00,0.00,,0.00
ANAPHORA,Totals,0,,10.00,89.00,0.00,0.00,,0.00
ASHWOOD,13SS,25,,9.04,296.10,132.00,"4,859.00",,"3,917.17"
ASHWOOD,14SS,48,,72.73,184.73,541.00,"1,653.70",,837.08
ASHWOOD,NO SEASON,42741,,33.94,202.90,"413,131.14","4,223,448.69",,"3,107,167.66"
ASHWOOD,Totals,42814,,33.84,203.39,"413,804.14","4,229,961.39",,"3,111,921.91"
B4,NO SEASON,0,,75.00,209.00,0.00,0.00,,0.00
B4,Totals,0,,75.00,209.00,0.00,0.00,,0.00
BEN SHERMAN,NO SEASON,0,,2.00,29.99,0.00,0.00,,0.00
BEN SHERMAN,Totals,0,,2.00,29.99,0.00,0.00,,0.00
big 7,NO SEASON,181,,0.00,190.46,0.00,"34,489.00",,"28,740.83"
big 7,Totals,181,,0.00,190.46,0.00,"34,489.00",,"28,740.83"
BLACK LABEL,NO SEASON,0,,75.00,189.00,0.00,0.00,,0.00
BLACK LABEL,Totals,0,,75.00,189.00,0.00,0.00,,0.00
BLLOOM,NO SEASON,0,,22.50,109.00,0.00,0.00,,0.00
BLLOOM,Totals,0,,22.50,109.00,0.00,0.00,,0.00
BRAMPTON,NO SEASON,505,,51.77,228.32,"25,120.00","112,426.34",,"68,568.62"
BRAMPTON,Totals,505,,51.77,228.32,"25,120.00","112,426.34",,"68,568.62"
BUGATTI,NO SEASON,14,,155.80,859.36,"2,466.00","14,480.00",,"9,600.67"
BUGATTI,Totals,14,,155.80,859.36,"2,466.00","14,480.00",,"9,600.67"
CARLOS,NO SEASON,0,,0.00,39.99,0.00,0.00,,0.00
CARLOS,Totals,0,,0.00,39.99,0.00,0.00,,0.00
CELTIC,NO SEASON,5,,3.90,9.99,19.50,49.95,,22.13
CELTIC,Totals,5,,3.90,9.99,19.50,49.95,,22.13
COLLONIL,13SS,0,,0.75,5.99,0.00,0.00,,0.00
COLLONIL,NO SEASON,986,,2.73,10.77,"1,859.68","6,962.26",,"3,942.20"
COLLONIL,Totals,986,,2.63,10.52,"1,859.68","6,962.26",,"3,942.20"
COSTA,NO SEASON,0,,99.00,189.00,0.00,0.00,,0.00
COSTA,Totals,0,,99.00,189.00,0.00,0.00,,0.00
DAVID MOORE,NO SEASON,4,,50.00,261.50,200.00,"1,136.00",,746.67
DAVID MOORE,Totals,4,,50.00,261.50,200.00,"1,136.00",,746.67
Dawid Tomaszewski,NO SEASON,40,,0.00,129.00,0.00,"5,160.00",,"4,300.00"
Dawid Tomaszewski,Totals,40,,0.00,129.00,0.00,"5,160.00",,"4,300.00"
EDWARD ROBERTSON,NO SEASON,16,,46.96,183.57,960.00,"3,664.00",,"2,093.33"
EDWARD ROBERTSON,Totals,16,,46.96,183.57,960.00,"3,664.00",,"2,093.33"
ENZI ZITO,NO SEASON,0,,104.17,290.67,0.00,0.00,,0.00
ENZI ZITO,Totals,0,,104.17,290.67,0.00,0.00,,0.00
ENZO DESIGN,NO SEASON,0,,36.00,90.00,0.00,0.00,,0.00
ENZO DESIGN,Totals,0,,36.00,90.00,0.00,0.00,,0.00
ESTIMO,13SS,1,,0.00,895.00,0.00,895.00,,745.83
ESTIMO,NO SEASON,398,,83.27,692.96,"25,620.60","242,586.00",,"176,534.40"
ESTIMO,Totals,399,,83.12,693.34,"25,620.60","243,481.00",,"177,280.23"
EUREKA,NO SEASON,0,,27.00,69.00,0.00,0.00,,0.00
EUREKA,Totals,0,,27.00,69.00,0.00,0.00,,0.00
FENLAND,13SS,10,,3.91,89.56,0.00,999.90,,833.25
FENLAND,NO SEASON,2873,,26.79,194.50,"12,202.25","209,177.03",,"162,111.94"
FENLAND,Totals,2883,,26.40,192.67,"12,202.25","210,176.93",,"162,945.19"
FILIPPIDIS PHILIPPOS,NO SEASON,8,,97.00,290.00,810.00,"2,450.00",,"1,231.67"
FILIPPIDIS PHILIPPOS,Totals,8,,97.00,290.00,810.00,"2,450.00",,"1,231.67"
G3000,NO SEASON,0,,67.00,169.00,0.00,0.00,,0.00
G3000,Totals,0,,67.00,169.00,0.00,0.00,,0.00
GABICCI,NO SEASON,1325,,52.66,147.20,"12,127.61","57,525.54",,"35,810.34"
GABICCI,Totals,1325,,52.66,147.20,"12,127.61","57,525.54",,"35,810.34"
GIPSY,NO SEASON,0,,25.00,169.00,0.00,0.00,,0.00
GIPSY,Totals,0,,25.00,169.00,0.00,0.00,,0.00
HAMPTON LEATHER,NO SEASON,0,,0.00,171.00,0.00,0.00,,0.00
HAMPTON LEATHER,Totals,0,,0.00,171.00,0.00,0.00,,0.00
HEWITTS,NO SEASON,80,,0.40,5.72,18.00,467.20,,371.33
HEWITTS,Totals,80,,0.40,5.72,18.00,467.20,,371.33
JAMES LAKELAND,NO SEASON,1,,33.17,102.82,15.00,59.95,,34.96
JAMES LAKELAND,Totals,1,,33.17,102.82,15.00,59.95,,34.96
JOHN PARTRIDGE,NO SEASON,14,,0.00,148.81,0.00,"1,955.00",,"1,629.17"
JOHN PARTRIDGE,Totals,14,,0.00,148.81,0.00,"1,955.00",,"1,629.17"
KURT MULLER,NO SEASON,0,,35.00,189.00,0.00,0.00,,0.00
KURT MULLER,Totals,0,,35.00,189.00,0.00,0.00,,0.00
LAKELAND,NO SEASON,212,,3.90,9.99,826.80,"2,117.88",,938.10
LAKELAND,Totals,212,,3.90,9.99,826.80,"2,117.88",,938.10
LEATHER COMPANY,NO SEASON,0,,0.00,199.00,0.00,0.00,,0.00
LEATHER COMPANY,Totals,0,,0.00,199.00,0.00,0.00,,0.00
LONDON BROGUES,NO SEASON,0,,0.00,100.00,0.00,0.00,,0.00
LONDON BROGUES,Totals,0,,0.00,100.00,0.00,0.00,,0.00
LORENZ,NO SEASON,819,,7.77,23.82,"2,493.99","24,551.81",,"17,965.85"
LORENZ,Totals,819,,7.77,23.82,"2,493.99","24,551.81",,"17,965.85"
MANZONI,NO SEASON,0,,15.00,39.99,0.00,0.00,,0.00
