# ----------------------------------------
# Report CSV Export
# Account: Leather Company
# Property: Leather Company - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20230101
# End date: 20231231
Session primary channel group (Default Channel Group),Users,Sessions,Engaged sessions,Average engagement time per session,Engaged sessions per user,Events per session,Engagement rate,Event count,Key events,Total revenue
Cross-network,418801,523261,335600,55.90013205646895,0.8013352403647556,9.393738497614,0.641362532273569,4915377,5133,384026.813292
Direct,199129,249699,114042,53.28493105699262,0.5727041264707803,9.081910620386946,0.45671788833755844,2267744,5040,463615.912661
Unassigned,105506,138368,24176,61.50959036771508,0.2291433662540519,9.904363725716928,0.17472247918593894,1370447,2058,170581.795604
Organic Search,174724,218475,143506,63.71104703055269,0.8213296398891967,9.28679711637487,0.6568531868634855,2028933,1259,97556.859671
Paid Search,100381,126028,83851,69.75410226298918,0.8353274025961088,9.523074237471038,0.6653362744786873,1200174,1123,76171.98326
Organic Social,208304,306606,154271,27.01225351102066,0.740605077194869,7.534911254182893,0.50315714630503,2310249,791,80818.769982
Referral,11698,19331,8677,47.36247478143914,0.741750726619935,7.761936785474109,0.44886451813149864,150046,467,-30077.814277
Email,10843,17788,11946,114.83022262199235,1.1017246149589597,13.45086575219249,0.6715763436024286,239264,376,40803.470841
Paid Other,14299,21186,10138,35.245869914094214,0.7090006294146444,6.515104314169735,0.4785235532899084,138029,46,3619.31621
Organic Shopping,1318,1523,1016,64.84635587655943,0.7708649468892261,9.884438608010505,0.6671043992120814,15054,27,1912
Paid Shopping,3877,4461,2766,43.47657475902264,0.7134382254320351,8.2909661510872,0.6200403496973773,36986,26,2343.96
Paid Social,1804,2184,1178,43.002747252747255,0.6529933481152993,7.426739926739927,0.5393772893772893,16220,9,1073.23
Display,1500,1727,662,25.88129704690214,0.44133333333333336,5.165026056745802,0.38332368268674,8920,2,270.75
Organic Video,152,172,72,25.16860465116279,0.47368421052631576,5.604651162790698,0.4186046511627907,964,0,0
Paid Video,1558,1974,904,83.20567375886525,0.5802310654685494,9.428571428571429,0.4579533941236069,18612,0,0
