Date,Total,Revenue - Total,Mens > Leather Jackets,Revenue - Mens > Leather Jackets,Ladies > Leather Jackets,Revenue - Ladies > Leather Jackets,Gift & Accessories > Purses,Revenue - Gift & Accessories > Purses,Luggage > Holdall,Revenue - Luggage > Holdall,Handbags > Ashwood,Revenue - Handbags > Ashwood,Ladies > Ladies Jackets & Coats,Revenue - Ladies > Ladies Jackets & Coats,Mens > Man Bags & Briefcases,Revenue - Mens > Man Bags & Briefcases,Mens > Accessories,Revenue - Mens > Accessories,Ladies > Handbags,Revenue - Ladies > Handbags,Ladies > Purses,Revenue - Ladies > Purses,Ladies > Accessories,Revenue - Ladies > Accessories
2024-01-01,52,5564,4,785,1,244,0,0,0,121,0,24,3,712,2,174,5,207,5,344,1,53,1,63
2024-01-02,52,5564,4,785,1,244,0,0,0,121,0,24,3,712,2,174,5,207,5,344,1,53,1,63
2024-01-03,51,4842,4,856,1,203,0,0,2,336,1,40,3,581,2,173,2,75,6,284,2,67,1,48
2024-01-04,42,4801,2,452,1,203,0,0,2,303,1,40,4,1068,2,213,2,139,4,286,1,32,1,52
2024-01-05,42,4801,2,452,1,117,0,0,2,303,0,17,4,1068,2,213,2,139,4,286,1,32,1,52
2024-01-06,42,4880,4,845,1,117,0,0,1,276,0,17,2,439,2,200,2,78,4,210,0,9,1,72
2024-01-07,44,4883,4,714,1,215,0,0,0,123,0,46,3,903,2,192,3,157,4,231,2,60,1,40
2024-01-08,44,4883,4,714,1,215,0,0,0,123,0,8,3,903,2,192,3,157,4,231,2,60,1,40
2024-01-09,44,6175,3,565,1,309,0,25,0,42,0,8,3,794,0,46,3,163,2,114,1,40,2,70
2024-01-10,47,4576,4,842,1,201,0,1,2,452,0,19,3,937,1,153,4,164,5,337,2,51,4,112
2024-01-11,47,4614,4,660,1,201,0,1,1,253,0,19,2,420,2,212,3,120,4,185,2,66,3,86
2024-01-12,47,4614,4,660,0,4,0,1,1,253,0,12,2,420,2,212,3,120,4,185,2,66,3,86
2024-01-13,35,3425,4,717,0,4,0,23,0,68,0,12,2,637,3,237,2,139,4,242,1,46,1,57
2024-01-14,43,5860,3,644,0,138,0,14,1,281,0,1,4,1167,3,215,4,234,3,227,0,25,2,63
2024-01-15,43,5860,3,644,0,138,0,14,1,281,0,17,4,1167,3,215,4,234,3,227,0,25,2,63
2024-01-16,44,5339,3,571,0,11,0,5,2,400,0,17,4,904,2,208,3,179,6,348,1,44,1,48
2024-01-17,37,4632,4,668,0,186,0,27,1,269,0,20,2,993,2,173,3,145,3,235,0,19,1,38
2024-01-18,37,4632,4,668,0,186,0,27,1,269,0,20,2,993,2,173,3,145,3,235,0,19,1,38
2024-01-19,37,4665,3,679,0,94,0,7,1,203,0,0,3,1243,0,21,4,145,2,231,0,27,2,52
2024-01-20,41,4619,3,606,0,94,0,12,1,313,0,0,2,823,2,228,1,47,4,239,0,9,0,1
2024-01-21,38,4988,3,605,0,156,0,12,1,228,0,0,2,529,1,172,4,167,3,245,1,36,1,29
2024-01-22,38,4988,3,605,0,156,0,3,1,228,0,13,2,529,1,172,4,167,3,245,1,36,1,29
2024-01-23,46,6109,2,482,0,114,0,3,1,292,0,13,4,1397,2,258,4,155,3,171,0,11,1,73
2024-01-24,38,4480,3,549,0,114,0,22,1,226,0,23,4,798,2,184,3,155,3,153,0,24,1,44
2024-01-25,38,4480,3,549,0,118,0,22,1,226,0,23,4,798,2,184,3,155,3,153,0,24,1,44
2024-01-26,32,4243,4,963,0,54,0,8,0,109,0,21,4,1503,1,142,4,172,4,224,0,12,0,19
2024-01-27,37,4590,4,897,0,54,0,14,2,448,0,23,1,800,4,347,2,92,4,255,0,21,1,35
2024-01-28,38,4496,3,573,0,163,0,14,1,213,0,23,3,681,1,124,3,153,5,273,1,26,1,32
2024-01-29,38,4496,3,573,0,163,0,7,1,213,0,40,3,681,1,124,3,153,5,273,1,26,1,32
2024-01-30,28,3508,2,477,0,77,0,11,1,219,0,40,3,776,1,83,2,69,1,87,1,43,0,26
2024-01-31,32,3497,1,293,0,77,0,11,1,192,0,23,2,472,2,162,3,106,3,175,1,51,0,14
2024-02-01,32,3497,1,293,0,152,0,0,1,192,0,23,2,472,2,162,3,106,3,175,1,51,0,14
2024-02-02,34,4056,4,803,0,7,0,0,0,73,0,1,3,714,3,287,2,93,3,189,1,41,1,33
2024-02-03,28,3235,4,698,0,7,0,0,0,109,0,22,2,600,1,168,3,139,3,160,0,19,1,24
2024-02-04,28,3235,4,698,1,154,0,0,0,109,0,22,2,600,1,168,3,139,3,160,0,19,1,24
2024-02-05,39,4690,3,553,1,154,0,0,0,140,0,22,4,952,2,246,3,162,3,222,0,15,1,59
2024-02-06,36,3961,3,553,1,115,0,0,0,142,0,22,3,683,1,112,2,76,2,108,0,26,1,38
2024-02-07,30,3925,3,597,1,115,0,0,0,90,0,31,2,905,3,264,1,65,3,222,0,30,1,41
2024-02-08,30,3925,3,597,0,51,0,0,0,90,0,10,2,905,3,264,1,65,3,222,0,30,1,41
2024-02-09,32,4000,2,323,0,51,0,0,1,172,0,10,2,1139,3,264,3,143,3,233,1,42,1,40
2024-02-10,27,3281,1,311,2,378,0,0,1,136,0,13,1,625,1,115,2,97,2,186,0,23,1,41
2024-02-11,27,3281,1,311,0,3,0,25,1,136,0,13,1,625,1,115,2,97,2,186,0,23,1,41
2024-02-12,31,3615,1,296,0,3,0,17,1,198,0,13,3,928,1,125,4,180,1,82,0,2,1,40
2024-02-13,34,3209,3,540,0,3,0,17,1,252,0,13,2,719,1,159,3,131,2,157,0,19,4,139
2024-02-14,29,3077,3,566,0,3,0,5,0,157,0,39,3,641,1,136,3,106,2,166,1,51,1,48
2024-02-15,29,3077,3,566,0,173,0,27,0,157,0,0,3,641,1,136,3,106,2,166,1,51,1,48
2024-02-16,29,3413,3,561,0,173,0,27,0,165,0,0,2,796,2,166,1,65,2,138,0,21,1,35
2024-02-17,33,3407,4,715,0,21,0,27,0,72,0,0,3,574,2,173,4,174,3,187,0,27,1,29
2024-02-18,33,3407,4,715,0,121,0,27,0,72,0,0,3,574,2,173,4,174,3,187,0,27,1,29
2024-02-19,25,2778,2,424,0,121,0,17,1,133,0,0,3,574,1,85,2,87,3,221,0,14,0,11
2024-02-20,26,2713,1,220,0,136,0,17,1,167,0,48,3,546,1,159,3,120,2,123,0,25,0,25
2024-02-21,26,2713,1,220,0,136,0,2,1,167,0,48,3,546,1,159,3,120,2,123,0,25,0,25
2024-02-22,27,2708,3,600,0,102,0,2,0,149,0,14,3,463,1,59,3,105,3,206,1,60,0,1
2024-02-23,27,2562,2,405,0,102,0,2,0,45,0,14,1,255,2,174,4,155,3,205,0,22,0,10
2024-02-24,26,2973,2,473,0,116,0,23,1,116,0,15,2,448,1,156,4,115,2,150,0,19,0,14
2024-02-25,26,2973,2,473,0,116,0,6,1,116,0,15,2,448,1,156,4,115,2,150,0,19,0,14
2024-02-26,28,2973,4,791,0,18,0,14,1,203,0,2,3,605,2,208,1,58,2,91,0,18,0,18
2024-02-27,28,2756,3,559,0,66,0,14,0,122,0,11,2,510,2,169,2,83,3,170,1,50,0,5
2024-02-28,28,2756,3,559,0,66,1,49,0,122,0,11,2,510,2,169,2,83,3,170,1,50,0,5
2024-02-29,32,4090,2,550,0,63,0,15,0,160,0,0,2,417,3,331,4,158,3,191,0,16,1,58
2024-03-01,27,2638,2,464,0,63,0,15,0,160,0,0,1,213,2,233,3,115,2,117,1,60,0,10
2024-03-02,26,2567,2,496,0,48,0,6,0,62,0,0,1,287,2,182,1,47,2,111,1,30,0,11
2024-03-03,26,2567,2,496,0,48,2,70,0,62,0,0,1,287,2,182,1,47,2,111,1,30,0,11
2024-03-04,24,2919,2,433,1,160,2,70,0,93,0,32,4,649,2,193,1,29,2,135,0,21,0,2
2024-03-05,35,3648,3,614,0,169,0,8,0,146,0,21,2,436,2,193,2,80,4,240,1,57,0,20
2024-03-06,35,3648,3,614,0,169,1,27,0,146,0,21,2,436,2,193,2,80,4,240,1,57,0,20
2024-03-07,27,2611,2,367,0,46,1,59,0,116,0,1,2,392,0,75,1,93,4,226,0,29,0,2
2024-03-08,28,2768,2,500,0,46,1,59,0,105,0,1,4,776,1,86,2,106,3,225,0,29,1,14
2024-03-09,28,2768,2,500,0,46,1,59,0,105,0,22,4,776,1,86,2,106,3,225,0,29,1,14
2024-03-10,29,2971,2,492,0,46,2,72,0,105,0,13,2,508,1,102,2,97,4,252,2,69,0,1
2024-03-11,28,3306,0,122,1,242,2,72,1,219,0,13,3,1040,1,110,2,97,3,177,2,56,0,31
2024-03-12,27,3043,3,559,1,242,1,36,1,222,0,14,2,428,0,18,2,69,2,162,2,70,0,0
2024-03-13,27,3043,3,559,1,250,1,61,1,222,0,14,2,428,0,18,2,69,2,162,2,70,0,0
2024-03-14,27,2971,4,761,0,80,1,61,1,197,0,2,2,436,1,127,1,89,4,221,2,104,0,8
2024-03-15,25,2717,2,613,0,80,1,34,0,140,0,2,2,434,1,163,1,49,3,227,1,51,0,4
2024-03-16,25,2717,2,613,0,136,3,111,0,140,0,15,2,434,1,163,1,49,3,227,1,51,0,4
2024-03-17,23,2305,2,509,0,136,0,16,0,108,0,28,2,394,1,164,1,111,2,121,0,22,0,0
2024-03-18,18,2331,2,495,0,147,0,16,0,12,0,28,5,808,0,40,0,44,1,118,1,55,0,0
2024-03-19,25,2694,3,560,0,147,0,6,1,183,0,6,2,443,1,134,0,22,3,184,1,35,0,4
2024-03-20,25,2694,3,560,0,151,1,47,1,183,0,6,2,443,1,134,0,22,3,184,1,35,0,4
2024-03-21,25,2741,3,440,0,82,1,47,2,388,0,0,3,527,1,120,2,72,3,297,1,32,0,1
2024-03-22,26,2648,2,452,0,82,1,32,0,125,0,0,1,284,1,175,2,75,3,184,1,47,0,16
2024-03-23,26,2648,2,452,1,237,2,89,0,125,0,0,1,284,1,175,2,75,3,184,1,47,0,16
2024-03-24,24,3010,3,533,1,237,2,89,0,60,0,12,3,1020,2,163,2,75,1,105,1,64,0,2
2024-03-25,25,2700,4,810,1,142,2,89,1,193,0,12,2,449,1,168,2,71,2,144,1,35,0,4
2024-03-26,25,2700,4,810,1,142,3,101,1,193,0,7,2,449,1,168,2,71,2,144,1,35,0,4
2024-03-27,27,2933,4,728,1,248,3,101,0,15,0,7,2,352,2,207,2,68,2,150,2,68,0,1
2024-03-28,26,3203,3,679,1,184,2,89,1,211,0,1,4,628,1,183,1,41,3,232,1,53,0,21
