# ----------------------------------------
# Report CSV Export
# Account: Leather Company
# Property: Leather Company - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20231201
# End date: 20231231
Landing page + query string,Organic Google Search clicks,Organic Google Search impressions,Organic Google Search click through rate,Organic Google Search average position,Users,Engaged sessions,Engagement rate,Average engagement time,Event count,Key events,Ad revenue
/,2045,43416,0.047102450709415884,13.675304035378662,2114,1504,0.497848394571334,115.20908230842005,33459,28,0
/ladies-c3/leather-jackets-c9,1657,188940,0.008769979887795067,14.03106806393564,1447,1152,0.7318932655654383,87.6109191430546,17911,6,0
/ladies-c3/sheepskin-jackets-c11,1227,62342,0.019681755477848,10.232074684803182,1091,879,0.7538593481989708,78.10265811182401,11528,1,0
/mens-c4/leather-jackets-c25,1201,159568,0.007526571743708012,17.175285771583276,1072,850,0.7417102966841187,78.79291044776119,11279,5,0
/handbags-c6,1173,108835,0.010777782882344834,22.315560251757248,1048,849,0.737619461337967,87.84064885496183,11365,10,0
/gift-accessories-c8/mens-gloves-c37,1130,65456,0.01726350525543877,13.006431801515522,1022,840,0.7636363636363637,67.40802348336595,9433,18,0
/handbags-c6/backpacks-c89,834,59128,0.014104992558517115,20.249154376944933,779,629,0.7461447212336892,67.59050064184852,7305,3,0
/luggage-c7/backpacks-rucksacks-c52,809,45397,0.017820560830010795,13.797982245522832,720,586,0.7436548223350253,70.56944444444444,7132,6,0
/mens-c4/sheepskin-jackets-c26,803,45908,0.01749150474862769,13.747712816938224,670,556,0.7658402203856749,79.85820895522389,6916,0,0
/luggage-c7/wash-toiletry-bags-c55,637,43748,0.014560665630428819,21.543842004205906,544,456,0.7902946273830156,73.47610294117646,6690,20,0
/handbags-c6/marta-ponti-m38,588,5277,0.1114269471290506,6.1610763691491375,508,353,0.6524953789279113,35.789370078740156,3419,0,0
/mens-c4/man-bags-briefcases-c12,507,71351,0.007105716808453981,27.372510546453448,464,379,0.7564870259481038,81.6271551724138,4663,2,0
/mens-c4/leather-jackets-c25/trapper-m33,491,6642,0.0739235170129479,9.797199638663054,399,339,0.7516629711751663,61.16040100250627,4181,0,0
/luggage-c7/holdall-c15,482,39035,0.012347892916613297,14.342513129242986,413,348,0.7699115044247787,113.6682808716707,5916,5,0
/ladies-c3/leather-jackets-c9/full-length-styles-c92,424,37780,0.011222869242985706,14.55314981471678,356,261,0.6941489361702128,39.90449438202247,3168,1,0
/gift-accessories-c8/wallets-c16,408,41478,0.009836539852451903,28.55815130912773,395,331,0.7733644859813084,68.10379746835443,3546,2,0
/handbags-c6/cross-body-bag-c87,390,45998,0.00847862950563068,27.20179138223401,357,292,0.7724867724867724,81.41456582633053,4020,3,0
/handbags-c6/ashwood-c30,377,28288,0.01332720588235294,12.951675622171946,290,243,0.7714285714285715,108.84827586206896,4119,1,0
/mens-c4/leather-jackets-c25/brown-t3,258,39824,0.006478505423865006,12.544746886299718,215,160,0.6837606837606838,65.67441860465117,2497,0,0
/gift-accessories-c8/purses-c36,233,32663,0.007133453755013318,21.158650460766005,202,176,0.8262910798122066,87.15841584158416,2525,0,0
/gift-accessories-c8/ladies-gloves-c38/ashwood-m1,229,2043,0.11209006363191386,14.539892315222712,167,127,0.6649214659685864,76.53892215568862,2061,1,0
/handbags-c6/shoulder-bag-c86,224,21695,0.010324959668126297,19.290481677805946,198,149,0.6711711711711712,54.87373737373738,1697,2,0
/sheepskin-fur-c5/mens-sheepskin-jackets-c35,215,12297,0.01748393917215581,14.593071480848987,186,137,0.6919191919191919,67.23655913978494,1905,1,0
/mens-c4/mens-waistcoats-c58,190,16035,0.011849080137199874,26.861989398191458,150,129,0.8012422360248447,89.78666666666666,1893,0,0
/sheepskin-fur-c5/sheepskin-hats-c56,183,8126,0.02252030519320699,13.915702682746739,160,139,0.7679558011049724,64.76875,1750,4,0
/ladies-c3/skirts-jeans-c74/jeans-trousers-c128,182,14298,0.01272905301440761,14.810393061966709,167,139,0.7679558011049724,47.131736526946106,1361,2,0
/sheepskin-fur-c5/sheepskin-gloves-c28,168,8704,0.019301470588235295,13.174287683823529,136,120,0.821917808219178,61.669117647058826,1375,3,0
/ladies-c3/ladies-waistcoats-c47,166,11693,0.014196527837167535,25.989053279740016,140,108,0.7297297297297297,98.04285714285714,2005,1,0
/ladies-c3/skirts-jeans-c74/skirts-dresses-c127,163,15168,0.010746308016877638,16.76417457805907,139,108,0.7346938775510204,59.35971223021583,1280,2,0
/luggage-c7,163,27497,0.005927919409390115,23.239444303014874,139,107,0.66875,57.65467625899281,1207,1,0
/mens-c4/leather-jackets-c25/3-4-styles-c100,162,9024,0.01795212765957447,12.005984042553191,122,89,0.6793893129770993,46.131147540983605,938,0,0
/handbags-c6/navy-t49,153,27624,0.0055386620330147695,9.935961482768606,134,107,0.7753623188405797,58.90298507462686,1069,1,0
/sheepskin-fur-c5,153,14905,0.010265011741026502,13.645555182824555,124,102,0.7034482758620689,101.58064516129032,1511,0,0
/ashwood-m1,151,9818,0.015379914442860052,6.361478916276227,131,107,0.7753623188405797,166.70229007633588,2184,1,0
/luggage-c7/holdall-c15/ashwood-m1,143,21128,0.006768269594850436,18.6778209011738,97,81,0.7168141592920354,102.02061855670104,1143,0,0
/mens-c4/leather-jackets-c25/ashwood-m1,143,9407,0.015201445731901774,17.667269054959075,96,74,0.7326732673267327,106.21875,1137,0,0
/luggage-c7/leather-tablet-a4-sleeves-c151,141,6756,0.020870337477797513,17.246595618709296,131,100,0.7142857142857143,40.00763358778626,1135,0,0
/mens-c4/leather-jackets-c25/bomber-styles-c99,141,52075,0.0027076332213154105,20.00384061449832,123,101,0.7593984962406015,82.29268292682927,1230,0,0
/ladies-c3/leather-jackets-c9/red-t11,134,63964,0.002094928397223438,7.475470577199675,115,91,0.7398373983739838,45.36521739130435,999,1,0
/mens-c4/mens-jackets-coats-c182,133,19928,0.006674026495383381,26.04114813327981,101,80,0.7142857142857143,66.24752475247524,1017,0,0
/gift-accessories-c8/wallets-c16/ashwood-m1,130,5826,0.022313765877102643,14.311534500514933,109,75,0.646551724137931,49.77064220183486,1071,0,0
/gift-accessories-c8/ladies-gloves-c38/red-t11,129,5704,0.02261570827489481,11.357293127629733,117,95,0.8050847457627118,52.75213675213675,1285,1,0
/mens-c4/leather-jackets-c25/biker-styles-c97,129,40823,0.0031599833427234645,15.954412953482105,128,104,0.7375886524822695,78.5859375,1495,0,0
/mens-c4/leather-jackets-c25/blazer-styles-c98,125,25149,0.004970376555727862,17.66197463119806,103,78,0.7155963302752294,71.53398058252426,1129,0,0
/handbags-c6/tan-t25,124,15396,0.00805404001039231,13.217134320602755,102,74,0.6324786324786325,72.48039215686275,816,1,0
/size-guide-i9,124,16144,0.007680872150644202,11.052775024777008,118,85,0.6589147286821705,30.559322033898304,533,0,0
/mens-c4/leather-jackets-c25/red-t11,117,10562,0.011077447453133877,13.401533800416587,103,78,0.7027027027027027,38.271844660194176,896,0,0
/mens-c4,116,26420,0.0043906131718395155,10.313777441332324,97,80,0.7476635514018691,179.4020618556701,1809,1,0
/handbags-c6/ashwood-m1/burgundy-t59,115,18868,0.006094975620097519,9.638965444138224,101,77,0.7264150943396226,56.92079207920792,887,0,0
/gift-accessories-c8/ladies-gloves-c38/brown-t3,109,6866,0.015875327701718612,10.441596271482668,100,73,0.6952380952380952,45.67,1157,4,0
