Style,Colour,Size,Description,Category,PLU,Unit Cost,Unit Retail,Units,Brand
AL FRANCO,BLACK,M,criss cross safari,MENS JACKETS,0001727504,70.00,349.00,0,AL FRANCO
AL FRANCO,BLACK,L,criss cross safari,MENS JACKETS,0001727505,70.00,349.00,0,AL FRANCO
AL FRANCO,BLACK,XL,criss cross safari,MENS JACKETS,0001727506,70.00,349.00,0,AL FRANCO
AL FRANCO,BLACK,2XL,criss cross safari,MENS JACKETS,0001727507,70.00,349.00,0,AL FRANCO
AL FRANCO,BLACK,3XL,criss cross safari,MENS JACKETS,0001727508,70.00,369.00,0,AL FRANCO
19-149,BLACK,,handbag,HANDBAGS,0004119100,12.00,89.99,0,ASHWOOD
19-149,BRIDGE,,handbag,HANDBAGS,0004119400,12.00,89.99,0,ASHWOOD
19-149,NAVY,,handbag,HANDBAGS,0004119300,12.00,89.99,0,ASHWOOD
19-149,RED,,handbag,HANDBAGS,0004119200,12.00,89.99,0,ASHWOOD
52188,RED/VT,,REINDEER,HANDBAGS,0002390400,0.00,120.00,0,ASHWOOD
62122,MERLOT,,Handbag,HANDBAGS,0003270000,0.00,99.00,0,ASHWOOD
FO-303,COGNAC,S,blouson style,MENS JACKETS,0003544403,0.00,219.00,0,ASHWOOD
FO-303,COGNAC,M,blouson style,MENS JACKETS,0003544404,0.00,219.00,0,ASHWOOD
FO-303,COGNAC,L,blouson style,MENS JACKETS,0003544405,0.00,219.00,0,ASHWOOD
FO-303,COGNAC,XL,blouson style,MENS JACKETS,0003544406,0.00,219.00,0,ASHWOOD
FO-303,COGNAC,2XL,blouson style,MENS JACKETS,0003544407,0.00,219.00,0,ASHWOOD
FO-303,COGNAC,3XL,blouson style,MENS JACKETS,0003544408,0.00,239.00,0,ASHWOOD
FO-303,COGNAC,4XL,blouson style,MENS JACKETS,0003544409,0.00,259.00,0,ASHWOOD
FO-303,COGNAC,5XL,blouson style,MENS JACKETS,0003544410,0.00,279.00,0,ASHWOOD
FO-303,COGNAC,6XL,blouson style,MENS JACKETS,0003544411,0.00,299.00,0,ASHWOOD
LP 27,BLACK,12,ladies s/skin,LADIES S/SKIN,0003829403,0.00,569.00,0,ASHWOOD
LP 27,BLACK,14,ladies s/skin,LADIES S/SKIN,0003829404,0.00,569.00,0,ASHWOOD
LP 27,BLACK,16,ladies s/skin,LADIES S/SKIN,0003829405,0.00,569.00,0,ASHWOOD
LP 27,BLACK,18,ladies s/skin,LADIES S/SKIN,0003829406,0.00,569.00,0,ASHWOOD
LP 27,BLACK/PAT,10,ladies s/skin,LADIES S/SKIN,0004259102,0.00,569.00,0,ASHWOOD
LP 27,BLACK/PAT,12,ladies s/skin,LADIES S/SKIN,0004259103,0.00,569.00,0,ASHWOOD
LP 27,BLACK/PAT,16,ladies s/skin,LADIES S/SKIN,0004259105,0.00,569.00,0,ASHWOOD
LP 27,BLACK/PAT,18,ladies s/skin,LADIES S/SKIN,0004259106,0.00,569.00,0,ASHWOOD
LP 27,INK BLUE,12,ladies s/skin,LADIES S/SKIN,0003834203,0.00,569.00,0,ASHWOOD
LP 27,KHAKI,12,ladies s/skin,LADIES S/SKIN,0003830603,0.00,569.00,0,ASHWOOD
LP 27,ROYAL BLUE,12,ladies s/skin,LADIES S/SKIN,0003831803,0.00,569.00,0,ASHWOOD
LP 27,TABAK,12,ladies s/skin,LADIES S/SKIN,0003833003,0.00,569.00,0,ASHWOOD
LP 27,TABAK,20,ladies s/skin,LADIES S/SKIN,0003833007,0.00,589.00,0,ASHWOOD
M-58,COGNAC,ONE SIZE,holdall,LUGGAGE,0003909900,0.00,150.00,0,ASHWOOD
NINNA-2013,BLACK/DDY,10,BIKER STICH PATTERN SHEEP,LADIES JACKETS,0001036502,67.00,169.00,0,ASHWOOD
NINNA-2013,BLACK/DDY,16,BIKER STICH PATTERN SHEEP,LADIES JACKETS,0001036505,67.00,169.00,0,ASHWOOD
NINNA-2013,BLACK/DDY,20,BIKER STICH PATTERN SHEEP,LADIES JACKETS,0001036507,67.00,189.00,0,ASHWOOD
NINNA-2013,GRAY,10,BIKER STICH PATTERN SHEEP,LADIES JACKETS,0001037702,67.00,169.00,0,ASHWOOD
NINNA-2013,GRAY,14,BIKER STICH PATTERN SHEEP,LADIES JACKETS,0001037704,67.00,169.00,0,ASHWOOD
NINNA-2013,GRAY,18,BIKER STICH PATTERN SHEEP,LADIES JACKETS,0001037706,67.00,169.00,0,ASHWOOD
NINNA-2013,GRAY,20,BIKER STICH PATTERN SHEEP,LADIES JACKETS,0001037707,67.00,189.00,0,ASHWOOD
FO-BU-5032,BLACK/NAPP,S,BOX JACKET LAMB,MENS JACKETS,0001761703,99.00,249.00,0,ASHWOOD
FO-BU-5032,BLACK/NAPP,M,BOX JACKET LAMB,MENS JACKETS,0001761704,99.00,249.00,0,ASHWOOD
FO-BU-5032,BLACK/NAPP,L,BOX JACKET LAMB,MENS JACKETS,0001761705,99.00,249.00,0,ASHWOOD
FO-BU-5032,BLACK/NAPP,XL,BOX JACKET LAMB,MENS JACKETS,0001761706,99.00,249.00,0,ASHWOOD
FO-BU-5032,BLACK/NAPP,2XL,BOX JACKET LAMB,MENS JACKETS,0001761707,99.00,249.00,0,ASHWOOD
FO-BU-5032,BLACK/NAPP,3XL,BOX JACKET LAMB,MENS JACKETS,0001761708,99.00,269.00,0,ASHWOOD
007,BLK/SHIRAZ,S,ladies gloves,GLOVES,0002874600,0.00,29.99,0,ASHWOOD
007,BLK/TAN,S,ladies gloves,GLOVES,0002875000,0.00,29.99,0,ASHWOOD
018S,TOBACCO,M,s/skin hat,HATS,0003564004,0.00,94.99,0,ASHWOOD
018S,TOBACCO,L,s/skin hat,HATS,0003564005,0.00,94.99,0,ASHWOOD
018S,TOBACCO,XL,s/skin hat,HATS,0003564006,0.00,94.99,0,ASHWOOD
018S,TOBACCO,2XL,s/skin hat,HATS,0003564007,0.00,94.99,0,ASHWOOD
030-T,BLACK,M,s/skin/material hats,HATS,0003556104,0.00,59.99,0,ASHWOOD
030-T,BLACK,L,s/skin/material hats,HATS,0003556105,0.00,59.99,0,ASHWOOD
030-T,BLACK,XL,s/skin/material hats,HATS,0003556106,0.00,59.99,0,ASHWOOD
030-T,BLACK,2XL,s/skin/material hats,HATS,0003556107,0.00,59.99,0,ASHWOOD
034,GRAY,S/M,SHEEPSKIN HAT,HATS,0003882100,0.00,59.99,0,ASHWOOD
034,GRAY,L/XL,SHEEPSKIN HAT,HATS,0003882101,0.00,59.99,0,ASHWOOD
034,LT BRN BRISSA,S/M,SHEEPSKIN HAT,HATS,0003881800,0.00,59.99,0,ASHWOOD
034,LT BRN BRISSA,L/XL,SHEEPSKIN HAT,HATS,0003881801,0.00,59.99,0,ASHWOOD
0479,CREAM,8,APACHI TROUSERS,LADIES JEANS,0003635101,0.00,110.00,0,ASHWOOD
0479,CREAM,10,APACHI TROUSERS,LADIES JEANS,0003635102,0.00,110.00,0,ASHWOOD
0479,CREAM,12,APACHI TROUSERS,LADIES JEANS,0003635103,0.00,110.00,0,ASHWOOD
0479,CREAM,14,APACHI TROUSERS,LADIES JEANS,0003635104,0.00,110.00,0,ASHWOOD
055,BLACK,M,ladies glove,GLOVES,0002882601,0.00,29.99,0,ASHWOOD
055,BLACK,L,ladies glove,GLOVES,0002882602,0.00,29.99,0,ASHWOOD
055,LT.TAN,S,ladies glove,GLOVES,0002883000,0.00,29.99,0,ASHWOOD
055,LT.TAN,M,ladies glove,GLOVES,0002883001,0.00,29.99,0,ASHWOOD
055,LT.TAN,L,ladies glove,GLOVES,0002883002,0.00,29.99,0,ASHWOOD
10157,BROWN,10,2 BUTTON BLAZER,LADIES JACKETS,0001581902,63.00,189.00,0,ASHWOOD
10157,BROWN,12,2 BUTTON BLAZER,LADIES JACKETS,0001581903,63.00,189.00,0,ASHWOOD
10157,BROWN,14,2 BUTTON BLAZER,LADIES JACKETS,0001581904,63.00,189.00,0,ASHWOOD
10157,BROWN,16,2 BUTTON BLAZER,LADIES JACKETS,0001581905,63.00,189.00,0,ASHWOOD
10157,BROWN,18,2 BUTTON BLAZER,LADIES JACKETS,0001581906,63.00,189.00,0,ASHWOOD
10157,BROWN,20,2 BUTTON BLAZER,LADIES JACKETS,0001581907,63.00,209.00,0,ASHWOOD
10157,TAN,10,2 BUTTON BLAZER,LADIES JACKETS,0001535302,63.00,189.00,0,ASHWOOD
10157,TAN,12,2 BUTTON BLAZER,LADIES JACKETS,0001535303,63.00,189.00,0,ASHWOOD
10157,TAN,14,2 BUTTON BLAZER,LADIES JACKETS,0001535304,63.00,189.00,0,ASHWOOD
10157,TAN,16,2 BUTTON BLAZER,LADIES JACKETS,0001535305,63.00,189.00,0,ASHWOOD
10157,TAN,18,2 BUTTON BLAZER,LADIES JACKETS,0001535306,63.00,189.00,0,ASHWOOD
10157,TAN,20,2 BUTTON BLAZER,LADIES JACKETS,0001535307,63.00,209.00,0,ASHWOOD
103,BLACK,S/M,rabbit fur gloves,GLOVES,0004100400,0.00,39.99,0,ASHWOOD
103,BLACK,M/L,rabbit fur gloves,GLOVES,0004100401,0.00,39.99,0,ASHWOOD
103 F,BLACK/BRISSA,ONE SIZE,ladies s/skin hat,HATS,0003560900,0.00,140.00,0,ASHWOOD
104,BROWN,S,LADIES GLOVES,GLOVES,0000302903,14.95,39.99,0,ASHWOOD
104,BROWN,M,LADIES GLOVES,GLOVES,0000302904,14.95,39.99,0,ASHWOOD
104,BROWN,L,LADIES GLOVES,GLOVES,0000302905,14.95,39.99,0,ASHWOOD
104 F,BLACK/BRISSA,ONE SIZE,ladies s/skin hat,HATS,0003560700,0.00,110.00,0,ASHWOOD
104 F,TAN,ONE SIZE,ladies s/skin hat,HATS,0003560600,0.00,110.00,0,ASHWOOD
109,LT.TAN,S,LADIES GLOVES,GLOVES,0002893403,9.95,29.99,0,ASHWOOD
109,LT.TAN,M,LADIES GLOVES,GLOVES,0002893404,9.95,29.99,0,ASHWOOD
109,LT.TAN,L,LADIES GLOVES,GLOVES,0002893405,9.95,29.99,0,ASHWOOD
109,PURPLE,S,LADIES GLOVES,GLOVES,0000238503,9.95,29.99,0,ASHWOOD
109,PURPLE,M,LADIES GLOVES,GLOVES,0000238504,9.95,29.99,0,ASHWOOD
109,PURPLE,L,LADIES GLOVES,GLOVES,0000238505,9.95,29.99,0,ASHWOOD
109,SHIRAZ,S,LADIES GLOVES,GLOVES,0002892003,9.95,29.99,0,ASHWOOD
109,SHIRAZ,M,LADIES GLOVES,GLOVES,0002892004,9.95,29.99,0,ASHWOOD
1123 LONG,BLACK/NAP,8,DB FULL LENGTH SHEEP,LADIES JACKETS,0000677001,139.00,349.00,0,ASHWOOD
1129-CONTRAST SAFARI,BROWN/SNU,S,SAFARI STYLE BUFFALO,MENS JACKETS,0001093603,79.00,199.00,0,ASHWOOD
