Style,Colour,Size,Category,PLU,Unit Cost,Units
AL FRANCO,BLACK,M,MENS JACKETS,0001727504,70.00,0
AL FRANCO,BLACK,L,MENS JACKETS,0001727505,70.00,0
AL FRANCO,BLACK,XL,MENS JACKETS,0001727506,70.00,0
AL FRANCO,BLACK,2XL,MENS JACKETS,0001727507,70.00,0
AL FRANCO,BLACK,3XL,MENS JACKETS,0001727508,70.00,0
NC ANA 05,BLACK,,HANDBAGS,0001509300,10.00,0
SP-BOX,DARK BROWN/NUB,3XL,MENS JACKETS,0000190908,75.00,0
BS6218A,BLACK,,WALLETS,0002039700,2.00,0
BSMOAA9,BLACK,,WALLETS,0002039600,2.00,0
JACKS BIKER,BLACK/NAP,M,MENS JACKETS,0000092904,75.00,0
NC BLOOM 01,BROWN,,HANDBAGS,0001394500,15.00,0
NC BLOOM 04,PURPLE,,HANDBAGS,0001283400,30.00,0
POH 1152 VINT,TURQUISE,,WALLETS,0002794400,0.00,0
POH-1152 COMP,NAVY,,WALLETS,0002793700,0.00,0
POH-1152 COMP,RED,,WALLETS,0002793800,0.00,0
POH-1152 COMP,TAUPE,,WALLETS,0002793600,0.00,0
COSTA BRANDO,BLACK,M,MENS JACKETS,0002437304,99.00,0
COSTA BRANDO,BLACK,L,MENS JACKETS,0002437305,99.00,0
COSTA BRANDO,BLACK,XL,MENS JACKETS,0002437306,99.00,0
COSTA BRANDO,BLACK,2XL,MENS JACKETS,0002437307,99.00,0
ENZI BIKER,BLACK,M,MENS JACKETS,0002050604,50.00,0
ENZI BIKER,BLACK,XL,MENS JACKETS,0002050606,50.00,0
ENZI ZITO,BLACK/SNU,S,MENS JACKETS,0001029903,115.00,0
ENZI ZITO,BLACK/SNU,M,MENS JACKETS,0001029904,115.00,0
ENZI ZITO,BLACK/SNU,L,MENS JACKETS,0001029905,115.00,0
ENZI ZITO,BLACK/SNU,XL,MENS JACKETS,0001029906,115.00,0
ENZI ZITO,BLACK/SNU,2XL,MENS JACKETS,0001029907,115.00,0
97125,BLACK,,HANDBAGS,0000849800,36.00,0
EH300,BLACK,M,HATS,0000978204,27.00,0
EH300,BLACK,XL,HATS,0000978206,27.00,0
EH300,BLACK,2XL,HATS,0000978207,27.00,0
EH300,BROWN,M,HATS,0000830104,27.00,0
EH300,BROWN,2XL,HATS,0000830107,27.00,0
EH300,TAN,S,HATS,0000831503,27.00,0
EH300,TAN,M,HATS,0000831504,27.00,0
EH300,TAN,L,HATS,0000831505,27.00,0
EH300,TAN,XL,HATS,0000831506,27.00,0
EH300,TAN,2XL,HATS,0000831507,27.00,0
G3000,RUST,S,MENS JACKETS,0000618203,67.00,0
G3000,RUST,M,MENS JACKETS,0000618204,67.00,0
G3000,RUST,XL,MENS JACKETS,0000618206,67.00,0
4116,BLACK,S,MENS JACKETS,0001479303,25.00,0
4116,BLACK,M,MENS JACKETS,0001479304,25.00,0
4116,BLACK,L,MENS JACKETS,0001479305,25.00,0
