Number,Status,Product Name,Description,Main Brand,Sub Brand,Product Link,MPN,SKU,Updated,Colour,Style,Size,Style-Colour-Size,PLU,Product,Usman_GS1
5060474524384,Active,GARETH | MUD/MUD | Size:ONE SIZE,GARETH | MUD/MUD | Size:ONE SIZE | Mens Triple Gusset Heavy Duty Leather Briefcase Mud/mud : Gareth,Ashwood,,https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/mens-triple-gusset-heavy-duty-leather-briefcase-mud-mud-gareth-p147,,0000075500,16/01/2020 08:48:17,mud/mud,gareth,,gareth-mud/mud-,0000075500,GARETH  MUD,Yes
5060474524384,Active,GARETH | MUD/MUD | Size:ONE SIZE,GARETH | MUD/MUD | Size:ONE SIZE | Mens Triple Gusset Heavy Duty Leather Briefcase Mud/mud : Gareth,Ashwood,,https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/mens-triple-gusset-heavy-duty-leather-briefcase-mud-mud-gareth-p147,,0000075500,16/01/2020 08:48:17,mud/mud,gareth,,gareth-mud/mud-,0000075500,GARETH MUD,Yes
5060474520065,Active,Tab Black,,,,,,,21/01/2017 13:07:32,black,tab,,tab-black-,0000851400,,
5061027912801,Active,Leather Crossbody Bag Black: 64239 / TAB,Leather Crossbody Bag Black: 64239 / TAB,Ashwood,Reindeer,,,,26/09/2023 12:58:12,black,tab,,tab-black-,0000851400,,
5061049607723,Active,ASHWOOD TAB DETAIL SQUARE CROSS BODY - BLACK,LEATHER CROSS BODY BAG,ASHWOOD,REINDEER,,,407035 BK 00,19/04/2024 11:39:25,black,tab,,tab-black-,0000851400,,
5060821285203,Active,"CB2, 63620 NDM BLACK CURVE CROSSBODY BAG","CB2, 63620 NDM BLUSH CURVE CROSSBODY BAG",ASHWOOD,REINDEER,,,,29/01/2022 07:20:21,black,curve,,curve-black-,0000852400,,
5060474520010,Active,CURVE | BLACK | Size:ONE SIZE,CURVE | BLACK | Size:ONE SIZE | Ashwood Curve  Zip Top Leather Cross Body Bag Black: 63028,Ashwood,,https://www.leathercompany.co.uk/handbags-c6/cross-body-bag-c87/ashwood-curve-zip-top-leather-cross-body-bag-black-63028-p8191,,0000852400,20/01/2017 13:36:51,black,curve,,curve-black-,0000852400,,
5060821285227,Active,"CB2, 63620 NDM TWO TONE TAN CURVE CROSSBODY BAG","CB2, 63620 NDM TWO TONE TAN CURVE CROSSBODY BAG",ASHWOOD,REINDEER,,,,29/01/2022 07:21:41,tan,curve,,curve-tan-,0000852900,,
5060821285272,Active,"CB3 63014, KELLY NDM TWO TONE TAN CURVE CROSSBODY BAG","CB3 63014, KELLY NDM TWO TONE TAN CURVE CROSSBODY BAG",ASHWOOD,REINDEER,,,,29/01/2022 07:26:50,tan,curve,,curve-tan-,0000852900,,
5061049609246,Active,CURVE | TAN | Size:ONE SIZE,CURVE | TAN | Size:ONE SIZE | Ashwood Curve  Zip Top Leather Cross Body Bag Tan: 63028,Ashwood,,https://www.leathercompany.co.uk/ladies-c3/ashwood-curve-zip-top-leather-cross-body-bag-tan-63028-p5620,,0000852900,29/04/2024 10:20:03,tan,curve,,curve-tan-,0000852900,,
5060474522410,Active,Medium Zip Top Leather Cross Pocket Body Bag Black : Jenny ,"Mini leather backpack100% genuine leatherFlap and press stud closurePocket under flap for phone and accessories Adjustable body strapsGrab handleInternal  leather trimmed slip pocketsInternal zip pocketAshwood bag charmDimensions (l) 20cm (h) 21cm (w)8cmPart of Ashwoods mini backpack range, crafted from full grain leather. The attention to detail, chic matching leather handle makes this ancestry piece a truly beautiful sought after item.",Ashwood Leather,Leather Company,https://www.leathercompany.co.uk/handbags-c6/cross-body-bag-c87/sienna-de-luca-medium-zip-top-leather-cross-pocket-body-bag-black-jenny-p2448,child-9691,child-9691,03/07/2018 17:15:06,black,jenny,,jenny-black-,0000853500,,
5060821288006,Active,ASHWOOD JENNY TOTE- BLACK,LEATHER LADIES TOTE BAG,ASHWOOD,REINDEER,,,195495 BK 00,24/06/2022 10:59:14,black,jenny,,jenny-black-,0000853500,,
5060999701000,Active,"A4 BOOK,TAN COW RHODE",A4 LEATHER BOOK COVER,ASHWOOD,,,,,21/11/2022 05:52:57,tan,rhode,,rhode-tan-,0001318500,A4 BOOK COVER TAN,Yes
5060999701000,Active,"A4 BOOK,TAN COW RHODE",A4 LEATHER BOOK COVER,ASHWOOD,,,,,21/11/2022 05:52:57,tan,rhode,,rhode-tan-,0001318500,A4-BOOK-COVER TAN,Yes
5060999701017,Active,"A5 BOOK,TAN COW RHODE",A5 LEATHER BOOK COVER,ASHWOOD,,,,,21/11/2022 05:54:03,tan,rhode,,rhode-tan-,0001318500,A5 BOOK COVER TAN,Yes
5060999701017,Active,"A5 BOOK,TAN COW RHODE",A5 LEATHER BOOK COVER,ASHWOOD,,,,,21/11/2022 05:54:03,tan,rhode,,rhode-tan-,0001318500,A5-BOOK-COVER TAN,Yes
5060999701024,Active,"A6 BOOK,TAN COW RHODE",A6 LEATHER BOOK COVER,ASHWOOD,,,,,21/11/2022 05:54:43,tan,rhode,,rhode-tan-,0001318500,A6 BOOK COVER TAN,Yes
5060999701024,Active,"A6 BOOK,TAN COW RHODE",A6 LEATHER BOOK COVER,ASHWOOD,,,,,21/11/2022 05:54:43,tan,rhode,,rhode-tan-,0001318500,A6-BOOK-COVER TAN,Yes
5060999701130,Active,"POS ASHWOOD,TAN COW RHODE",POS,ASHWOOD,,,,,21/11/2022 06:02:20,tan,rhode,,rhode-tan-,0001318500,,
5060474521598,Active,Ashwood Mens Leather Backpack - Rucksack Brown,,,,,,,08/06/2017 13:05:19,brown,rucksack,,rucksack-brown-,0001321900,RUCKSACK BROWN,Yes
5060474524490,Active,RUCKSACK TUMBLE BROWN,RUCKSACK,,,,,,16/01/2020 09:30:37,brown,rucksack,,rucksack-brown-,0001321900,RUCKSACK BROWN,Yes
5060474521581,Active,Ashwood Mens Leather Backpack - Rucksack Chestnut,,,,,,,08/06/2017 12:56:25,chestnut,rucksack,,rucksack-chestnut-,0001322000,RUCKSACK CHESTNUT,Yes
5060474524506,Active,RUCKSACK VT CHESTNUT,RUCKSACK,,,,,,16/01/2020 09:32:46,chestnut,rucksack,,rucksack-chestnut-,0001322000,RUCKSACK CHESTNUT,Yes
5060474524513,Active,A4 SLEEVE | BROWN | Size:ONE SIZE,A4 SLEEVE | BROWN | Size:ONE SIZE | Leather Document Holder Brown : A4 Sleeve,Ashwood,,https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/leather-document-holder-brown-a4-sleeve-p927,,0001322100,16/01/2020 09:36:06,brown,a4 sleeve,,a4 sleeve-brown-,0001322100,A4 SLEEVE BROWN,Yes
5060474524513,Active,A4 SLEEVE | BROWN | Size:ONE SIZE,A4 SLEEVE | BROWN | Size:ONE SIZE | Leather Document Holder Brown : A4 Sleeve,Ashwood,,https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/leather-document-holder-brown-a4-sleeve-p927,,0001322100,16/01/2020 09:36:06,brown,a4 sleeve,,a4 sleeve-brown-,0001322100,A4ZIPFOLDER BROWN,Yes
5060474524520,Active,A4 SLEEVE | CHESTNUT | Size:ONE SIZE,A4 SLEEVE | CHESTNUT | Size:ONE SIZE | Vegetable Tanned Leather Document Holder Chestnut : A4 Sleeve,Ashwood,,https://www.leathercompany.co.uk/luggage-c7/leather-tablet-a4-sleeves-c151/vegetable-tanned-leather-document-holder-chestnut-a4-sleeve-p3339,,0001322200,16/01/2020 09:38:31,chestnut,a4 sleeve,,a4 sleeve-chestnut-,0001322200,A4 SLEEVE CHESTNUT,Yes
5060474524520,Active,A4 SLEEVE | CHESTNUT | Size:ONE SIZE,A4 SLEEVE | CHESTNUT | Size:ONE SIZE | Vegetable Tanned Leather Document Holder Chestnut : A4 Sleeve,Ashwood,,https://www.leathercompany.co.uk/luggage-c7/leather-tablet-a4-sleeves-c151/vegetable-tanned-leather-document-holder-chestnut-a4-sleeve-p3339,,0001322200,16/01/2020 09:38:31,chestnut,a4 sleeve,,a4 sleeve-chestnut-,0001322200,A4ZIPFOLDER CHESTNUT,Yes
5060474524346,Active,GARETH VT CHESTNUT,TRIPLE GUSSET HEAVY DUTY BRIEFCASE,,,,,,16/01/2020 06:38:12,chestnut,gareth,,gareth-chestnut-,0001322500,GARETH  CHESTNUT,Yes
5060474524346,Active,GARETH VT CHESTNUT,TRIPLE GUSSET HEAVY DUTY BRIEFCASE,,,,,,16/01/2020 06:38:12,chestnut,gareth,,gareth-chestnut-,0001322500,GARETH CHESTNUT,Yes
5060474522021,Active,Ashwood Five Pocket Carry All Leather Messenger Bag Cognac : Pedro,"Ashwood has crafted this beautiful leather messenger bag to create an everyday bag with plenty of pockets, five in all  to organise all your essentials  designed for the traveller, organised student and business sector with luxury and fashion in mind. Features include press stud flap over closure, an external zip pocket.  Inside you will find two secure large zip pockets ideal for an ipad and ebook.",Ashwood Leather,Leather Company,https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/ashwo,,child7147,03/12/2019 05:34:07,cognac,pedro,,pedro-cognac-,0001322600,PEDRO COGNAC,Yes
5060821283797,Active,PEDRO COGNAC COW OILYWASH,MESSENGER BAG,ASHWOOD,,,,,21/09/2021 10:00:26,cognac,pedro,,pedro-cognac-,0001322600,PEDRO COGNAC,Yes
5060999701918,Active,PEDRO COGNAC OILYWASH,MESSENGER BAG,ASHWOOD,,,,,28/12/2022 09:21:59,cognac,pedro,,pedro-cognac-,0001322600,,
5060821287344,Active,"Ashwood Sally Shoulder/Cross body bag, Black.",195483 BK 00,Ashwood,,,,195483 BK 00,19/05/2022 07:45:56,black,sally,,sally-black-,0001488400,,
5061027916564,Active,SALLY / NDM / BLACK,,Ashwood,,,,,28/11/2023 11:12:02,black,sally,,sally-black-,0001488400,,
5060821287689,Active,"LUCY BUCKLE, LEATHER PURSE, BLACK","LUCY BUCKLE, LEATHER PURSE, BLACK, 195505 BK 00",ASHWOOD,REINDEER,,,195505 BK 00,09/06/2022 14:49:07,black,lucy,,lucy-black-,0001489300,,
5060999700546,Active,MC  7(LUCY)/MICHIGAN CROCO/BLACK,,Ashwood,,,,,15/11/2022 11:37:10,black,lucy,,lucy-black-,0001489300,,
5061027916595,Active,LUCY / NDM / BLACK,,Ashwood,,,,,28/11/2023 11:14:04,black,lucy,,lucy-black-,0001489300,,
5060474522007,Active,Ashwood Large Leather Briefcase Brown : 8190,,,,,,,10/08/2017 17:29:52,brown,8190,,8190-brown-,0001685400,,
5060474523936,Active,8190 TUMBLE BROWN,DOUBLE GUSSET LAPTOP COMPATIBLE BRIEFCASE,,,,,,14/01/2020 11:13:46,brown,8190,,8190-brown-,0001685400,8190 BROWN,Yes
5060821285241,Active,"CB2, 63620 NDM BLUSH CURVE CROSSBODY BAG","CB2, 63620 NDM BLUSH CURVE CROSSBODY BAG",ASHWOOD,REINDEER,,,,29/01/2022 07:23:20,blush,curve,,curve-blush-,0001950200,,
5060821285296,Active,"CB3 63014, KELLY NDM BLUSH CURVE CROSSBODY BAG","CB3 63014, KELLY NDM BLUSH CURVE CROSSBODY BAG",ASHWOOD,REINDEER,,,,29/01/2022 07:29:09,blush,curve,,curve-blush-,0001950200,,
