Brand,Style,Colour,Size,Description,PLU,Cost,Retail,Second,Wholesale,Unnamed: 10
AL FRANCO,AL FRANCO,BLACK,XS,criss cross safari,0001727502,70.0,349.0,0.0,100.0,
AL FRANCO,AL FRANCO,BLACK,S,criss cross safari,0001727503,70.0,349.0,0.0,100.0,
AL FRANCO,AL FRANCO,BLACK,M,criss cross safari,0001727504,70.0,349.0,0.0,100.0,
AL FRANCO,AL FRANCO,BLACK,L,criss cross safari,0001727505,70.0,349.0,0.0,100.0,
AL FRANCO,AL FRANCO,BLACK,XL,criss cross safari,0001727506,70.0,349.0,0.0,100.0,
AL FRANCO,AL FRANCO,BLACK,8XL,criss cross safari,0001727513,70.0,469.0,0.0,100.0,
AL FRANCO,AL FRANCO,BLACK,9XL,criss cross safari,0001727514,0.0,489.0,0.0,0.0,
AL FRANCO,AL FRANCO,BLACK,2XL,criss cross safari,0001727507,70.0,349.0,0.0,100.0,
AL FRANCO,AL FRANCO,BLACK,3XL,criss cross safari,0001727508,70.0,369.0,0.0,100.0,
AL FRANCO,AL FRANCO,BLACK,4XL,criss cross safari,0001727509,70.0,389.0,0.0,100.0,
AL FRANCO,AL FRANCO,BLACK,5XL,criss cross safari,0001727510,70.0,409.0,0.0,100.0,
AL FRANCO,AL FRANCO,BLACK,6XL,criss cross safari,0001727511,70.0,429.0,0.0,100.0,
AL FRANCO,AL FRANCO,BLACK,7XL,criss cross safari,0001727512,70.0,449.0,0.0,100.0,
AL FRANCO,AL FRANCO,BLACK,XXXS,criss cross safari,0001727500,70.0,349.0,0.0,100.0,
AL FRANCO,AL FRANCO,BLACK,XXS,criss cross safari,0001727501,70.0,349.0,0.0,100.0,
ANAPHORA,NC ANA 05,BLACK,,CLUCH BAG,0001509300,10.0,89.0,0.0,10.0,
ASHWOOD,007,BLK/BLUE,S,ladies gloves,0002875800,0.0,29.99,0.0,0.0,
ASHWOOD,007,BLK/BLUE,M,ladies gloves,0002875801,0.0,29.99,0.0,0.0,
ASHWOOD,007,BLK/BLUE,L,ladies gloves,0002875802,0.0,29.99,0.0,0.0,
ASHWOOD,007,BLK/BLUE,XL,ladies gloves,0002875803,0.0,29.99,0.0,0.0,
ASHWOOD,007,BLK/PURPLE,S,ladies gloves,0002876200,0.0,29.99,0.0,0.0,
ASHWOOD,007,BLK/PURPLE,M,ladies gloves,0002876201,0.0,29.99,0.0,0.0,
ASHWOOD,007,BLK/PURPLE,L,ladies gloves,0002876202,0.0,29.99,0.0,0.0,
ASHWOOD,007,BLK/PURPLE,XL,ladies gloves,0002876203,0.0,29.99,0.0,0.0,
ASHWOOD,007,BLK/SHIRAZ,S,ladies gloves,0002874600,0.0,29.99,0.0,0.0,
ASHWOOD,007,BLK/SHIRAZ,M,ladies gloves,0002874601,0.0,29.99,0.0,0.0,
ASHWOOD,007,BLK/SHIRAZ,L,ladies gloves,0002874602,0.0,29.99,0.0,0.0,
ASHWOOD,007,BLK/SHIRAZ,XL,ladies gloves,0002874603,0.0,29.99,0.0,0.0,
ASHWOOD,007,BLK/TAN,S,ladies gloves,0002875000,0.0,29.99,0.0,0.0,
ASHWOOD,007,BLK/TAN,M,ladies gloves,0002875001,0.0,29.99,0.0,0.0,
ASHWOOD,007,BLK/TAN,L,ladies gloves,0002875002,0.0,29.99,0.0,0.0,
ASHWOOD,007,BLK/TAN,XL,ladies gloves,0002875003,0.0,29.99,0.0,0.0,
ASHWOOD,007,BLK/TAUPE,S,ladies gloves,0002875400,0.0,29.99,0.0,0.0,
ASHWOOD,007,BLK/TAUPE,M,ladies gloves,0002875401,0.0,29.99,0.0,0.0,
ASHWOOD,007,BLK/TAUPE,L,ladies gloves,0002875402,0.0,29.99,0.0,0.0,
ASHWOOD,007,BLK/TAUPE,XL,ladies gloves,0002875403,0.0,29.99,0.0,0.0,
ASHWOOD,010B,BLACK,8XL,baseball cap fleece,0003567013,0.0,89.99,0.0,0.0,
ASHWOOD,010B,BLACK,9XL,baseball cap fleece,0003567014,0.0,89.99,0.0,0.0,
ASHWOOD,010B,BLACK,XXXS,baseball cap fleece,0003567000,0.0,89.99,0.0,0.0,
ASHWOOD,010B,BLACK,XXS,baseball cap fleece,0003567001,0.0,89.99,0.0,0.0,
ASHWOOD,010B,BLACK,XS,baseball cap fleece,0003567002,0.0,89.99,0.0,0.0,
ASHWOOD,010B,BLACK,S,baseball cap fleece,0003567003,0.0,89.99,0.0,0.0,
ASHWOOD,010B,BLACK,M,baseball cap fleece,0003567004,0.0,89.99,0.0,0.0,
ASHWOOD,010B,BLACK,L,baseball cap fleece,0003567005,0.0,89.99,0.0,0.0,
ASHWOOD,010B,BLACK,XL,baseball cap fleece,0003567006,0.0,89.99,0.0,0.0,
ASHWOOD,010B,BLACK,2XL,baseball cap fleece,0003567007,0.0,89.99,0.0,0.0,
ASHWOOD,010B,BLACK,3XL,baseball cap fleece,0003567008,0.0,89.99,0.0,0.0,
ASHWOOD,010B,BLACK,4XL,baseball cap fleece,0003567009,0.0,89.99,0.0,0.0,
ASHWOOD,010B,BLACK,5XL,baseball cap fleece,0003567010,0.0,89.99,0.0,0.0,
ASHWOOD,010B,BLACK,6XL,baseball cap fleece,0003567011,0.0,89.99,0.0,0.0,
ASHWOOD,010B,BLACK,7XL,baseball cap fleece,0003567012,0.0,89.99,0.0,0.0,
ASHWOOD,010B,BROWN,8XL,baseball cap fleece,0003568513,0.0,89.99,0.0,0.0,
ASHWOOD,010B,BROWN,9XL,baseball cap fleece,0003568514,0.0,89.99,0.0,0.0,
ASHWOOD,010B,BROWN,XXXS,baseball cap fleece,0003568500,0.0,89.99,0.0,0.0,
ASHWOOD,010B,BROWN,XXS,baseball cap fleece,0003568501,0.0,89.99,0.0,0.0,
ASHWOOD,010B,BROWN,XS,baseball cap fleece,0003568502,0.0,89.99,0.0,0.0,
ASHWOOD,010B,BROWN,S,baseball cap fleece,0003568503,0.0,89.99,0.0,0.0,
ASHWOOD,010B,BROWN,M,baseball cap fleece,0003568504,0.0,89.99,0.0,0.0,
ASHWOOD,010B,BROWN,L,baseball cap fleece,0003568505,0.0,89.99,0.0,0.0,
ASHWOOD,010B,BROWN,XL,baseball cap fleece,0003568506,0.0,89.99,0.0,0.0,
ASHWOOD,010B,BROWN,2XL,baseball cap fleece,0003568507,0.0,89.99,0.0,0.0,
ASHWOOD,010B,BROWN,3XL,baseball cap fleece,0003568508,0.0,89.99,0.0,0.0,
ASHWOOD,010B,BROWN,4XL,baseball cap fleece,0003568509,0.0,89.99,0.0,0.0,
ASHWOOD,010B,BROWN,5XL,baseball cap fleece,0003568510,0.0,89.99,0.0,0.0,
ASHWOOD,010B,BROWN,6XL,baseball cap fleece,0003568511,0.0,89.99,0.0,0.0,
ASHWOOD,010B,BROWN,7XL,baseball cap fleece,0003568512,0.0,89.99,0.0,0.0,
ASHWOOD,010B-S,BLACK,8XL,baseball s/skin cap,0003573013,0.0,99.99,0.0,0.0,
ASHWOOD,010B-S,BLACK,9XL,baseball s/skin cap,0003573014,0.0,99.99,0.0,0.0,
ASHWOOD,010B-S,BLACK,XXXS,baseball s/skin cap,0003573000,0.0,99.99,0.0,0.0,
ASHWOOD,010B-S,BLACK,XXS,baseball s/skin cap,0003573001,0.0,99.99,0.0,0.0,
ASHWOOD,010B-S,BLACK,XS,baseball s/skin cap,0003573002,0.0,99.99,0.0,0.0,
ASHWOOD,010B-S,BLACK,S,baseball s/skin cap,0003573003,0.0,99.99,0.0,0.0,
ASHWOOD,010B-S,BLACK,M,baseball s/skin cap,0003573004,0.0,99.99,0.0,0.0,
ASHWOOD,010B-S,BLACK,L,baseball s/skin cap,0003573005,0.0,99.99,0.0,0.0,
ASHWOOD,010B-S,BLACK,XL,baseball s/skin cap,0003573006,0.0,99.99,0.0,0.0,
ASHWOOD,010B-S,BLACK,2XL,baseball s/skin cap,0003573007,0.0,99.99,0.0,0.0,
ASHWOOD,010B-S,BLACK,3XL,baseball s/skin cap,0003573008,0.0,99.99,0.0,0.0,
ASHWOOD,010B-S,BLACK,4XL,baseball s/skin cap,0003573009,0.0,99.99,0.0,0.0,
ASHWOOD,010B-S,BLACK,5XL,baseball s/skin cap,0003573010,0.0,99.99,0.0,0.0,
ASHWOOD,010B-S,BLACK,6XL,baseball s/skin cap,0003573011,0.0,99.99,0.0,0.0,
ASHWOOD,010B-S,BLACK,7XL,baseball s/skin cap,0003573012,0.0,99.99,0.0,0.0,
ASHWOOD,010B-S,BROWN,8XL,baseball s/skin cap,0003574513,0.0,99.99,0.0,0.0,
ASHWOOD,010B-S,BROWN,9XL,baseball s/skin cap,0003574514,0.0,99.99,0.0,0.0,
ASHWOOD,010B-S,BROWN,XXXS,baseball s/skin cap,0003574500,0.0,99.99,0.0,0.0,
ASHWOOD,010B-S,BROWN,XXS,baseball s/skin cap,0003574501,0.0,99.99,0.0,0.0,
ASHWOOD,010B-S,BROWN,XS,baseball s/skin cap,0003574502,0.0,99.99,0.0,0.0,
ASHWOOD,010B-S,BROWN,S,baseball s/skin cap,0003574503,0.0,99.99,0.0,0.0,
ASHWOOD,010B-S,BROWN,M,baseball s/skin cap,0003574504,0.0,99.99,0.0,0.0,
ASHWOOD,010B-S,BROWN,L,baseball s/skin cap,0003574505,0.0,99.99,0.0,0.0,
ASHWOOD,010B-S,BROWN,XL,baseball s/skin cap,0003574506,0.0,99.99,0.0,0.0,
ASHWOOD,010B-S,BROWN,2XL,baseball s/skin cap,0003574507,0.0,99.99,0.0,0.0,
ASHWOOD,010B-S,BROWN,3XL,baseball s/skin cap,0003574508,0.0,99.99,0.0,0.0,
ASHWOOD,010B-S,BROWN,4XL,baseball s/skin cap,0003574509,0.0,99.99,0.0,0.0,
ASHWOOD,010B-S,BROWN,5XL,baseball s/skin cap,0003574510,0.0,99.99,0.0,0.0,
ASHWOOD,010B-S,BROWN,6XL,baseball s/skin cap,0003574511,0.0,99.99,0.0,0.0,
ASHWOOD,010B-S,BROWN,7XL,baseball s/skin cap,0003574512,0.0,99.99,0.0,0.0,
ASHWOOD,018S,BLACK/BRISSA,8XL,s/skin hat,0004077313,0.0,94.99,0.0,0.0,
ASHWOOD,018S,BLACK/BRISSA,9XL,s/skin hat,0004077314,0.0,94.99,0.0,0.0,
ASHWOOD,018S,BLACK/BRISSA,XXXS,s/skin hat,0004077300,0.0,94.99,0.0,0.0,
ASHWOOD,018S,BLACK/BRISSA,XXS,s/skin hat,0004077301,0.0,94.99,0.0,0.0,
ASHWOOD,018S,BLACK/BRISSA,XS,s/skin hat,0004077302,0.0,94.99,0.0,0.0,
ASHWOOD,018S,BLACK/BRISSA,S,s/skin hat,0004077303,0.0,94.99,0.0,0.0,
ASHWOOD,018S,BLACK/BRISSA,M,s/skin hat,0004077304,0.0,94.99,0.0,0.0,
ASHWOOD,018S,BLACK/BRISSA,L,s/skin hat,0004077305,0.0,94.99,0.0,0.0,
ASHWOOD,018S,BLACK/BRISSA,XL,s/skin hat,0004077306,0.0,94.99,0.0,0.0,
ASHWOOD,018S,BLACK/BRISSA,2XL,s/skin hat,0004077307,0.0,94.99,0.0,0.0,
