Brand,Style,Colour,Size,Description,PLU,EAN,SKU,Comm Code,Unnamed: 9,Style-Size-Colour,Usman EAN
ASHWOOD,rucksack,brown,,37CMX32CMX17CM,1321900,,,,,rucksack  brown,5060474521598
ASHWOOD,7990,brown,,RUCKSACK,2691100,,,,,7990  brown,5060474521673
ASHWOOD,pedro,cognac,,L39XH28W10 IN CM,1322600,,,,,pedro  cognac,5060474522021
ASHWOOD,harper,brown,,HAND-HELD FROLABLE SUIT CARRIER,2023100,5060474523929.0,,,,harper  brown,5060474523929
ASHWOOD,8190,brown,,L41XH32XW13 IN CM,1685400,,,,,8190  brown,5060474523936
ASHWOOD,89145,brown,,28CMX19CMX8CM,1322300,,,,,89145  brown,5060474523974
ASHWOOD,rudy,brandy,,wash bag,3847700,,,,,rudy  brandy,5060474524452
ASHWOOD,a4 sleeve,brown,,L26XH34XW3 IN CM,1322100,5060474524513.0,,,,a4 sleeve  brown,5060474524513
ASHWOOD,jack,tan,,hempstead range,2303700,,,,,jack  tan,5060474525268
ASHWOOD,elliot,tan,,man bag,2690100,,,,,elliot  tan,5060474525305
ASHWOOD,harvey,tan,,backpack,2690200,,,,,harvey  tan,5060474525329
ASHWOOD,francis,tan,,holdall,2300800,,,,,francis  tan,5060474525343
ASHWOOD,phil,tan,,WASH BAG,2300300,,,,,phil  tan,5060474525367
ASHWOOD,8140,brown,,washbag,2853300,,,,,8140  brown,5060474525909
ASHWOOD,8141,brown,,document holder,2857300,,,,,8141  brown,5060474525916
ASHWOOD,8143,brown,,briefcase,2857000,,,,,8143  brown,5060474525930
ASHWOOD,8146,brown,,weekend wheeled holdall,2856200,,,,,8146  brown,5060474525961
ASHWOOD,8147,brown,,trolley,2856700,,,,,8147  brown,5060474525978
ASHWOOD,8148,brown,,weekend trolley,2852700,,,,,8148  brown,5060474525985
ASHWOOD,8140,tan,,washbag,2855500,,,,,8140  tan,5060474526005
ASHWOOD,8142,tan,,body bag,2853200,,,,,8142  tan,5060474526029
ASHWOOD,8143,tan,,briefcase,2856800,,,,,8143  tan,5060474526036
ASHWOOD,8145,tan,,suit carrier,2855000,,,,,8145  tan,5060474526050
ASHWOOD,8146,tan,,weekend wheeled holdall,2852900,,,,,8146  tan,5060474526067
ASHWOOD,8148,tan,,weekend trolley,2855700,,,,,8148  tan,5060474526081
ASHWOOD,4551,tan,,stratford bag,2303500,,,,,4551  tan,5060474526470
ASHWOOD,4552,tan,,stratford range,2303300,,,,,4552  tan,5060474526494
ASHWOOD,g-31,brandy,,man bag,3850500,,,,,g-31  brandy,5060474526654
ASHWOOD,g-32,brandy,,man bag,3850900,,,,,g-32  brandy,5060474526685
ASHWOOD,g-33,brandy,,man bag,3851100,5060474526715.0,,,,g-33  brandy,5060474526715
ASHWOOD,g-34,brandy,,laptop bag,3851400,5060474526746.0,,,,g-34  brandy,5060474526746
ASHWOOD,g-36,brandy,,holdall,3852000,,,,,g-36  brandy,5060474526777
ASHWOOD,apron,tan,,apron,3796100,,,,,apron  tan,5060474526968
ASHWOOD,tw-01,brown,,ZIP AROUND TRAVEL WALLET,2024600,,,,,tw-01  brown,5060474526982
ASHWOOD,5991,copper brown,,classic card wallet,4026100,,,,,5991  copper brown,5060474527040
ASHWOOD,5993,copper brown,,classic card holder,4026300,,,,,5993  copper brown,5060474527057
ASHWOOD,5994,copper brown,,classic card wallet,4026000,,,,,5994  copper brown,5060474527064
ASHWOOD,5995,copper brown,,key ring,4026200,,,,,5995  copper brown,5060474527071
ASHWOOD,5996,copper brown,,luggage tag,4026400,,,,,5996  copper brown,5060474527088
ASHWOOD,1551,tan,,wallet,2697600,,,,,1551  tan,5060474527187
ASHWOOD,1552,tan,,wallet,2697300,,,,,1552  tan,5060474527200
ASHWOOD,1553,tan,,wallet,2697100,,,,,1553  tan,5060474527224
ASHWOOD,1555,tan,,wallet,2696700,,,,,1555  tan,5060474527262
ASHWOOD,1556,tan,,wallet,2696500,,,,,1556  tan,5060474527286
ASHWOOD,1558,tan,,breast wallet,2697500,,,,,1558  tan,5060474527323
ASHWOOD,1881,brown,,WALLET,3181600,,,,,1881  brown,5060474527330
ASHWOOD,1884,brown,,WALLET,3182200,,,,,1884  brown,5060474527392
ASHWOOD,1885,brown,,WALLET,3182400,,,,,1885  brown,5060474527415
ASHWOOD,1886,brown,,WALLLET,3182600,,,,,1886  brown,5060474527439
ASHWOOD,1666,brown,,HOLDALL,3180900,,,,,1666  brown,5060821280215
ASHWOOD,g-37,brandy,,washbag,3852300,,,,,g-37  brandy,5060821280239
ASHWOOD,gs-1287,brown,,WALLET GIFT SET,3181400,,,,,gs-1287  brown,5060821280246
ASHWOOD,savoy,tan,,GUN CASE,3208600,,,,,savoy  tan,5060821282356
ASHWOOD,7993,brown,,TRAVEL BAG,2690500,,,,,7993  brown,5060821282400
ASHWOOD,7994,brown,,A4 BODY BAG,2690600,,,,,7994  brown,5060821282424
ASHWOOD,w-70,brown,,back pack,4162000,,,,,w-70  brown,5060821282455
ASHWOOD,w-71,brown,,man bag,4160600,,,,,w-71  brown,5060821282479
ASHWOOD,w-72,brown,,man bag,4160800,,,,,w-72  brown,5060821282493
ASHWOOD,w-73,brown,,man bag,4161000,,,,,w-73  brown,5060821282516
ASHWOOD,w-81,brown,,mens wallet,4162200,,,,,w-81  brown,5060821282530
ASHWOOD,w-74,brown,,man bag,4161200,,,,,w-74  brown,5060821282554
ASHWOOD,w-76,brown,,holdall,4161600,,,,,w-76  brown,5060821282592
ASHWOOD,w-77,brown,,wash bag,4161800,,,,,w-77  brown,5060821282615
ASHWOOD,w-82,brown,,wallet,4162400,,,,,w-82  brown,5060821282639
ASHWOOD,w-83,brown,,card wallet,4162600,,,,,w-83  brown,5060821282653
ASHWOOD,w-84,brown,,card holder,4162800,,,,,w-84  brown,5060821282677
ASHWOOD,w-85,brown,,wallet and key ring set,4163000,,,,,w-85  brown,5060821282691
ASHWOOD,oliver,vintage tan,,holdall,3187400,,,,,oliver  vintage tan,5060821282912
ASHWOOD,adam,vintage tan,,L27XH33XW8 IN CM,3187300,,,,,adam  vintage tan,5060821282929
ASHWOOD,gs-1298,brown,,office gift set,4208900,,,,,gs-1298  brown,5060821283278
ASHWOOD,gs-1295,brown,,coin tray,4208600,,,,,gs-1295  brown,5060821283308
ASHWOOD,1775,brown,,CLASSIC 8 CARD BILL FOLD WALLET,2791400,,,,,1775  brown,5060821283544
ASHWOOD,1776,brown,,CLASSIC 3 CARD AND ID WALLET,2691200,,,,,1776  brown,5060821283551
ASHWOOD,1777,brown,,CLASSIC 8 CARD BILL FOLD,2691300,,,,,1777  brown,5060821283568
