Landing page report
"March 1, 2024 - April 22, 2024"
Landing page,Mobile speed score,Mobile-friendly click rate,Valid AMP click rate,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conv. value,Conv. value / cost
https://www.leathercompany.co.uk/ladies-c3/leather-handbags-c10/taupe-t57, --, --, --,1,172,0.58%,GBP,0.07,0.07,0.00,0.00
https://www.leathercompany.co.uk/sheepskin-fur-c5/sheepskin-rugs-c57, --, --, --,2,64,3.13%,GBP,0.70,1.39,0.00,0.00
https://www.leathercompany.co.uk/ladies-c3/leather-biker-jacket-black-nap-lily-p4329, --, --, --,0,2,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/leather-biker-jacket-tan-bronx-p1042/s5754?utm_source=google&utm_medium=cpc&utm_term=ashwood-leather-biker-jacket-tan-bronx-size-xl-size-xl-0001363606&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,9,830,1.08%,GBP,0.42,3.76,0.00,0.00
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/blazer-styles-c98/two-button-leather-blazer-timber-vito-p3930/s14166?utm_source=google&utm_medium=cpc&utm_term=Ashwood-two-button-leather-blazer-timber-vito-size-xs-size-xs-0003877202&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,8,524,1.53%,GBP,0.27,2.13,0.00,0.00
https://www.leathercompany.co.uk/ladies-c3/leather-handbags-c10/ashwood-leather-crossbody-bag-woodrose-cb-5-p8664/s24651?utm_source=google&utm_medium=cpc&utm_term=ashwood-leather-crossbody-bag-woodrose-cb-5-size-one-size-size-one-size-0005057900&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,0,18,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/home-living-c65/decorative-ornaments-c193/ashwood-rectangular-magazine-newspaper-basket-tan-agc84-p7718/s22603?utm_source=google&utm_medium=cpc&utm_term=ashwood-rectangular-magazine-newspaper-basket-tan-agc84-size-one-si-size-one-size-0004875600&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,0,31,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/gift-accessories-c8/hats-c44/8-panel-leather-flat-cap-black-kimber-p3902, --, --, --,0,1,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/Ashwood-mens-vintage-leather-tablet-sleeve-clutch-bag-rust-7991-p673/s4140?utm_source=google&utm_medium=cpc&utm_term=Ashwood-vintage-leather-tablet-sleeve-clutch-bag-7991-rust-size-one-size-one-size-0002020000&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,7,306,2.29%,GBP,0.12,0.87,0.00,0.00
https://www.leathercompany.co.uk/home-living-c65/luxury-handcrafted-leather-5-drawer-chest-cognac-se-1563-p6134/s18817?utm_source=google&utm_medium=cpc&utm_term=Ashwood-luxury-handcrafted-leather-5-drawer-chest-cognac-se-1563-size-size-one-size-0004346600&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,11,997,1.10%,GBP,0.42,4.59,0.00,0.00
https://www.leathercompany.co.uk/mens-c4/sheepskin-jackets-c26/sheepskin-flying-jacket-brown-cream-leo-p955, --, --, --,0,1,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/handbags-c6/pocket-crossbody-bags-c176/tan-t25, --, --, --,0,2,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/mens-c4/brampton-leather-biker-jacket-tan-hartside-p5378, --, --, --,0,4,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/biker-styles-c97/mens-side-zip-leather-biker-jacket-black-harley-p7079/s20905?utm_source=google&utm_medium=cpc&utm_term=Monomoi-mens-side-zip-leather-biker-jacket-black-harley-size-xl-size-xl-0004638806&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,1,227,0.44%,GBP,0.94,0.94,0.00,0.00
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/bomber-styles-c99/mens-leather-hodded-jacket-black-super-bomber-p7971/s23191?utm_source=google&utm_medium=cpc&utm_term=Ashwood-mens-leather-hodded-jacket-black-super-bomber-size-6xl-size-6xl-0004946511&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,0,35,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/mens-c4/lightweight-natural-skin-lined-leather-driving-gloves-black-750-p1734/s8340?utm_source=google&utm_medium=cpc&utm_term=ashwood-lightweight-natural-skin-lined-leather-driving-gloves-black-size-xl-0000328106&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,1,55,1.82%,GBP,0.17,0.17,0.00,0.00
https://www.leathercompany.co.uk/sheepskin-fur-c5/sheepskin-hats-c56/tan-t25, --, --, --,0,1,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/full-grain-leather-jacket-syh-jumbo-black-petros-p1281/s6717?utm_source=google&utm_medium=cpc&utm_term=estimo-leather-jacket-syh-jumbo-black-petros-size-m-size-m-0002631304&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,0,73,0.00%,GBP,0,0.03,0.00,0.00
https://www.leathercompany.co.uk/ladies-c3/ashwood-vintage-large-leather-trunk-green-vin-26-p6091/s18675?utm_source=google&utm_medium=cpc&utm_term=ashwood-vintage-large-leather-trunk-green-vin-26-size-one-size-size-one-size-0004319900&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,0,67,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/biker-styles-c78/leather-biker-jacket-cognac-essen-p2348/s9540?utm_source=google&utm_medium=cpc&utm_term=brampton-leather-biker-jacket-cognac-essen-size-18-size-18-0003061206&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,0,22,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/casual-styles-c124/womens-collarless-leather-fashion-jacket-tan-awl-284-p7635/s22466?utm_source=google&utm_medium=cpc&utm_term=Ashwood-women-apos-s-collarless-leather-fashion-jacket-tan-awl-284-s-size-10-0004864902&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,1,27,3.70%,GBP,1.05,1.05,0.00,0.00
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/gabicci-m55/size-s-t16, --, --, --,0,4,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/mens-c4/mens-waistcoats-c58/leather-waistcoat-black-tudor-p1003, --, --, --,0,4,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/mens-c4/mens-waistcoats-c58/mens-leather-laced-waistcoat-black-biker-waistcoat-p3321/s12273?utm_source=google&utm_medium=cpc&utm_term=Ashwood-men-apos-s-leather-laced-waistcoat-black-biker-waistcoat-s-size-s-0003624003&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,0,42,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/handbags-c6/ashwood-c30/medium-tote-three-section-leather-shoulder-bag-white-snake-62688-p3569/s13000?utm_source=google&utm_medium=cpc&utm_term=ashwood-medium-tote-three-section-leather-shoulder-bag-white-snake-6-size-one-size-0003752300&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,2,146,1.37%,GBP,0.14,0.27,0.00,0.00
https://www.leathercompany.co.uk/ladies-c3/accessories-c24/gloves-c102/black-t1, --, --, --,0,19,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/leather-jacket-cognac-nap-marabelle-p1002, --, --, --,0,1,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/biker-styles-c97/trapper-m33, --, --, --,0,1,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/biker-styles-c97/Ashwood-mens-leather-biker-jacket-cognac-amj-8-p7797/s22923?utm_source=google&utm_medium=cpc&utm_term=Ashwood-mens-leather-biker-jacket-cognac-amj-8-size-l-size-l-0004915205&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,2,209,0.96%,GBP,0.20,0.39,0.00,0.00
https://www.leathercompany.co.uk/mens-c4/mens-leather-hooded-bomber-jacket-tan-addison-p5462/s17014?utm_source=google&utm_medium=cpc&utm_term=Ashwood-men-apos-s-leather-hooded-bomber-jacket-tan-addison-size-5xl-size-5xl-0004153110&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,1,14,7.14%,GBP,0.22,0.22,0.00,0.00
https://www.leathercompany.co.uk/ladies-c3/Ashwood-4-card-zip-around-suede-and-leather-purse-tan-s-20-p6261/s19066?utm_source=google&utm_medium=cpc&utm_term=Ashwood-4-card-zip-around-suede-and-leather-purse-tan-s-20-size-one-size-one-size-0004379000&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,0,10,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/handbags-c6/medium-dipped-leather-saddle-bag-black-r-13-p5450/s16987?utm_source=google&utm_medium=cpc&utm_term=Ashwood-medium-dipped-leather-saddle-bag-black-r-13-size-one-size-size-one-size-0004152200&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,0,66,0.00%,GBP,0,0.00,0.00,0.00
https://www.leathercompany.co.uk/ladies-c3/sheepskin-jackets-c11/shearling-style-c111/3-4-length-toscana-suede-leather-coat-brown-lysa-p3723/s13437?utm_source=google&utm_medium=cpc&utm_term=Ashwood-3-4-length-toscana-suede-leather-coat-brown-lysa-size-12-size-12-0000758103&utm_campaign=product%2Blisting%2Bads&cid=GBP&glCurrency=GBP&glCountry=GB, --, --, --,0,14,0.00%,GBP,0,0.00,0.00,0.00
