date,Campaign,Interactions,Costs,Clicks
2023-12-31,UK | PMax | Catchall,1506.0,312.01,664.0
2023-12-31,UK | PMax | High ROAS 3.5>,1269.0,216.79,417.0
2023-12-31,UK | Leather > General,212.0,121.13,212.0
2023-12-31,UK | PMax | Mens Edinburgh Leather Jacket,112.0,54.97,98.0
2023-12-31,UK | Shopping | Mens Leather Jackets,208.0,54.46,208.0
2023-12-31,IRE | PMax | Catchall,248.0,50.45,220.0
2023-12-31,EU | PMax | Catchall,418.0,39.85,163.0
2023-12-31,"UK | PMax | Man Bags, Briefcases > HP",162.0,28.3,79.0
2023-12-31,"UK | PMax | Luggage, Handbags, Purses",259.0,25.7,111.0
2023-12-31,UK | PMax | Zombie 7,176.0,24.67,60.0
2023-12-31,UK | PMax | Zombie 1,218.0,23.16,62.0
2023-12-31,UK | Leather Luggage | Broad,27.0,22.22,27.0
2023-12-31,UK | PMax | Zombie 5,53.0,20.65,51.0
2023-12-31,UK | Ashwood (General),39.0,19.29,39.0
2023-12-31,UK | Search | Brand | tROAS,55.0,16.45,55.0
2023-12-31,UK | Leather Bag > Broad,36.0,15.85,36.0
2023-12-31,UK | PMax | Zombie 2,72.0,13.51,58.0
2023-12-31,UK | PMax | Zombie 4,50.0,13.03,47.0
2023-12-31,Store Solihull - DO NOT Touch,1696.0,3.3,
2023-12-30,UK | PMax | Catchall,1839.0,408.07,857.0
2023-12-30,UK | PMax | High ROAS 3.5>,995.0,248.34,533.0
2023-12-30,"UK | PMax | Man Bags, Briefcases > HP",369.0,94.65,225.0
2023-12-30,UK | Leather > General,156.0,80.0,156.0
2023-12-30,UK | Shopping | Mens Leather Jackets,255.0,67.7,255.0
2023-12-30,UK | PMax | Mens Edinburgh Leather Jacket,118.0,55.61,108.0
2023-12-30,IRE | PMax | Catchall,239.0,51.72,219.0
2023-12-30,UK | PMax | Zombie 5,114.0,45.96,110.0
2023-12-30,UK | Search | Brand | tROAS,93.0,43.12,93.0
2023-12-30,UK | PMax | Zombie 1,170.0,33.05,87.0
2023-12-30,UK | PMax | Zombie 2,98.0,27.83,89.0
2023-12-30,UK | PMax | Zombie 7,193.0,27.26,73.0
2023-12-30,UK | PMax | Zombie 4,108.0,27.07,104.0
2023-12-30,UK | Leather Luggage | Broad,33.0,20.57,33.0
2023-12-30,Store Solihull - DO NOT Touch,2659.0,10.7,
2023-12-30,UK | Ashwood (General),31.0,7.69,31.0
2023-12-29,UK | PMax | Catchall,1704.0,344.86,735.0
2023-12-29,UK | PMax | High ROAS 3.5>,917.0,177.56,376.0
2023-12-29,UK | Leather > General,203.0,91.15,203.0
2023-12-29,UK | Shopping | Mens Leather Jackets,280.0,72.72,280.0
2023-12-29,"UK | PMax | Man Bags, Briefcases > HP",258.0,63.95,169.0
2023-12-29,UK | PMax | Mens Edinburgh Leather Jacket,117.0,59.32,110.0
2023-12-29,UK | PMax | Zombie 5,112.0,43.83,109.0
2023-12-29,UK | PMax | Zombie 7,181.0,41.59,91.0
2023-12-29,IRE | PMax | Catchall,229.0,38.51,204.0
2023-12-29,UK | Search | Brand | tROAS,52.0,28.17,52.0
2023-12-29,UK | PMax | Zombie 1,205.0,24.47,69.0
2023-12-29,UK | Leather Luggage | Broad,32.0,21.47,32.0
2023-12-29,UK | PMax | Zombie 4,84.0,16.76,79.0
2023-12-29,UK | PMax | Zombie 2,62.0,13.28,49.0
2023-12-29,UK | Ashwood (General),32.0,12.18,32.0
2023-12-29,Store Solihull - DO NOT Touch,3097.0,7.94,
2023-12-28,UK | PMax | Catchall,1097.0,238.62,532.0
2023-12-28,UK | PMax | High ROAS 3.5>,773.0,157.47,375.0
2023-12-28,UK | Shopping | Mens Leather Jackets,356.0,91.3,356.0
2023-12-28,UK | Leather > General,176.0,70.98,176.0
2023-12-28,UK | PMax | Zombie 7,268.0,59.28,137.0
2023-12-28,UK | PMax | Mens Edinburgh Leather Jacket,140.0,51.05,119.0
2023-12-28,"UK | PMax | Man Bags, Briefcases > HP",228.0,48.75,143.0
2023-12-28,UK | PMax | Zombie 5,151.0,48.35,119.0
2023-12-28,IRE | PMax | Catchall,195.0,43.18,175.0
2023-12-28,UK | PMax | Zombie 1,207.0,28.91,88.0
2023-12-28,UK | Search | Brand | tROAS,68.0,26.16,68.0
2023-12-28,UK | Leather Luggage | Broad,28.0,20.17,28.0
2023-12-28,UK | Ashwood (General),54.0,19.28,54.0
2023-12-28,UK | PMax | Zombie 4,105.0,18.06,85.0
2023-12-28,UK | PMax | Zombie 2,97.0,17.6,71.0
2023-12-28,Store Solihull - DO NOT Touch,480.0,1.07,
2023-12-27,UK | PMax | Catchall,1401.0,281.1,690.0
2023-12-27,UK | PMax | High ROAS 3.5>,1492.0,198.74,539.0
2023-12-27,UK | Shopping | Mens Leather Jackets,354.0,93.86,354.0
2023-12-27,UK | Leather > General,213.0,85.78,213.0
2023-12-27,"UK | PMax | Man Bags, Briefcases > HP",263.0,61.99,130.0
2023-12-27,UK | PMax | Mens Edinburgh Leather Jacket,149.0,57.71,142.0
2023-12-27,IRE | PMax | Catchall,209.0,49.27,190.0
2023-12-27,UK | Search | Brand | tROAS,77.0,43.82,77.0
2023-12-27,UK | Leather Luggage | Broad,30.0,28.54,30.0
2023-12-27,UK | PMax | Zombie 4,120.0,24.89,104.0
2023-12-27,UK | PMax | Zombie 5,58.0,24.33,54.0
2023-12-27,UK | Ashwood (General),90.0,24.24,90.0
2023-12-27,UK | PMax | Zombie 2,78.0,21.56,72.0
