# ----------------------------------------
# Report CSV Export
# Account: Leather Company
# Property: Leather Company - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20240301
# End date: 20240331
Landing page,Sessions,Users,New users,Engagement rate,Average engagement time per session,Key events,Total revenue
/,10772,8413,7058,0.4623096917935388,61.05263646490902,71,8656.22
/mens-c4/leather-jackets-c25,2170,1972,1637,0.7,87.20138248847927,7,1199.23
/ladies-c3/leather-jackets-c9,2024,1801,1511,0.6867588932806324,86.41600790513834,17,2033.13
(not set),2007,1364,5,0.03687095166915795,6.7608370702541105,8,1490.11
/weekly-deals-c164,1771,1402,1204,0.3461321287408244,12.385657820440429,1,134
/handbags-c6,1746,1551,1316,0.6575028636884307,82.44158075601375,7,549.45
/handbags-c6/backpacks-c89,799,751,680,0.6633291614518148,64.37546933667083,2,199.99
/mens-c4/leather-jackets-c25/leather-jacket-tan-edinburgh-p234,768,647,461,0.6796875,69.97005208333333,2,308
/luggage-c7/holdall-c15,711,667,606,0.7510548523206751,83.35583684950774,9,1299.19
/basket,672,444,153,0.5520833333333334,81.87946428571429,52,5248.600545
/mens-c4/man-bags-briefcases-c12/mens-vintage-wash-leather-a4-side-bag-rust-7994-p676/s4143,657,539,442,0.4748858447488584,30.639269406392692,3,237
/mens-c4/man-bags-briefcases-c12,608,560,494,0.7351973684210527,87.89144736842105,0,0
/mens-c4/man-bags-briefcases-c12/vintage-wash-leather-a4-side-bag-brown-7994-p1342/s6837,579,486,394,0.4680483592400691,19.053540587219345,3,237
/handbags-c6/ashwood-c30,567,526,473,0.7566137566137566,111.7636684303351,1,160
/mens-c4,567,531,407,0.63668430335097,98.63139329805996,2,308
/handbags-c6/ashwood-m1,499,468,416,0.8597194388777555,87.00400801603206,2,83.97
/ladies-c3,490,450,318,0.5448979591836735,98.76938775510204,6,692.2
/luggage-c7/backpacks-rucksacks-c52,490,457,417,0.710204081632653,58.31224489795918,0,0
/handbags-c6/marta-ponti-m38,485,440,416,0.5587628865979382,28.641237113402063,0,0
/ladies-c3/womens-leather-biker-jacket-coffee-2810-p6175/s18978,475,427,382,0.6526315789473685,52.04,7,387.93
/gift-accessories-c8/wallets-c16,466,434,397,0.7317596566523605,68.05793991416309,4,161.38
/ladies-c3/sheepskin-jackets-c11,449,408,335,0.6146993318485523,59.88418708240535,0,0
/mens-c4/leather-jackets-c25/trapper-m33,439,393,353,0.6537585421412301,49.56492027334852,1,179
/handbags-c6/cross-body-bag-c87/ashwood-leather-crossbody-bag-tan-cb-3-63014-p7229/s21581,417,390,347,0.7194244604316546,67.91127098321343,5,174.9
/handbags-c6/cross-body-bag-c87,403,374,300,0.7245657568238213,90.84367245657569,4,224
/ladies-c3/leather-jackets-c9/full-length-styles-c92,401,373,340,0.6084788029925187,33.723192019950126,0,0
/mens-c4/leather-jackets-c25/biker-styles-c97,394,337,250,0.6700507614213198,75.51776649746193,0,0
/mens-c4/leather-jackets-c25/leather-jacket-tan-edinburgh-p234/s1255,370,350,256,0.3837837837837838,30.74054054054054,0,0
