Style,Colour,Size,Description,Category,PLU,Unit Cost,Unit Retail,Units,Total Cost,Total Retail
3120440,BRUNO,NA,side bag,MAN BAG,2938900,41,106.6,1,41,106.6
3120685,BLACK,NA,briefcase,BRIEFCASE,2939000,109,283.4,0,0,0
3120815,BLACK,NA,briefcase,BRIEFCASE,2939200,89,231.4,0,0,0
3120815,BRUNO,NA,briefcase,BRIEFCASE,2939300,89,231.4,1,89,231.4
8105817,BLACK,NA,handbag,HANDBAGS,2939400,75,195,0,0,0
8105817,BLUE,NA,handbag,HANDBAGS,2939500,75,195,-4,-300,-780
8105817,RED,NA,handbag,HANDBAGS,2939600,75,195,0,0,0
8105867,BLK/COGNAC,NA,handbag,HANDBAGS,2939800,41,179.99,0,0,0
8105867,BLUE,NA,handbag,HANDBAGS,2939700,41,179.99,1,41,179.99
8105867,BRN/COGNAC,NA,handbag,HANDBAGS,2940000,41,179.99,-2,-82,-359.98
8105867,BROWN,NA,handbag,HANDBAGS,2939900,41,179.99,-1,-41,-179.99
8105867,COGNAC/BRN,NA,handbag,HANDBAGS,2940200,41,179.99,1,41,179.99
8105879,BLUE,NA,hanbag,HANDBAGS,2940300,72,187.2,0,0,0
8105879,BROWN,NA,hanbag,HANDBAGS,2940400,72,187.2,0,0,0
8105879,BROWN/COGNAC,NA,hanbag,HANDBAGS,2940500,72,187.2,0,0,0
8105879,BRUNO,NA,hanbag,HANDBAGS,2940600,72,187.2,0,0,0
8105972,BLUE,NA,handbag,HANDBAGS,2940900,81,210.6,0,0,0
8105972,BROWN,NA,handbag,HANDBAGS,2941000,81,210.6,1,81,210.6
8105972,RED,NA,handbag,HANDBAGS,2941200,81,210.6,0,0,0
8105972,RED/COGNAC,NA,handbag,HANDBAGS,2941300,81,210.6,0,0,0
8106002,BLACK,NA,handbag,HANDBAGS,2941400,41,189.99,0,0,0
8106002,BLK/COGNAC,NA,handbag,HANDBAGS,2941500,41,189.99,-1,-41,-189.99
8106002,BLUE,NA,handbag,HANDBAGS,2941600,41,189.99,0,0,0
8106002,BRN/COGNAC,NA,handbag,HANDBAGS,2941800,41,189.99,0,0,0
8106005,BLK/COGNAC,NA,backpack,LUGGAGE,2942200,72,187.2,0,0,0
8106005,BLUE/COGNAC,NA,backpack,LUGGAGE,2942300,72,187.2,0,0,0
8106005,RED/COGNAC,NA,backpack,LUGGAGE,2942500,72,187.2,-1,-72,-187.2
8106009,COGNAC,NA,handbag,HANDBAGS,2942600,0,195,0,0,0
8106009,RED,NA,handbag,HANDBAGS,2942700,75,195,1,75,195
8106016,BLACK,NA,handbag,HANDBAGS,2942800,41,175,-5,-205,-875
8106016,BLUE,NA,handbag,HANDBAGS,2943000,41,175,0,0,0
8106016,BROWN,NA,handbag,HANDBAGS,2943100,41,175,0,0,0
8106016,BROWN/COGNAC,NA,handbag,HANDBAGS,2943200,41,175,0,0,0
8106016,RED/COGNAC,NA,handbag,HANDBAGS,2943500,41,175,0,0,0
8106019,BLACK,NA,handbag,HANDBAGS,2943600,50,130,-3,-150,-390
8106019,BLK/COGNAC,NA,handbag,HANDBAGS,2943700,50,130,0,0,0
8106019,BROWN,NA,handbag,HANDBAGS,2943900,50,130,1,50,130
8106019,BROWN/COGNAC,NA,handbag,HANDBAGS,2944000,50,130,-4,-200,-520
8106019,COGNAC,NA,handbag,HANDBAGS,2944100,50,130,-3,-150,-390
8106019,COGNAC/BRN,NA,handbag,HANDBAGS,2944200,50,130,0,0,0
8106019,RED,NA,handbag,HANDBAGS,2944300,50,130,0,0,0
8106019,RED/COGNAC,NA,handbag,HANDBAGS,2944400,50,130,-1,-50,-130
8106053,BLUE,NA,handbag,HANDBAGS,2944500,41,179.99,0,0,0
8106054,BLACK,NA,handbag,HANDBAGS,2944800,41,189.99,0,0,0
8106054,BLUE,NA,handbag,HANDBAGS,2944900,41,189.99,1,41,189.99
8106058,BLUE,NA,handbag,HANDBAGS,2945200,41,179.99,0,0,0
8106058,BROWN/COGNAC,NA,handbag,HANDBAGS,2945400,41,179.99,-2,-82,-359.98
8106068,BLACK,NA,handbag,HANDBAGS,2945600,63,163.8,0,0,0
8106068,BLK/COGNAC,NA,handbag,HANDBAGS,2945700,63,163.8,0,0,0
8106068,BLUE,NA,handbag,HANDBAGS,2945800,63,163.8,-1,-63,-163.8
8106068,BLUE/COGNAC,NA,handbag,HANDBAGS,2945900,63,163.8,1,63,163.8
8106068,BROWN,NA,handbag,HANDBAGS,2946000,63,163.8,-1,-63,-163.8
8106068,BROWN/COGNAC,NA,handbag,HANDBAGS,2946100,63,163.8,1,63,163.8
8106068,COGNAC/BRN,NA,handbag,HANDBAGS,2946300,63,163.8,-1,-63,-163.8
8106092,BLUE,NA,handbag,HANDBAGS,2946700,68,176.8,0,0,0
8106092,BRN/COGNAC,NA,handbag,HANDBAGS,2946900,68,176.8,0,0,0
8106092,BROWN,NA,handbag,HANDBAGS,2946800,68,176.8,-2,-136,-353.6
8106092,COGNAC,NA,handbag,HANDBAGS,2947000,68,176.8,0,0,0
8106092,RED,NA,handbag,HANDBAGS,2947100,68,176.8,0,0,0
8106093,BLUE,NA,handbag,HANDBAGS,2947300,72,187.2,0,0,0
8106093,RED/COGNAC,NA,handbag,HANDBAGS,2947600,72,187.2,0,0,0
8106108,BLACK,NA,handbag,HANDBAGS,2947700,67,174.2,0,0,0
8106112,BLACK,NA,handbag,HANDBAGS,2947800,60,156,0,0,0
8106112,BLUE/COGNAC,NA,handbag,HANDBAGS,2947900,60,156,0,0,0
8106112,BROWN,NA,handbag,HANDBAGS,2948000,60,156,0,0,0
8106112,BROWN/COGNAC,NA,handbag,HANDBAGS,2948100,60,156,0,0,0
8106112,COGNAC,NA,handbag,HANDBAGS,2948200,60,156,-1,-60,-156
8106112,RED/COGNAC,NA,handbag,HANDBAGS,2948300,60,156,0,0,0
8106115,BLACK,NA,handbag,HANDBAGS,2948400,72,187.2,0,0,0
8106115,COGNAC/BRN,NA,handbag,HANDBAGS,2948500,72,187.2,0,0,0
8106115,RED,NA,handbag,HANDBAGS,2948600,72,187.2,0,0,0
8106116,BLACK,NA,handbag,HANDBAGS,2948700,54,140.4,0,0,0
8106116,BROWN,NA,handbag,HANDBAGS,2948800,54,140.4,0,0,0
8106116,BROWN/COGNAC,NA,handbag,HANDBAGS,2948900,54,140.4,0,0,0
8106116,COGNAC,NA,handbag,HANDBAGS,2949000,54,140.4,0,0,0
8106116,COGNAC/BRN,NA,handbag,HANDBAGS,2949100,54,140.4,0,0,0
8106116,RED,NA,handbag,HANDBAGS,2949200,54,140.4,0,0,0
8106116,RED/COGNAC,NA,handbag,HANDBAGS,2949300,54,140.4,0,0,0
8106119,BLUE,NA,handbag,HANDBAGS,2949600,77,200.2,0,0,0
8106119,BROWN,NA,handbag,HANDBAGS,2949700,77,200.2,0,0,0
8106120,BLACK,NA,handbag,HANDBAGS,2950200,77,200.2,0,0,0
8106120,BLUE,NA,handbag,HANDBAGS,2950300,77,200.2,1,77,200.2
8106120,BROWN,NA,handbag,HANDBAGS,2950400,77,200.2,0,0,0
8106120,BROWN/COGNAC,NA,handbag,HANDBAGS,2950500,77,200.2,0,0,0
8106120,RED/COGNAC,NA,handbag,HANDBAGS,2950700,77,200.2,0,0,0
8165861,BLACK,NA,handbag,HANDBAGS,2950800,41,189.99,-1,-41,-189.99
8165861,COGNAC/BRN,NA,handbag,HANDBAGS,2951100,41,189.99,-2,-82,-379.98
A35P306,STORM PAINTED,NA,STORM PAINTED,HANDBAGS,2017600,45,89,1,45,89
A35P402,MULTI,NA,FLORAL,HANDBAGS,2016900,50,99,1,50,99
A35P413,PUPPY FLORAL,NA,PUPPY FLORAL,HANDBAGS,2018000,20,69,1,20,69
MP 01,NA,NA,MARTA PONTI ASSORTED,HANDBAGS,2038700,10,129,6,60,774
MP 02,NA,NA,MARTA PONTI ASSORTED,HANDBAGS,2038800,10,139,2,20,278
MP 03,NA,NA,MARTA PONTI ASSORTED,HANDBAGS,2038900,40,149,7,280,"1,043.00"
MP 04,NA,NA,MARTA PONTI ASSORTED,HANDBAGS,2039000,40,159,9,360,"1,431.00"
MP 05,NA,NA,MARTA PONTI ASSORTED,HANDBAGS,2039100,40,169,4,160,676
MP 06,NA,NA,MARTA PONTI ASSORTED,HANDBAGS,2039200,40,179,14,560,"2,506.00"
MP 07,NA,NA,MARTA PONTI ASSORTED,HANDBAGS,2039300,40,189,7,280,"1,323.00"
MP 08,NA,NA,MARTA PONTI ASSORTED,HANDBAGS,2039400,40,199,1,40,199
MP B21P046,BLACK,NA,wallet,WALLETS,3934100,0,24.99,-7,0,-174.93
MP B21P047,BLACK,NA,wallet,WALLETS,3933600,0,19.99,-21,0,-419.79
MP B21P049,BLACK,NA,wallet,WALLETS,3933100,0,34.99,-6,0,-209.94
MP B21P051,BLACK,NA,wallet,WALLETS,3933300,0,29.99,-22,0,-659.78
MP B21P052,BLACK,NA,card holder,WALLETS,3933500,0,19.99,-21,0,-419.79
MP B21PO50,BLACK,NA,wallet,WALLETS,3933400,0,29.99,-11,0,-329.89
