month,colour,quantity
April,Black,113
April,Tan,72
April,Timber,33
April,Brown,15
April,Navy,8
August,Black,66
August,Tan,51
August,Timber,23
August,Red,10
August,Cognac,7
December,Black,273
December,Tan,145
December,Timber,90
December,Brown,32
December,Cognac,25
February,Black,148
February,Tan,89
February,Timber,42
February,Navy,17
February,Cognac,15
January,Black,188
January,Tan,112
January,Timber,76
January,Brown,36
January,Navy,22
July,Black,61
July,Timber,20
July,Tan,13
July,Bordeaux,9
July,Red,8
June,Black,42
June,Tan,22
June,Timber,8
June,Brown,7
June,Tobacco,3
March,Black,155
March,Tan,105
March,Timber,49
March,Brown,22
March,Blue,20
May,Black,89
May,Tan,37
May,Timber,28
May,Bordeaux,7
May,Cognac,7
November,Black,208
November,Tan,128
November,Timber,96
November,Brown,34
November,Cognac,24
October,Black,135
October,Tan,109
October,Timber,79
October,Brown,22
October,Navy,15
September,Black,104
September,Tan,84
September,Timber,70
September,Brown,23
September,White,14
