Month,Units - Total,Revenue - Total,Units - Mens > Leather Jackets,Revenue - Mens > Leather Jackets,Units - Ladies > Leather Jackets,Revenue - Ladies > Leather Jackets,Units - Gift & Accessories > Purses,Revenue - Gift & Accessories > Purses,Units - Luggage > Holdall,Revenue - Luggage > Holdall,Units - Handbags > Ashwood,Revenue - Handbags > Ashwood,Units - Ladies > Ladies Jackets & Coats,Revenue - Ladies > Ladies Jackets & Coats,Units - Mens > Man Bags & Briefcases,Revenue - Mens > Man Bags & Briefcases,Units - Mens > Accessories,Revenue - Mens > Accessories,Units - Ladies > Handbags,Revenue - Ladies > Handbags,Units - Ladies > Purses,Revenue - Ladies > Purses,Units - Ladies > Accessories,Revenue - Ladies > Accessories
01,1473,148117,115,22696,20,5013,14,638,50,8209,13,1379,88,25057,78,6318,105,4886,253,14809,57,1948,44,1954
02,868,81194,72,15952,15,4243,18,850,25,3782,11,1020,65,15294,63,5077,56,1941,58,4664,41,1179,22,860
03,902,86841,78,18092,19,5165,69,2429,25,4922,3,767,73,12062,52,5158,45,1882,77,4905,49,2064,4,365
04,810,76146,70,14673,22,5107,53,1849,22,3994,14,955,80,13661,39,3300,35,1494,80,5522,34,1547,1,441
05,608,51347,31,8473,11,2900,37,1435,6,3640,9,832,34,8037,28,2942,28,1928,88,4849,17,906,1,99
06,436,37799,4,3602,2,1108,21,1094,15,4116,12,977,5,2117,46,3420,43,2072,77,4001,4,375,1,354
07,657,59494,20,6188,3,1866,40,1692,34,6873,6,780,40,7827,57,4395,37,1590,103,5314,5,280,1,245
08,961,76876,47,10170,6,2407,44,2037,34,6169,7,619,70,14246,119,5149,62,2219,91,5629,33,1334,5,210
09,1150,112272,91,18183,22,7206,49,2154,22,6833,10,750,58,25372,191,6303,66,2520,104,7684,39,1561,4,739
10,1563,170615,106,21859,42,10790,71,2711,34,8371,36,1231,93,27042,187,8570,110,4533,127,8563,50,1784,30,1003
11,2690,268583,158,31116,50,12024,111,4250,92,15650,94,2739,131,38214,271,15320,263,10063,155,9884,89,2970,56,1904
12,4062,345909,179,37147,52,11974,164,5869,162,25416,130,3160,154,49212,423,24159,341,15937,329,20892,216,7569,149,5551
