Negative keyword,Keyword or list,Campaign,Ad group,Level,Match type
VS - Universal Negatives - Use,List,UK | Ashwood (General), --,Campaign, --
VS - Universal Negatives - Use,List,UK | Leather Bag > Broad, --,Campaign, --
[ladies leather coat],Keysword,UK | Leather > General,Leather Jackets (Ladies) [BM],Ad group,Exact match
[LADIES LEATHER JACKET],Keyword,UK | Leather > General,Leather Jackets (Ladies) [BM],Ad group,Exact match
[women leather jackets],Keyword,UK | Leather > General,Leather Jackets (Ladies) [BM],Ad group,Exact match
[LADY LEATHER JACKET],Keyword,UK | Leather > General,Leather Jackets (Ladies) [BM],Ad group,Exact match
[womens leather jacket],Keyword,UK | Leather > General,Leather Jackets (Ladies) [BM],Ad group,Exact match
[women leather jacket],Keyword,UK | Leather > General,Leather Jackets (Ladies) [BM],Ad group,Exact match
[leather jacket women],Keyword,UK | Leather > General,Leather Jackets (Ladies) [BM],Ad group,Exact match
[ladies real leather jacket],Keyword,UK | Leather > General,Leather Jackets (Ladies) [BM],Ad group,Exact match
[womens leather jackets],Keyword,UK | Leather > General,Leather Jackets (Ladies) [BM],Ad group,Exact match
[LEATHER JACKET LADIES],Keyword,UK | Leather > General,Leather Jackets (Ladies) [BM],Ad group,Exact match
[LADY LEATHER JACKETS],Keyword,UK | Leather > General,Leather Jackets (Ladies) [BM],Ad group,Exact match
[leather jackets for ladies],Keyword,UK | Leather > General,Leather Jackets (Ladies) [BM],Ad group,Exact match
[ladies real leather jackets],Keyword,UK | Leather > General,Leather Jackets (Ladies) [BM],Ad group,Exact match
[LEATHER JACKETS LADY],Keyword,UK | Leather > General,Leather Jackets (Ladies) [BM],Ad group,Exact match
[LADIES LEATHER JACKETS],Keyword,UK | Leather > General,Leather Jackets (Ladies) [BM],Ad group,Exact match
[LEATHER JACKET LADY],Keyword,UK | Leather > General,Leather Jackets (Ladies) [BM],Ad group,Exact match
[LEATHER JACKETS LADIES],Keyword,UK | Leather > General,Leather Jackets (Ladies) [BM],Ad group,Exact match
"""COAT""",Keyword,UK | Leather > General,Leather Jackets [BM],Ad group,Phrase match
[leatehr jacket],Keyword,UK | Leather > General,Leather Jackets [BM],Ad group,Exact match
