Style,Colour,Size,Category,PLU,Unit Cost,Units
3120685,BLACK,,BRIEFCASE,2939000,109,0
3120815,BLACK,,BRIEFCASE,2939200,89,0
8105817,BLACK,,HANDBAGS,2939400,75,0
8105817,BLUE,,HANDBAGS,2939500,75,-4
8105817,RED,,HANDBAGS,2939600,75,0
8105867,BLK/COGNAC,,HANDBAGS,2939800,41,0
8105867,BRN/COGNAC,,HANDBAGS,2940000,41,-2
8105867,BROWN,,HANDBAGS,2939900,41,-1
8105879,BLUE,,HANDBAGS,2940300,72,0
8105879,BROWN,,HANDBAGS,2940400,72,0
8105879,BROWN/COGNAC,,HANDBAGS,2940500,72,0
8105879,BRUNO,,HANDBAGS,2940600,72,0
8105972,BLUE,,HANDBAGS,2940900,81,0
8105972,RED,,HANDBAGS,2941200,81,0
8105972,RED/COGNAC,,HANDBAGS,2941300,81,0
8106002,BLACK,,HANDBAGS,2941400,41,0
8106002,BLK/COGNAC,,HANDBAGS,2941500,41,-1
8106002,BLUE,,HANDBAGS,2941600,41,0
8106002,BRN/COGNAC,,HANDBAGS,2941800,41,0
8106005,BLK/COGNAC,,LUGGAGE,2942200,72,0
8106005,BLUE/COGNAC,,LUGGAGE,2942300,72,0
8106005,RED/COGNAC,,LUGGAGE,2942500,72,-1
8106009,COGNAC,,HANDBAGS,2942600,0,0
8106016,BLACK,,HANDBAGS,2942800,41,-5
8106016,BLUE,,HANDBAGS,2943000,41,0
8106016,BROWN,,HANDBAGS,2943100,41,0
8106016,BROWN/COGNAC,,HANDBAGS,2943200,41,0
8106016,RED/COGNAC,,HANDBAGS,2943500,41,0
8106019,BLACK,,HANDBAGS,2943600,50,-3
8106019,BLK/COGNAC,,HANDBAGS,2943700,50,0
8106019,BROWN/COGNAC,,HANDBAGS,2944000,50,-4
8106019,COGNAC,,HANDBAGS,2944100,50,-3
8106019,COGNAC/BRN,,HANDBAGS,2944200,50,0
8106019,RED,,HANDBAGS,2944300,50,0
8106019,RED/COGNAC,,HANDBAGS,2944400,50,-1
8106053,BLUE,,HANDBAGS,2944500,41,0
8106054,BLACK,,HANDBAGS,2944800,41,0
8106058,BLUE,,HANDBAGS,2945200,41,0
8106058,BROWN/COGNAC,,HANDBAGS,2945400,41,-2
8106068,BLACK,,HANDBAGS,2945600,63,0
8106068,BLK/COGNAC,,HANDBAGS,2945700,63,0
8106068,BLUE,,HANDBAGS,2945800,63,-1
8106068,BROWN,,HANDBAGS,2946000,63,-1
8106068,COGNAC/BRN,,HANDBAGS,2946300,63,-1
8106092,BLUE,,HANDBAGS,2946700,68,0
8106092,BRN/COGNAC,,HANDBAGS,2946900,68,0
8106092,BROWN,,HANDBAGS,2946800,68,-2
8106092,COGNAC,,HANDBAGS,2947000,68,0
8106092,RED,,HANDBAGS,2947100,68,0
8106093,BLUE,,HANDBAGS,2947300,72,0
8106093,RED/COGNAC,,HANDBAGS,2947600,72,0
8106108,BLACK,,HANDBAGS,2947700,67,0
8106112,BLACK,,HANDBAGS,2947800,60,0
8106112,BLUE/COGNAC,,HANDBAGS,2947900,60,0
8106112,BROWN,,HANDBAGS,2948000,60,0
8106112,BROWN/COGNAC,,HANDBAGS,2948100,60,0
8106112,COGNAC,,HANDBAGS,2948200,60,-1
8106112,RED/COGNAC,,HANDBAGS,2948300,60,0
8106115,BLACK,,HANDBAGS,2948400,72,0
8106115,COGNAC/BRN,,HANDBAGS,2948500,72,0
8106115,RED,,HANDBAGS,2948600,72,0
8106116,BLACK,,HANDBAGS,2948700,54,0
8106116,BROWN,,HANDBAGS,2948800,54,0
8106116,BROWN/COGNAC,,HANDBAGS,2948900,54,0
8106116,COGNAC,,HANDBAGS,2949000,54,0
8106116,COGNAC/BRN,,HANDBAGS,2949100,54,0
8106116,RED,,HANDBAGS,2949200,54,0
8106116,RED/COGNAC,,HANDBAGS,2949300,54,0
8106119,BLUE,,HANDBAGS,2949600,77,0
8106119,BROWN,,HANDBAGS,2949700,77,0
8106120,BLACK,,HANDBAGS,2950200,77,0
8106120,BROWN,,HANDBAGS,2950400,77,0
8106120,BROWN/COGNAC,,HANDBAGS,2950500,77,0
8106120,RED/COGNAC,,HANDBAGS,2950700,77,0
8165861,BLACK,,HANDBAGS,2950800,41,-1
8165861,COGNAC/BRN,,HANDBAGS,2951100,41,-2
MP B21P046,BLACK,,WALLETS,3934100,0,-7
MP B21P047,BLACK,,WALLETS,3933600,0,-21
MP B21P049,BLACK,,WALLETS,3933100,0,-6
MP B21P051,BLACK,,WALLETS,3933300,0,-22
MP B21P052,BLACK,,WALLETS,3933500,0,-21
MP B21PO50,BLACK,,WALLETS,3933400,0,-11
MP B225003,BLACK,,WALLETS,3933900,0,-9
MP B225006,BLACK,,WALLETS,3934400,0,-7
MP B225009,BLACK,,WALLETS,3934000,0,-10
MP B225015,BLACK,,WALLETS,3934300,0,-10
MP B225023,BLACK,,WALLETS,3933800,0,-9
MP B225024,BLACK,,WALLETS,3934200,0,-8
MP B225025,BLACK,,WALLETS,3933000,0,-10
MP B225026,BLACK,,WALLETS,3933700,0,-9
