# ----------------------------------------
# Report CSV Export
# Account: Leather Company
# Property: Leather Company - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20240401
# End date: 20240428
Landing page + query string,Organic Google Search clicks,Organic Google Search impressions,Organic Google Search click through rate,Organic Google Search average position,Users,Engaged sessions,Engagement rate,Average engagement time,Event count,Key events,Ad revenue
/,737,22057,0.03341342884345106,19.244820238473046,863,668,0.5226917057902973,85.117033603708,12679,6,0
/ladies-c3/leather-jackets-c9,1012,127488,0.007938002008032128,16.104739269578314,923,751,0.7472636815920398,93.37269772481041,12751,3,0
/gift-accessories-c8/purses-c36/ashwood-m1,37,3165,0.011690363349131122,28.43001579778831,31,30,0.8571428571428571,96.35483870967742,476,2,0
/handbags-c6/backpacks-c89,440,49318,0.008921691877205077,21.879151628208767,428,325,0.7034632034632035,66.54439252336448,4610,2,0
/mens-c4/mens-waistcoats-c58,131,10644,0.01230740323186772,19.231022172115747,118,112,0.8421052631578947,105.85593220338983,1583,2,0
/gift-accessories-c8/cleaning-products-c40,8,1113,0.0071877807726864335,35.668463611859835,9,8,0.8888888888888888,76.77777777777777,113,1,0
/gift-accessories-c8/cleaning-products-c40/collonil-3-in-1-leather-cream-cloth-and-delicate-cream-cleaning-kit-complete-leather-care-gift-set-p2646,2,161,0.012422360248447204,17.714285714285715,3,3,1,84.66666666666667,42,1,0
/gift-accessories-c8/cleaning-products-c40/collonil-m18,1,73,0.0136986301369863,18.91780821917808,1,1,1,96,19,1,0
/gift-accessories-c8/cleaning-products-c40/collonil-waterproofing-and-uv-protection-water-stop-spray-100ml-p2645,25,2600,0.009615384615384616,20.78,22,16,0.6666666666666666,25.181818181818183,171,1,0
/gift-accessories-c8/ladies-gloves-c38/ashwood-m1,10,958,0.010438413361169102,43.68997912317328,11,8,0.6666666666666666,64.81818181818181,88,1,0
/gift-accessories-c8/wallets-c16,221,39852,0.005545518418147145,29.955987152464118,226,182,0.774468085106383,56.94690265486726,2127,1,0
/gift-accessories-c8/wallets-c16/ashwood-m1,72,2752,0.02616279069767442,20.394985465116278,68,54,0.7714285714285715,47.955882352941174,681,1,0
/handbags-c6/ashwood-c30,226,17089,0.013224881502721048,12.755515243724034,197,162,0.7534883720930232,133.85786802030458,4009,1,0
/handbags-c6/cross-body-bag-c87,195,27048,0.0072094055013309675,32.98014640638864,172,152,0.7916666666666666,78.49418604651163,2043,1,0
/handbags-c6/cross-body-bag-c87/small-zip-top-vegetable-tanned-leather-cross-body-bag-chestnut-v-20-p3861/s13942?cid=GBP&glCurrency=GBP&glCountry=GB&srsltid=ChAI8MK%2BsAYQ4P3Svbb63IVbElQAkUvO%2BUXw%2FSHM0yLlcWctt2zXDJQ2vQrmM2CWvSS%2B4%2BjmUNdth1GpDkW3Uc%2FVjoy2NoxpbTIYecsHZGkELiMv3uCMwYxxbB%2FcwXiju6%2BsEsVHEMQaAg%2FP,0,0,0,0,2,2,1,633.5,170,1,0
/handbags-c6/navy-t49,103,17850,0.0057703081232493,13.903361344537815,99,82,0.803921568627451,64.85858585858585,1044,1,0
/handbags-c6/orange-t8,54,7855,0.006874602164226608,15.76791852323361,55,48,0.8135593220338984,76.58181818181818,772,1,0
/handbags-c6/white-t13,7,2732,0.002562225475841874,49.95387994143485,9,6,0.6666666666666666,66.33333333333333,61,1,0
/ladies-c3/ashwood-leather-coin-tray-brown-gs-1295-p5747,1,253,0.003952569169960474,21.288537549407113,2,2,1,465,85,1,0
/ladies-c3/ashwood-single-australian-sheepskin-rug-ochre-p6301,1,101,0.009900990099009901,32.86138613861387,2,2,1,45.5,14,1,0
