title,model,quantity,stock
00029084,710,8,23
00048043,5995,20,7
12 Card RFID Protected Leather Purse Black: J-56,J-56,5,11
12 Card RFID Protected Leather Purse Wood Rose: J-56,J-56,5,14
14 Card RFID Protected Large Leather Purse Black: S1,s1,62,85
14 Card RFID Protected Large Leather Purse Two Tone Tan: S1,s1,71,31
14 Card RFID Protected XL Leather Purse Aurora Yellow: J-54,J-54,8,7
14 Card RFID Protected XL Leather Purse Black: J-54,J-54,13,15
14 Card RFID Protected XL Leather Purse Black: S-4,s4,8,218
14 Card RFID Protected XL Leather Purse Black: S2,s2,24,120
14 Card RFID Protected XL Leather Purse Mandarin: S2,s2,21,64
14 Card RFID Protected XL Leather Purse Navy: S2,s2,15,23
14 Card RFID Protected XL Leather Purse Poppy Red: S2,s2,39,26
14 Card RFID Protected XL Leather Purse Two Tone Tan: S-4,s4,5,65
14 Card RFID Protected XL Leather Purse Two Tone Tan: S2,s2,34,65
3 Pocket Luxury Small Leather Flight Bag- Jack - Tan,JACK,21,9
3 Pocket Medium Leather Messenger Bag - 4552 - Black,4552,11,10
3 Section Vintage Woven Leather Shoulder Bag Cognac :  D-71,D-71,5,7
6 Card RFID Protected Zip Around Leather Purse Navy: S-5,s5,7,56
6 Card RFID Protected Zip Around Leather Purse Two Tone Tan: S-5,s5,8,45
8 Card Zip Around RFID Protected Large Leather Purse Green: Z-70,z-70,11,6
8 Card Zip Around RFID Protected Large Leather Purse Wine: Z-70,z-70,8,8
A6 Leather Book Cover Copper Brown : A6-LBC,A6 BOOK COVER,10,6
Ashwood A4 LEATHER BOOK COVER Brandy,A4 LEATHER BOOK COVER,13,10
Ashwood A4 LEATHER BOOK COVER Tan,A4 LEATHER BOOK COVER,13,15
Ashwood Croc Print Leather Workbag Cognac: L-77,L-77,12,7
Ashwood Crocodile Print Cross Body Bag Bordeaux/croc: C-50,C-50,8,16
Ashwood Crocodile Print Leather Backpack Green: C-51,C-51,10,10
Ashwood Crocodile Print Leather Backpack Teal: C-51,C-51,10,12
Ashwood Crocodile Print Zip Around Leather Tote Bag Tan: C-53,C-53,5,12
Ashwood Curve  Zip Top Leather Cross Body Bag  Gray: 63028,CURVE,5,80
Ashwood Curve  Zip Top Leather Cross Body Bag Aubergine/Croc: CURVE,CURVE,62,23
Ashwood Curve  Zip Top Leather Cross Body Bag Black: 63028,CURVE,8,119
Ashwood Curve  Zip Top Leather Cross Body Bag Bone/Croc: CURVE,CURVE,56,10
Ashwood Curve  Zip Top Leather Cross Body Bag Burgundy/Croc: CURVE,CURVE,41,22
Ashwood Curve  Zip Top Leather Cross Body Bag Cognac/Croc: CURVE,CURVE,33,159
Ashwood Curve  Zip Top Leather Cross Body Bag Olive: 63028,CURVE,10,70
Ashwood Curve  Zip Top Leather Cross Body Bag Orange: 63028,CURVE,16,18
Ashwood Curve  Zip Top Leather Cross Body Bag Papaya Orange: 63028,CURVE,10,182
Ashwood Curve  Zip Top Leather Cross Body Bag Slate Grey: 63028,CURVE,12,24
Ashwood Curve  Zip Top Leather Cross Body Bag Tan: 63028,CURVE,31,66
Ashwood Lambswool Duster with Solid Wooden Handle Natural: Dusty,LAMBSWOOL DUSTER,5,6
Ashwood Large Leather Holdall Brandy : G-30,G-30,8,6
Ashwood Large Leather Holdall Travel Bag Black/croc: 10973,10973,22,6
Ashwood Large Leather Holdall – Black: T-77,t-77,5,13
Ashwood Large Leather Holdall – Cognac: FE-06,fe-06,11,12
Ashwood Large Leather Holdall – Honey: T-77,t-77,13,8
Ashwood Leather Coin Tray Chestnut: GS-1295,GS-1295,9,7
Ashwood Leather Crossbody Bag Bordeaux: CB-3 (63014),63014/cb3,5,22
Ashwood Leather Crossbody Bag Green: CB-3 (63014),63014/cb3,5,51
Ashwood Leather Crossbody Bag Navy: CB-3 (63014),63014/cb3,12,11
Ashwood Leather Crossbody Bag Tan: CB-3 (63014),63014/cb3,5,24
Ashwood Leather Crossbody Smart Phone Bag - Cognac: PH-2,ph-2,7,103
Ashwood Leather Crossbody Smart Phone Bag Tan: Z-71,z-71,11,7
Ashwood Leather Holdall – Chestnut Tan: T-76,t-76,6,6
Ashwood Leather Jacket Navy: Aliona,AWL-281,8,25
Ashwood Leather Medium Flight Bag Chestnut Tan: T-71,t-71,16,9
Ashwood Leather Quilted Backpack Black,QUILTED BACKPACK,11,12
Ashwood Leather Quilted Backpack Cream,QUILTED BACKPACK,5,15
Ashwood Leather Shoulder Bag Black: Z-72,z-72,5,10
Ashwood Luxury Leather Biker Jacket Veggie Tan: Andriy,2824,7,8
Ashwood Luxury Leather Desk Set Brown: GS-1298,GS-1298,5,10
Ashwood Men’s Dual Zip Leather Washbag – Chestnut Tan: T-78,t-78,16,8
Ashwood Sheepskin Cushion Grey,SHEEPSKIN CUSHION,8,9
