Date,Clicks,Impressions,CTR,Position
2024-02-05,694,73000,0.95%,20.92
2024-02-04,877,81626,1.07%,19.41
2024-02-03,784,79399,0.99%,19.84
2024-02-02,687,68793,1%,20.68
2024-02-01,745,69616,1.07%,20.99
2024-01-31,750,71023,1.06%,20.47
2024-01-30,679,69730,0.97%,20.24
2024-01-29,765,77173,0.99%,20.04
2024-01-28,959,89819,1.07%,19.53
2024-01-27,842,82767,1.02%,19.56
2024-01-26,668,71003,0.94%,20.98
2024-01-25,705,73992,0.95%,21.76
2024-01-24,678,72688,0.93%,21.21
2024-01-23,695,73482,0.95%,20.59
2024-01-22,763,74949,1.02%,20.99
2024-01-21,969,87912,1.1%,19.76
2024-01-20,962,80357,1.2%,19.15
2024-01-19,806,75070,1.07%,19.71
2024-01-18,874,74052,1.18%,19.42
2024-01-17,814,75022,1.09%,20.18
2024-01-16,885,80418,1.1%,21.12
2024-01-15,829,82938,1%,21.34
2024-01-14,890,91254,0.98%,20.55
2024-01-13,942,98570,0.96%,20.99
2024-01-12,839,89336,0.94%,21.72
2024-01-11,813,85664,0.95%,20.87
2024-01-10,826,85010,0.97%,20.97
2024-01-09,811,79854,1.02%,20.79
2024-01-08,877,84833,1.03%,21.99
2024-01-07,1004,87732,1.14%,20.3
2024-01-06,924,90778,1.02%,20.08
2024-01-05,826,78654,1.05%,20.33
2024-01-04,878,79266,1.11%,20.52
2024-01-03,846,78986,1.07%,20.91
2024-01-02,997,83792,1.19%,21.22
2024-01-01,854,79105,1.08%,20.6
2023-12-31,741,76169,0.97%,21.92
2023-12-30,958,86454,1.11%,19.25
2023-12-29,1052,80491,1.31%,18.7
2023-12-28,1160,88156,1.32%,18.67
2023-12-27,1207,97405,1.24%,19.02
2023-12-26,1263,105205,1.2%,18.96
2023-12-25,856,81337,1.05%,20.59
2023-12-24,661,69526,0.95%,22.93
2023-12-23,649,73658,0.88%,21.98
2023-12-22,710,73315,0.97%,21.34
2023-12-21,727,79264,0.92%,20.94
2023-12-20,796,83731,0.95%,20.84
2023-12-19,823,89280,0.92%,20.68
2023-12-18,1002,98572,1.02%,19.84
2023-12-17,1169,103138,1.13%,18.83
2023-12-16,1035,99779,1.04%,19.43
2023-12-15,943,85785,1.1%,19.86
2023-12-14,990,92359,1.07%,20.41
2023-12-13,1033,94642,1.09%,20.1
2023-12-12,1108,94481,1.17%,19.84
2023-12-11,1200,99151,1.21%,19.64
