Top pages,Clicks,Impressions,CTR,Position
https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9,8630,955463,0.9%,14.9
https://www.leathercompany.co.uk/,8434,204736,4.12%,18.96
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25,6677,761968,0.88%,17.41
https://www.leathercompany.co.uk/handbags-c6,4844,461451,1.05%,22.79
https://www.leathercompany.co.uk/ladies-c3/sheepskin-jackets-c11,4755,266960,1.78%,11.23
https://www.leathercompany.co.uk/handbags-c6/backpacks-c89,3423,258027,1.33%,20.52
https://www.leathercompany.co.uk/luggage-c7/backpacks-rucksacks-c52,3384,212765,1.59%,15.33
https://www.leathercompany.co.uk/mens-c4/sheepskin-jackets-c26,3216,197467,1.63%,14.37
https://www.leathercompany.co.uk/gift-accessories-c8/mens-gloves-c37,3155,222978,1.41%,16.28
https://www.leathercompany.co.uk/handbags-c6/marta-ponti-m38,3083,34927,8.83%,6.95
https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12,2455,358293,0.69%,28.35
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/trapper-m33,2332,58384,3.99%,8.61
https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/full-length-styles-c92,2064,267212,0.77%,10.73
https://www.leathercompany.co.uk/luggage-c7/holdall-c15,1943,186379,1.04%,16.45
https://www.leathercompany.co.uk/luggage-c7/wash-toiletry-bags-c55,1903,183377,1.04%,25.18
https://www.leathercompany.co.uk/handbags-c6/ashwood-c30,1652,113236,1.46%,11.45
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/brown-t3,1370,203540,0.67%,11.98
https://www.leathercompany.co.uk/handbags-c6/cross-body-bag-c87,1142,187585,0.61%,30.86
https://www.leathercompany.co.uk/gift-accessories-c8/wallets-c16,1055,167209,0.63%,32.67
https://www.leathercompany.co.uk/mens-c4/mens-waistcoats-c58,1032,93761,1.1%,23.22
https://www.leathercompany.co.uk/luggage-c7,888,133716,0.66%,24.29
https://www.leathercompany.co.uk/ladies-c3/ladies-waistcoats-c47,861,69298,1.24%,25.9
https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/red-t11,831,259693,0.32%,8.47
https://www.leathercompany.co.uk/handbags-c6/shoulder-bag-c86,822,96143,0.85%,20.46
https://www.leathercompany.co.uk/sheepskin-fur-c5/mens-sheepskin-jackets-c35,805,50211,1.6%,14.16
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/3-4-styles-c100,800,40831,1.96%,11.92
https://www.leathercompany.co.uk/gift-accessories-c8/purses-c36,751,142434,0.53%,23.69
https://www.leathercompany.co.uk/size-guide-i9,746,91171,0.82%,10.16
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/bomber-styles-c99,667,293354,0.23%,19.84
https://www.leathercompany.co.uk/handbags-c6/navy-t49,658,112088,0.59%,11.47
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-m1,658,40734,1.62%,15.63
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/red-t11,644,52397,1.23%,14.27
https://www.leathercompany.co.uk/ashwood-m1,612,42237,1.45%,6.59
https://www.leathercompany.co.uk/mens-c4/mens-jackets-coats-c182,596,80313,0.74%,25.26
https://www.leathercompany.co.uk/handbags-c6/tan-t25,585,74655,0.78%,13.54
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/blazer-styles-c98,576,187737,0.31%,16.07
https://www.leathercompany.co.uk/sheepskin-fur-c5/sheepskin-hats-c56,572,27208,2.1%,17.09
https://www.leathercompany.co.uk/handbags-c6/ashwood-m1/burgundy-t59,556,79204,0.7%,9.7
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/biker-styles-c97,541,211522,0.26%,14.18
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/full-grain-leather-jacket-syh-jumbo-black-petros-p1281,536,25466,2.1%,13.09
https://www.leathercompany.co.uk/gift-accessories-c8/ladies-gloves-c38/ashwood-m1,531,8807,6.03%,24.83
https://www.leathercompany.co.uk/ladies-c3/skirts-jeans-c74/skirts-dresses-c127,509,54607,0.93%,18.82
https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/burgundy-t59,506,294381,0.17%,6.16
https://www.leathercompany.co.uk/sheepskin-fur-c5,502,50795,0.99%,17.06
https://www.leathercompany.co.uk/ladies-c3/skirts-jeans-c74/jeans-trousers-c128,500,44733,1.12%,18.3
https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/3-4-styles-c91,491,124613,0.39%,6.27
https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/tan-t25,482,143084,0.34%,7.44
https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/ashwood-m1,481,313725,0.15%,4.62
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/blue-t2,474,41027,1.16%,11.34
https://www.leathercompany.co.uk/mens-c4,470,92116,0.51%,12.14
https://www.leathercompany.co.uk/luggage-c7/holdall-c15/ashwood-m1,447,73672,0.61%,22.33
https://www.leathercompany.co.uk/gift-accessories-c8/wallets-c16/ashwood-m1,443,15851,2.79%,17.3
https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/laptop-messenger-bags-c113,437,119617,0.37%,25.62
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/bugatti-m51,434,9366,4.63%,13.42
https://www.leathercompany.co.uk/map/leather-company-london,428,19492,2.2%,14.06
https://www.leathercompany.co.uk/sheepskin-fur-c5/sheepskin-gloves-c28,413,30670,1.35%,17.66
https://www.leathercompany.co.uk/luggage-c7/leather-tablet-a4-sleeves-c151,410,24272,1.69%,19.14
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/size-5xl-t29,396,19362,2.05%,20.67
https://www.leathercompany.co.uk/ladies-c3,377,84894,0.44%,9.24
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/white-t13,365,42305,0.86%,14.62
https://www.leathercompany.co.uk/sheepskin-fur-c5/sheepskin-footwear-c46/fenland-m10,356,20741,1.72%,22.2
https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/navy-t49,355,77013,0.46%,7.78
https://www.leathercompany.co.uk/handbags-c6/ashwood-m1/green-t6,342,34686,0.99%,17.79
https://www.leathercompany.co.uk/gift-accessories-c8/ladies-gloves-c38/red-t11,335,23195,1.44%,12.9
https://www.leathercompany.co.uk/handbags-c6/cheltenham-croc-collection-c177,330,28248,1.17%,12.7
https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/green-t6,328,57000,0.58%,10.32
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/leather-jacket-tan-edinburgh-p234,326,190369,0.17%,7.56
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/tan-t25,324,27003,1.2%,19.06
https://www.leathercompany.co.uk/sheepskin-fur-c5/ladies-sheepskin-jackets-c13,307,21450,1.43%,18.05
https://www.leathercompany.co.uk/luggage-c7/backpacks-rucksacks-c52/ashwood-m1,282,58063,0.49%,7.59
https://www.leathercompany.co.uk/gift-accessories-c8/purses-c36/ashwood-m1,280,18575,1.51%,17.35
https://www.leathercompany.co.uk/map/leather-company-solihull,277,9809,2.82%,11.91
https://www.leathercompany.co.uk/gift-accessories-c8/ladies-gloves-c38/brown-t3,274,24469,1.12%,14.45
https://www.leathercompany.co.uk/gift-accessories-c8/ladies-gloves-c38/xl-t19,266,5829,4.56%,17.19
https://www.leathercompany.co.uk/luggage-c7/manbags-briefcases-c64,261,30713,0.85%,17.76
https://www.leathercompany.co.uk/mens-c4/leather-gun-slip-brandy-savoy-p2421,260,5462,4.76%,15.85
https://www.leathercompany.co.uk/luggage-c7/wash-toiletry-bags-c55/ashwood-m1,255,27883,0.91%,17.74
https://www.leathercompany.co.uk/mens-c4/accessories-c27,251,36013,0.7%,29.51
https://www.leathercompany.co.uk/handbags-c6/the-bridge-m7,249,36508,0.68%,10.2
https://www.leathercompany.co.uk/mens-c4/mens-shearling-sheepskin-coat-honey-tan-del-boy-p6074,248,25341,0.98%,4.86
https://www.leathercompany.co.uk/luggage-c7/backpacks-rucksacks-c52/tan-t25,244,53439,0.46%,5.68
https://www.leathercompany.co.uk/handbags-c6/cross-body-bag-c87/ashwood-m1,242,29870,0.81%,19.34
https://www.leathercompany.co.uk/handbags-c6/ashwood-m1/red-t11,239,34483,0.69%,15.04
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/size-3xl-t27,239,17250,1.39%,17.52
https://www.leathercompany.co.uk/handbags-c6/sienna-de-luca-m56,239,13906,1.72%,4.92
https://www.leathercompany.co.uk/handbags-c6/ashwood-m1/tan-t25,225,20591,1.09%,8.16
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/size-xs-t15,220,23059,0.95%,15.04
https://www.leathercompany.co.uk/gift-accessories-c8/ladies-gloves-c38/navy-t49,213,17313,1.23%,9.47
https://www.leathercompany.co.uk/gift-accessories-c8/mens-gloves-c37/ashwood-m1,212,39585,0.54%,7.09
https://www.leathercompany.co.uk/gift-accessories-c8/purses-c36/green-t6,204,18418,1.11%,17.07
https://www.leathercompany.co.uk/luggage-c7/suit-carriers-c51/ashwood-m1,203,12119,1.68%,25.78
https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/ashwood-m1,202,51262,0.39%,13.2
https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/grey-t7,201,31799,0.63%,8.99
https://www.leathercompany.co.uk/ladies-c3/womens-luxury-shearling-aviator-jacket-black-brissa-alessa-p4391,197,60551,0.33%,25.02
https://www.leathercompany.co.uk/gift-accessories-c8/ladies-gloves-c38,195,32703,0.6%,35.06
https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/laptop-messenger-bags-c113/brown-t3,195,26739,0.73%,13.35
https://www.leathercompany.co.uk/handbags-c6/cross-body-bag-c87/burgundy-t59,195,21837,0.89%,7.98
https://www.leathercompany.co.uk/handbags-c6/teal-t74,195,15500,1.26%,10.75
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/size-4xl-t28,194,10228,1.9%,16.02
https://www.leathercompany.co.uk/handbags-c6/ashwood-m1/grey-t7,188,35037,0.54%,22.17
https://www.leathercompany.co.uk/contact-us-i3,187,28849,0.65%,8.9
https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/briefcases-c112,186,76117,0.24%,12.81
https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/casual-styles-c124,180,29371,0.61%,16.98
https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/size-22-t37,179,164297,0.11%,5.74
https://www.leathercompany.co.uk/mens-c4/mens-waistcoats-c58/sheepskin-gilet-tobacco-norden-p814,179,13946,1.28%,9.98
https://www.leathercompany.co.uk/mens-c4/fur-parkas-c73,178,59665,0.3%,49.58
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/monomoi-m52,174,2160,8.06%,8.58
https://www.leathercompany.co.uk/mens-c4/classic-russian-style-sheepskin-hat-tobacco-vladimir-p4399,173,91113,0.19%,5.7
https://www.leathercompany.co.uk/mens-c4/luxury-leather-belt-and-wallet-gift-set-brown-gs-1250-p6126,173,10211,1.69%,15.56
https://www.leathercompany.co.uk/mens-c4/sheepskin-jackets-c26/black-t1,171,114091,0.15%,6.8
https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/flight-bags-c118,170,55706,0.31%,9.61
https://www.leathercompany.co.uk/gift-accessories-c8/purses-c36/red-t11,170,22846,0.74%,25.6
https://www.leathercompany.co.uk/handbags-c6/chestnut-t26,168,75988,0.22%,5
https://www.leathercompany.co.uk/handbags-c6/orange-t8,168,25968,0.65%,22.43
https://www.leathercompany.co.uk/ladies-c3/fur-coats-c77,167,21446,0.78%,17.32
https://www.leathercompany.co.uk/handbags-c6/brampton-m25,166,45379,0.37%,4.59
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/burgundy-t59,163,13971,1.17%,15.59
https://www.leathercompany.co.uk/ladies-c3/skirts-jeans-c74/jeans-trousers-c128/womens-suede-leather-trousers-sand-sue-766-p3338,158,19959,0.79%,16.68
https://www.leathercompany.co.uk/handbags-c6/camel-t50,157,43202,0.36%,7.35
https://www.leathercompany.co.uk/monomoi-m52,157,1000,15.7%,2.4
https://www.leathercompany.co.uk/gift-accessories-c8/ladies-gloves-c38/ashwood-m1/tan-t25,155,7619,2.03%,6.46
https://www.leathercompany.co.uk/map/leather-company-birmingham-hq,154,5106,3.02%,6.92
https://www.leathercompany.co.uk/luggage-c7/mens-leather-suit-carrier-chestnut-harper-p595,152,44051,0.35%,11.93
https://www.leathercompany.co.uk/handbags-c6/cross-body-bag-c87/navy-t49,151,26349,0.57%,13.22
https://www.leathercompany.co.uk/map,149,11279,1.32%,10.7
https://www.leathercompany.co.uk/mens-c4/accessories-c27/mens-501-leather-jeans-black-lj-501-p3340,148,9345,1.58%,20.19
