Top queries,Clicks,Impressions,CTR,Position
leather company,3235,31463,10.28%,2.34
leather jacket women,1348,97175,1.39%,8.45
the leather company,1149,10810,10.63%,3.26
leather backpack,926,57239,1.62%,10.5
marta ponti bags,913,4851,18.82%,1.8
mens leather jackets,795,59628,1.33%,9.37
mens leather gloves,790,35068,2.25%,5.95
trapper leather jacket,734,2895,25.35%,1.18
leather handbags,720,36355,1.98%,15.9
ladies leather jacket,581,27640,2.1%,8.17
marta ponti,544,4388,12.4%,3.53
sheepskin coat,525,48477,1.08%,8.54
womens leather jackets,500,33548,1.49%,7.26
leather handbags for women,424,19187,2.21%,16.61
leather backpack for women,417,22151,1.88%,18.68
leather jacket,416,52232,0.8%,28.3
leather jackets,411,47363,0.87%,14.37
leather jackets for women,398,19092,2.08%,13.03
leather jacket mens,381,30285,1.26%,13.77
leather holdall,370,12611,2.93%,3.68
red leather jacket,366,66557,0.55%,10.1
brown leather jacket,349,67929,0.51%,8.48
ashwood leather,348,20351,1.71%,4.71
leather rucksack,344,14649,2.35%,6.57
leather jacket men,343,32664,1.05%,16.46
leather gloves men,339,19424,1.75%,7.62
sheepskin coat women,324,8822,3.67%,7.8
leather jackets for men,287,18277,1.57%,17.04
trapper jacket,278,1917,14.5%,1.77
ashwood leather jacket,274,1862,14.72%,1.03
leather handbags uk,248,3998,6.2%,2.56
sheepskin jacket,245,18976,1.29%,12.11
shearling jacket mens,239,11829,2.02%,11.56
ashwood leather gloves,224,821,27.28%,1.1
leather biker jacket women,223,12292,1.81%,9.31
leather jacket men's,218,13143,1.66%,8.23
real leather jacket,209,17133,1.22%,13.18
mens leather jacket,205,25849,0.79%,11.72
mens leather jackets uk,204,6134,3.33%,3.53
the leather company uk,203,1235,16.44%,1.29
real leather jacket women,199,3998,4.98%,4.65
red leather jacket mens,195,7542,2.59%,11.23
leather wash bag,194,8565,2.27%,8.22
bugatti leather jacket,191,2150,8.88%,6.51
leather trench coat,190,17859,1.06%,11.29
leather holdall mens,188,5746,3.27%,4.15
leather bags for women,186,19383,0.96%,19.75
mens sheepskin coat,184,11171,1.65%,8.9
mens leather backpack,175,13644,1.28%,16.55
mens leather holdall,175,8340,2.1%,4.24
full grain leather jacket,174,4458,3.9%,10.62
ladies leather jackets,165,8585,1.92%,10.76
mens leather gloves uk,161,4909,3.28%,4.02
london leather company,161,1557,10.34%,1.83
black leather jacket,156,42316,0.37%,9.41
leather backpack men,156,5781,2.7%,9.52
burgundy leather jacket,155,15542,1%,5.74
mens shearling jacket,155,10608,1.46%,11.81
leather travel bag,154,9993,1.54%,14.91
leather waistcoat,143,15040,0.95%,3.89
mens brown leather jacket,142,10440,1.36%,13.89
ladies leather handbags,142,6371,2.23%,14.7
monomoi,140,634,22.08%,1.39
leather bags,139,18822,0.74%,28.8
mens leather wash bag,138,7217,1.91%,7.16
ashwood,135,16809,0.8%,7.4
leather handbag,134,13624,0.98%,13.44
leather company uk,134,1091,12.28%,1.12
leather backpacks,131,8915,1.47%,11.14
sheepskin jacket mens,131,7345,1.78%,10.92
leather bags uk,131,3193,4.1%,2.96
ashwood gloves,128,558,22.94%,1.11
ashwood leather bag,127,8081,1.57%,4.94
long leather coat,126,11635,1.08%,8.89
men leather jacket,124,11814,1.05%,14.71
red leather gloves,124,6448,1.92%,8.03
ladies sheepskin coat,124,3045,4.07%,3.25
leather trench coat womens,121,6771,1.79%,7.49
ashwood wallet,121,1020,11.86%,1.6
sheepskin coat mens,120,5926,2.02%,8.53
ashwood handbags,118,5806,2.03%,4.74
leather jacket for men,115,13862,0.83%,31.85
shearling coat womens,115,6118,1.88%,8.48
ashwood bags,115,4950,2.32%,3.69
women leather jacket,111,10413,1.07%,15.71
leather jackets uk,111,2914,3.81%,5.18
ashwood leather wallet,110,1097,10.03%,1.44
women's leather jacket,109,9104,1.2%,22.93
brown leather jacket mens,109,8447,1.29%,12.88
mens sheepskin jacket,109,4496,2.42%,11.03
leather purse for women,108,5596,1.93%,24.43
leather man bag,107,8572,1.25%,10.2
brown leather backpack,107,7353,1.46%,11.61
marta ponti handbags,107,427,25.06%,1.72
