Top vs. Other,Keyword status,Keyword,Match type,Campaign,Ad group,Status,Status reasons,Currency code,Max. CPC,Final URL,Mobile final URL,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Conv. value / click,Conv. value (by conv. time),Clicks,Conv. rate,Conv. value,Conv. value / cost,Conversions,Avg. CPC,Cost / conv.
Google search: Other,Enabled,leather blazers,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,1,0,0.00%,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Cross-network,Enabled,leather puffer jacket,Broad match,UK | Leather > General,Leather Jackets (Mens) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Google search: Top,Enabled,black leather blazer,Broad match,UK | Leather > General,Leather Jackets (Mens) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Search partners: Top,Enabled,ladies black leather jacket,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Google search: Top,Enabled,women's leather jackets sale,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Search partners,Enabled,leather blazer women,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,2,0,0.00%,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Cross-network,Enabled,leather blazer women,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Search partners,Enabled,leather gilet,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,3,0,0.00%,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Google search: Other,Enabled,oversized biker jacket,Broad match,UK | Leather > General,Leather Jackets (Mens) [BM],Eligible,,GBP, --,,,0,0, --,0,0.00,0.00,0.00,0,0.00%,0.00,0.00,0.00,0,0.00
Google search: Top,Enabled,black leather biker jacket,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,12,2,16.67%,1.22,2.43,0.00,0.00,2,0.00%,0.00,0.00,0.00,1.22,0.00
Google search: Top,Enabled,womens leather jackets,Broad match,UK | Leather > General,Leather Jackets (Ladies) [BM],Eligible,,GBP, --,,,39,2,5.13%,0.20,0.39,0.00,0.00,2,0.00%,0.00,0.00,0.00,0.20,0.00
