,Organic Google Search query,Organic Google Search clicks,Organic Google Search impressions,Organic Google Search click through rate,Organic Google Search average position,Date
0,leather company,910,10599,0.0858571563355033,2.02320973676762,01-2023
1,mens leather gloves,323,12631,0.02557200538358,4.143773256274246,01-2023
2,the leather company,250,2462,0.1015434606011372,3.435824532900081,01-2023
3,leather jacket women,226,17432,0.012964662689307,8.224242771913723,01-2023
4,leather handbags,188,7963,0.0236091925153836,17.97601406505086,01-2023
5,leather backpack,177,10610,0.0166823751178133,10.479076343072572,01-2023
6,marta ponti bags,167,951,0.1756046267087276,1.8044164037854888,01-2023
7,sheepskin coat,152,10843,0.0140182606289772,7.962833164253436,01-2023
8,trapper leather jacket,152,574,0.2648083623693379,1.156794425087108,01-2023
9,leather gloves men,129,6110,0.0211129296235679,6.223731587561375,01-2023
10,ladies leather jacket,121,5413,0.0223535932015518,6.5935710326990575,01-2023
11,mens leather jackets,111,12209,0.0090916536980915,10.658612498976163,01-2023
12,ashwood leather gloves,102,316,0.3227848101265823,1.0379746835443038,01-2023
13,leather backpack for women,100,5325,0.0187793427230046,16.422159624413148,01-2023
14,leather holdall,100,2875,0.0347826086956521,3.179130434782609,01-2023
15,marta ponti,99,734,0.1348773841961852,3.0572207084468666,01-2023
16,womens leather jackets,96,6262,0.0153305653145959,4.379112104758863,01-2023
17,leather rucksack,95,3051,0.0311373320222877,4.346116027531957,01-2023
18,leather jacket,88,11486,0.0076615009576876,25.22000696500087,01-2023
19,sheepskin coat women,87,1957,0.0444557996934082,5.12212570260603,01-2023
20,leather jackets for women,86,3510,0.0245014245014245,12.294871794871796,01-2023
21,leather handbags for women,85,4422,0.0192220714608774,14.376752600633198,01-2023
22,ashwood leather,84,4863,0.0172732880937692,4.738227431626568,01-2023
23,leather jacket men,79,7650,0.0103267973856209,17.903529411764705,01-2023
24,trapper jacket,78,469,0.1663113006396588,1.953091684434968,01-2023
25,leather wash bag,75,2395,0.0313152400835073,5.703966597077244,01-2023
26,leather jacket mens,72,4962,0.0145102781136638,12.950624748085447,01-2023
27,leather jackets,71,8074,0.0087936586574188,16.073197919246965,01-2023
28,brown leather jacket,63,11557,0.0054512416717141,8.938392316345073,01-2023
29,mens sheepskin coat,61,2616,0.0233180428134556,8.547018348623853,01-2023
30,mens leather backpack,59,3602,0.0163797890061077,10.3364797334814,01-2023
31,mens leather gloves uk,59,1722,0.0342624854819976,3.152148664343786,01-2023
32,leather handbags uk,58,838,0.0692124105011933,2.1050119331742243,01-2023
33,red leather gloves,56,1834,0.0305343511450381,5.724645583424209,01-2023
34,leather jackets for men,55,3249,0.0169282856263465,17.687903970452446,01-2023
35,leather backpack men,54,1694,0.0318772136953955,5.775678866587958,01-2023
36,red leather jacket,53,9983,0.0053090253430832,10.491034759090454,01-2023
37,leather bags,52,4710,0.01104033970276,25.74203821656051,01-2023
