Top pages,Clicks,Impressions,CTR,Position
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25,14538,1432944,1.01%,17.93
https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9,12645,1674452,0.76%,18.22
https://www.leathercompany.co.uk/,11850,312828,3.79%,19.71
https://www.leathercompany.co.uk/handbags-c6,6875,720606,0.95%,23.13
https://www.leathercompany.co.uk/ladies-c3/sheepskin-jackets-c11,5500,382640,1.44%,13.12
https://www.leathercompany.co.uk/handbags-c6/marta-ponti-m38,4662,80981,5.76%,8.83
https://www.leathercompany.co.uk/mens-c4/sheepskin-jackets-c26,4644,317944,1.46%,14.88
https://www.leathercompany.co.uk/handbags-c6/backpacks-c89,4274,416105,1.03%,23.18
https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12,3842,595419,0.65%,29.62
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/trapper-m33,3529,146362,2.41%,7.37
https://www.leathercompany.co.uk/luggage-c7/backpacks-rucksacks-c52,3375,258063,1.31%,17.68
https://www.leathercompany.co.uk/gift-accessories-c8/mens-gloves-c37,2813,233995,1.2%,20.69
https://www.leathercompany.co.uk/handbags-c6/ashwood-c30,2737,215896,1.27%,11.57
https://www.leathercompany.co.uk/luggage-c7/holdall-c15,2546,280881,0.91%,16.3
https://www.leathercompany.co.uk/luggage-c7/wash-toiletry-bags-c55,2500,292659,0.85%,27.71
https://www.leathercompany.co.uk/mens-c4/mens-waistcoats-c58,2206,182129,1.21%,21.45
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/brown-t3,1988,420923,0.47%,14.43
https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/full-length-styles-c92,1778,277633,0.64%,10.93
https://www.leathercompany.co.uk/luggage-c7,1680,250362,0.67%,27.3
https://www.leathercompany.co.uk/size-guide-i9,1455,169671,0.86%,9.39
https://www.leathercompany.co.uk/ladies-c3/ladies-waistcoats-c47,1265,114815,1.1%,27.2
https://www.leathercompany.co.uk/handbags-c6/cross-body-bag-c87,1211,268944,0.45%,34.59
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/3-4-styles-c100,1176,137638,0.85%,7.41
https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/red-t11,1016,297206,0.34%,10.61
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-m1,1004,85061,1.18%,14.7
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/blazer-styles-c98,989,329163,0.3%,14.58
https://www.leathercompany.co.uk/gift-accessories-c8/wallets-c16,919,197411,0.47%,39.57
https://www.leathercompany.co.uk/sheepskin-fur-c5/mens-sheepskin-jackets-c35,898,65787,1.37%,14.66
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/bomber-styles-c99,875,570461,0.15%,19.68
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/red-t11,845,71801,1.18%,13.07
https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/ashwood-m1,830,499552,0.17%,6
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/full-grain-leather-jacket-syh-jumbo-black-petros-p1281,823,33675,2.44%,13.68
https://www.leathercompany.co.uk/luggage-c7/holdall-c15/ashwood-m1,805,107381,0.75%,30.95
https://www.leathercompany.co.uk/mens-c4,792,141802,0.56%,13.98
https://www.leathercompany.co.uk/ashwood-m1,759,66435,1.14%,7.11
https://www.leathercompany.co.uk/handbags-c6/shoulder-bag-c86,756,128699,0.59%,24.94
https://www.leathercompany.co.uk/handbags-c6/navy-t49,749,126445,0.59%,14.84
https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/tan-t25,745,263666,0.28%,7.87
https://www.leathercompany.co.uk/handbags-c6/tan-t25,720,123653,0.58%,14.44
https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/burgundy-t59,711,460300,0.15%,7.47
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/blue-t2,710,73557,0.97%,11.98
https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/3-4-styles-c91,704,301561,0.23%,7.31
https://www.leathercompany.co.uk/gift-accessories-c8/wallets-c16/ashwood-m1,700,43746,1.6%,35.71
https://www.leathercompany.co.uk/map/leather-company-london,677,32549,2.08%,14.47
https://www.leathercompany.co.uk/mens-c4/mens-jackets-coats-c182,669,82545,0.81%,25.8
https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/laptop-messenger-bags-c113,606,205704,0.29%,28.38
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/size-5xl-t29,605,30107,2.01%,21.16
https://www.leathercompany.co.uk/gift-accessories-c8/purses-c36,596,169522,0.35%,30.4
https://www.leathercompany.co.uk/ladies-c3,581,116323,0.5%,9.45
https://www.leathercompany.co.uk/handbags-c6/the-bridge-m7,566,89793,0.63%,9.55
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/leather-jacket-tan-edinburgh-p234,543,488519,0.11%,6.97
https://www.leathercompany.co.uk/sheepskin-fur-c5/sheepskin-hats-c56,533,35731,1.49%,19.21
https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/biker-styles-c97,522,251692,0.21%,16.66
