Landing page,Sessions,Sessions/KeyEvents All,Sessions/KeyEvents Organic,Engagement rate all,Engagement rate organic,Average engagement time per session
/,82464.0,92.66,45.13,0.48,0.52,63.16
/mens-c4/leather-jackets-c25,31487.0,173.96,137.0,0.69,0.75,88.15
/handbags-c6,28569.0,169.05,124.19,0.7,0.76,80.81
/ladies-c3/leather-jackets-c9,21346.0,131.77,124.82,0.71,0.76,102.26
/handbags-c6/backpacks-c89,8514.0,144.31,248.45,0.72,0.74,67.68
/ladies-c3/sheepskin-jackets-c11,7677.0,511.8,303.67,0.72,0.77,87.63
/mens-c4/man-bags-briefcases-c12,7221.0,96.28,150.15,0.75,0.77,95.17
/luggage-c7/holdall-c15,6830.0,80.35,74.25,0.72,0.77,88.85
/ashwood-m1,5213.0,133.67,59.2,0.76,0.81,114.51
/luggage-c7,4711.0,104.69,245.0,0.63,0.74,76.64
/gift-accessories-c8/mens-gloves-c37,3865.0,47.72,47.16,0.78,0.78,68.36
/mens-c4,3848.0,76.96,107.0,0.66,0.76,137.75
/luggage-c7/backpacks-rucksacks-c52,3712.0,168.73,116.89,0.75,0.76,61.78
/handbags-c6/ashwood-c30,3410.0,87.44,94.82,0.78,0.78,123.21
/ladies-c3,3357.0,61.04,19.33,0.56,0.76,122.23
/handbags-c6/cross-body-bag-c87,3082.0,83.3,124.14,0.71,0.78,110.2
/luggage-c7/wash-toiletry-bags-c55,2739.0,35.57,30.82,0.79,0.8,78.42
/handbags-c6/ashwood-m1,2568.0,91.71,25.0,0.87,0.54,145.58
/gift-accessories-c8/wallets-c16,2388.0,74.62,128.4,0.75,0.79,86.45
/mens-c4/mens-waistcoats-c58,2106.0,150.43,91.6,0.72,0.75,72.97
/weekly-deals-c164,1986.0,104.53,110.0,0.63,0.74,101.74
/sheepskin-fur-c5/sheepskin-footwear-c46/fenland-m10,1971.0,32.31,21.58,0.74,0.81,67.76
/sheepskin-fur-c5/mens-sheepskin-jackets-c35,1889.0,377.8,459.0,0.69,0.7,78.29
/gift-accessories-c8/purses-c36,1830.0,53.82,190.5,0.64,0.8,94.85
/mens-c4/man-bags-briefcases-c12/laptop-messenger-bags-c113,1731.0,86.55,121.0,0.68,0.76,82.04
/black-friday-c164,1667.0,53.77,32.14,0.71,0.77,125.8
/ladies-c3/leather-jackets-c9/full-length-styles-c92,1641.0,547.0,436.5,0.68,0.73,46.0
/mens-c4/leather-jackets-c25/brown-t3,1632.0,272.0,232.75,0.71,0.73,55.23
/ladies-c3/ladies-waistcoats-c47,1547.0,309.4,151.5,0.63,0.73,59.19
/mens-c4/leather-jackets-c25/leather-jacket-tan-edinburgh-p234,1499.0,51.69,156.0,0.5,0.69,75.82
/handbags-c6/shoulder-bag-c86,1476.0,105.43,238.5,0.64,0.71,62.27
/mens-c4/mens-jackets-coats-c182,1448.0,131.64,78.5,0.69,0.76,91.47
/gift-accessories-c8/wallets-c16/ashwood-m1,1283.0,49.35,28.0,0.67,0.64,69.12
/contact-us-i3,1252.0,62.6,88.0,0.42,0.52,64.11
/mens-c4/leather-jackets-c25/bomber-styles-c99,1244.0,177.71,231.5,0.71,0.76,86.98
/ladies-c3/leather-jackets-c9/ashwood-m1,1190.0,198.33,113.0,0.72,0.73,81.34
/mens-c4/leather-jackets-c25/3-4-styles-c100,1126.0,125.11,267.0,0.67,0.7,58.89
/gift-accessories-c8/ladies-gloves-c38,1123.0,36.23,36.0,0.68,0.68,70.52
/mens-c4/man-bags-briefcases-c12/backpacks-c116,1024.0,102.4,93.0,0.68,0.68,85.31
/delivery-returns-i5,1021.0,20.42,36.5,0.43,0.47,87.51
/gift-accessories-c8/purses-c36/ashwood-m1,1004.0,111.56,83.5,0.66,0.78,80.48
/mens-c4/man-bags-briefcases-c12/flight-bags-c118,932.0,38.83,83.0,0.65,0.79,112.4
/christmas-deals-2023-c164,891.0,99.0,44.5,0.58,0.73,72.8
/handbags-c6/navy-t49,878.0,146.33,99.6,0.67,0.79,67.46
/mens-c4/leather-jackets-c25/blazer-styles-c98,848.0,282.67,410.0,0.7,0.77,67.42
/luggage-c7/holdall-c15/ashwood-m1,846.0,84.6,89.67,0.71,0.75,94.08
/sheepskin-fur-c5/sheepskin-hats-c56,783.0,87.0,61.2,0.73,0.75,59.86
/mens-c4/leather-jackets-c25/size-5xl-t29,772.0,96.5,129.0,0.76,0.75,86.04
/ladies-c3/leather-jackets-c9/red-t11,758.0,108.29,67.14,0.7,0.72,43.81
/handbags-c6/tan-t25,726.0,363.0,218.0,0.74,0.74,66.2
/ladies-c3/leather-jackets-c9/3-4-styles-c91,723.0,723.0,335.0,0.69,0.73,66.54
/luggage-c7/backpacks-rucksacks-c52/ashwood-m1,719.0,143.8,156.0,0.85,0.76,84.79
/january-sale-2023-c164,693.0,57.75,30.0,0.65,0.79,104.36
/sheepskin-fur-c5/sheepskin-gloves-c28,678.0,42.38,63.5,0.77,0.79,74.3
/ladies-c3/leather-jackets-c9/tan-t25,607.0,151.75,99.75,0.79,0.82,87.4
/ladies-c3/skirts-jeans-c74/jeans-trousers-c128,594.0,297.0,112.5,0.73,0.78,54.06
/mens-c4/leather-jackets-c25/red-t11,561.0,561.0,314.0,0.61,0.62,34.85
/ladies-c3/skirts-jeans-c74/skirts-dresses-c127,550.0,78.57,67.0,0.66,0.73,39.16
/map/leather-company-solihull,509.0,169.67,249.0,0.8,0.82,146.26
/mens-c4/mens-shearling-sheepskin-coat-honey-tan-del-boy-p6074,477.0,238.5,80.0,0.44,0.45,30.54
/ladies-c3/leather-jackets-c9/burgundy-t59,467.0,155.67,85.33,0.63,0.64,51.63
/luggage-c7/manbags-briefcases-c64,463.0,463.0,149.0,0.75,0.81,81.75
/ladies-c3/leather-jackets-c9/navy-t49,460.0,460.0,260.0,0.73,0.76,47.45
/map/leather-company-birmingham-hq,408.0,204.0,69.5,0.57,0.77,69.67
/luggage-c7/holdall-c15/mens-large-leather-weekend-holdall-chestnut-vt-charles-p918,407.0,37.0,88.0,0.5,0.72,54.89
/gift-accessories-c8/ladies-gloves-c38/ashwood-m1,392.0,98.0,167.0,0.69,0.69,70.71
/handbags-c6/ashwood-m1/burgundy-t59,371.0,371.0,246.0,0.71,0.74,40.72
/mens-c4/leather-jackets-c25/leather-coat-timber-brontes-p252,371.0,74.2,67.0,0.52,0.68,73.89
/mens-c4/man-bags-briefcases-c12/ashwood-mens-three-pocket-luxury-small-leather-flight-bag-tan-4551-p653,351.0,16.71,13.6,0.56,0.67,80.45
/handbags-c6/sienna-de-luca-m56,346.0,346.0,164.0,0.57,0.59,34.82
/luggage-c7/suit-carriers-c51/ashwood-m1,331.0,82.75,63.0,0.73,0.76,37.26
/ladies-c3/footwear-c21,319.0,79.75,32.0,0.69,0.7,76.6
/ladies-c3/sheepskin-jackets-c11/long-length-sheepskin-coat-black-sophia-p98,314.0,104.67,12.5,0.28,0.81,40.13
/handbags-c6/yellow-t14,304.0,101.33,51.5,0.37,0.77,46.83
/luggage-c7/wash-toiletry-bags-c55/ashwood-m1,296.0,49.33,175.0,0.8,0.85,74.43
/mens-c4/mens-triple-gusset-heavy-duty-leather-briefcase-chestnut-gareth-p4231,291.0,22.38,3.67,0.41,0.92,62.37
/gift-accessories-c8/ladies-gloves-c38/red-t11,287.0,71.75,63.33,0.73,0.76,43.1
/sheepskin-fur-c5/sheepskin-rugs-c57/ashwood-m1,286.0,95.33,33.0,0.41,0.79,42.4
/handbags-c6/ashwood-m1/green-t6,283.0,94.33,63.67,0.77,0.8,69.72
/gift-accessories-c8/mens-leather-belts-c50,275.0,137.5,14.5,0.63,0.66,49.7
/ladies-c3/sheepskin-jackets-c11/long-length-sheepskin-coat-tan-sophia-p104,274.0,274.0,57.0,0.46,0.58,64.94
