"VS Parent ID","VS Child ID",,"Parent Reference","Child Reference",,"Parent Product Title","Child Product Title",
74,2540,,"00014373","0001437300",,"Leather Jacket Black/ani : Juliet ","Leather Jacket Black/ani : Juliet",
74,459,,"00014373","0001437301",,"Leather Jacket Black/ani : Juliet ","Leather Jacket Black/ani : Juliet",
74,460,,"00014373","0001437302",,"Leather Jacket Black/ani : Juliet ","Leather Jacket Black/ani : Juliet",
74,461,,"00014373","0001437303",,"Leather Jacket Black/ani : Juliet ","Leather Jacket Black/ani : Juliet",
74,462,,"00014373","0001437304",,"Leather Jacket Black/ani : Juliet ","Leather Jacket Black/ani : Juliet",
74,463,,"00014373","0001437305",,"Leather Jacket Black/ani : Juliet ","Leather Jacket Black/ani : Juliet",
74,464,,"00014373","0001437306",,"Leather Jacket Black/ani : Juliet ","Leather Jacket Black/ani : Juliet",
74,465,,"00014373","0001437307",,"Leather Jacket Black/ani : Juliet ","Leather Jacket Black/ani : Juliet",
74,466,,"00014373","0001437308",,"Leather Jacket Black/ani : Juliet ","Leather Jacket Black/ani : Juliet",
74,467,,"00014373","0001437309",,"Leather Jacket Black/ani : Juliet ","Leather Jacket Black/ani : Juliet",
74,2541,,"00014373","0001437310",,"Leather Jacket Black/ani : Juliet ","Leather Jacket Black/ani : Juliet",
74,2542,,"00014373","0001437311",,"Leather Jacket Black/ani : Juliet ","Leather Jacket Black/ani : Juliet",
75,470,,"00018418","0001841802",,"Leather Jacket Brown/nap : Juliet ","Leather Jacket Brown/nap : Juliet",
75,471,,"00018418","0001841803",,"Leather Jacket Brown/nap : Juliet ","Leather Jacket Brown/nap : Juliet",
75,472,,"00018418","0001841804",,"Leather Jacket Brown/nap : Juliet ","Leather Jacket Brown/nap : Juliet",
75,473,,"00018418","0001841805",,"Leather Jacket Brown/nap : Juliet ","Leather Jacket Brown/nap : Juliet",
75,474,,"00018418","0001841806",,"Leather Jacket Brown/nap : Juliet ","Leather Jacket Brown/nap : Juliet",
75,475,,"00018418","0001841807",,"Leather Jacket Brown/nap : Juliet ","Leather Jacket Brown/nap : Juliet",
75,6179,,"00018418","0001841808",,"Leather Jacket Brown/nap : Juliet ","Leather Jacket Brown/nap : Juliet",
75,19604,,"00018418","0001841809",,"Leather Jacket Brown/nap : Juliet ","Leather Jacket Brown/nap : Juliet",
76,2543,,"00014541","0001454100",,"Leather Jacket Black/ddy : Liona","Leather Jacket Black/ddy : Liona",
76,477,,"00014541","0001454101",,"Leather Jacket Black/ddy : Liona","Leather Jacket Black/ddy : Liona",
