Brand,Style,Colour,Size,Description,PLU,EAN,SKU,Comm Code,Unnamed: 9,EAN_temp
ASHWOOD,F-82,BLACK/MUD,,MEDIUM MAN BAG,0003177500,,,,,5060474522069
ASHWOOD,F-82,BRANDY,,MEDIUM MAN BAG,0003177700,,,,,5060474528818
ASHWOOD,F-83,BLACK/MUD,,laptop bag,0003209100,,,,,5060474522090
ASHWOOD,F-83,BRANDY,,laptop bag,0003209200,,,,,5060474522106
ASHWOOD,F-84,BLACK/MUD,,MEDIUM MAN BAG,0003177800,,,,,5060474522113
ASHWOOD,F-85,BLACK/MUD,,SACHAL,0003178100,,,,,5060474522144
ASHWOOD,F-85,BRANDY,,SACHAL,0003178300,,,,,5060474522151
ASHWOOD,F-86,BLACK/MUD,,UNISEX BACKPACK,0003178400,,,,,5060474522175
ASHWOOD,F-86,BRANDY,,UNISEX BACKPACK,0003178600,,,,,5060474522182
ASHWOOD,F-87,BLACK/MUD,,HOLDALL,0003178700,,,,,5060474522205
ASHWOOD,F-87,BRANDY,,HOLDALL,0003178900,,,,,5060474522212
ASHWOOD,HARRY,BLACK,,L44XH31XW26 IN CM,0004471200,,,,,5060999700164
ASHWOOD,HARRY,BRIDGE/VT,,L44XH31XW26 IN CM,0002448900,,,,,5060999700188
ASHWOOD,L-76,COGNAC,ONE SIZE,shopper,0004314000,,,,,5061042995636
