NumberType: GTIN-13,,,,,,,,,
Prefix: 506047452,,,,,,,,,
,,,,,,,,,
Number,Status,Product Name,Description,Main Brand,Sub Brand,Product Link,MPN,SKU,Updated
5060474524001,Active,2080 | COGNAC/VT | Size:ONE SIZE,2080 | COGNAC/VT | Size:ONE SIZE | Mens Leather Washbag Cognac/vt : 2080,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/mens-leather-washbag-cognac-vt-2080-p153,N/A,0000072600,14/01/2020 11:43:39
5060474524322,Active,JOSH | CHESTNUT/VT | Size:ONE SIZE,JOSH | CHESTNUT/VT | Size:ONE SIZE | 14 Inch Vegetable Tanned Leather Satchel Chestnut/ Vt : Josh,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/laptop-messenger-bags-c113/14-inch-vegetable-tanned-leather-satchel-chestnut-vt-josh-p3342,N/A,0000072800,16/01/2020 06:28:58
5060474524223,Active,HARRY | CHESTNUT/VT | Size:ONE SIZE,HARRY | CHESTNUT/VT | Size:ONE SIZE | Medium Weekend Leather Holdall Chestnut/vt : Harry,Ashwood,N/A,https://www.leathercompany.co.uk/luggage-c7/medium-weekend-leather-holdall-chestnut-vt-harry-p614,N/A,0000073000,15/01/2020 06:20:52
5060474524339,Active,MURPHY | CHESTNUT/VT | Size:ONE SIZE,MURPHY | CHESTNUT/VT | Size:ONE SIZE | Mens Small Leather Flight Side Bag Chestnut/vt : Murphy,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/mens-small-leather-flight-side-bag-chestnut-vt-murphy-p668,N/A,0000073400,16/01/2020 06:34:28
5060474523998,Active,2080 | BROWN/TUM | Size:ONE SIZE,2080 | BROWN/TUM | Size:ONE SIZE | Mens Leather Washbag Brown/tum : 2080,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/mens-leather-washbag-brown-tum-2080-p585,N/A,0000074200,14/01/2020 11:41:30
5060474524056,Active,HARRY | BROWN/TUM | Size:ONE SIZE,HARRY | BROWN/TUM | Size:ONE SIZE | Medium Weekend Leather Holdall Brown/tum : Harry,Ashwood,N/A,https://www.leathercompany.co.uk/luggage-c7/medium-weekend-leather-holdall-brown-tum-harry-p613,N/A,0000074700,15/01/2020 05:17:50
5060474524070,Active,JOSH | BROWN/TUM | Size:ONE SIZE,JOSH | BROWN/TUM | Size:ONE SIZE | 14 Inch Leather Satchel Brown : Josh,Ashwood,N/A,https://www.leathercompany.co.uk/luggage-c7/manbags-briefcases-c64/14-inch-leather-satchel-brown-josh-p3341,N/A,0000074900,15/01/2020 05:23:12
5060474524087,Active,MURPHY | BROWN/TUM | Size:ONE SIZE,MURPHY | BROWN/TUM | Size:ONE SIZE | Mens Small Leather Flight Side Bag Brown/tum : Murphy,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/mens-small-leather-flight-side-bag-brown-tum-murphy-p667,N/A,0000075200,15/01/2020 05:25:09
5060474524384,Active,GARETH | MUD/MUD | Size:ONE SIZE,GARETH | MUD/MUD | Size:ONE SIZE | Mens Triple Gusset Heavy Duty Leather Briefcase Mud/mud : Gareth,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/mens-triple-gusset-heavy-duty-leather-briefcase-mud-mud-gareth-p147,N/A,0000075500,16/01/2020 08:48:17
5060474520010,Active,CURVE | BLACK | Size:ONE SIZE,CURVE | BLACK | Size:ONE SIZE | Ashwood Curve  Zip Top Leather Cross Body Bag Black: 63028,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/cross-body-bag-c87/ashwood-curve-zip-top-leather-cross-body-bag-black-63028-p8191,N/A,0000852400,20/01/2017 13:36:51
5060474524513,Active,A4 SLEEVE | BROWN | Size:ONE SIZE,A4 SLEEVE | BROWN | Size:ONE SIZE | Leather Document Holder Brown : A4 Sleeve,Ashwood,N/A,https://www.leathercompany.co.uk/mens-c4/man-bags-briefcases-c12/leather-document-holder-brown-a4-sleeve-p927,N/A,0001322100,16/01/2020 09:36:06
