NumberType: GTIN-13,,,,,,,,,
Prefix: 506082128,,,,,,,,,
,,,,,,,,,
Number,Status,Product Name,Description,Main Brand,Sub Brand,Product Link,MPN,SKU,Updated
5060821289522,Active,62320 | RED | Size:ONE SIZE,62320 | RED | Size:ONE SIZE | Long Handle Leather Shopper Bag Red– 62320,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/ashwood-c30/long-handle-leather-shopper-bag-red-62320-p3519,N/A,0003743700,16/10/2022 12:01:35
5060821289461,Active,62551 | NAVY | Size:ONE SIZE,62551 | NAVY | Size:ONE SIZE | Medium Leather Shoulder Bag  Navy: 62551,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/medium-leather-shoulder-bag-navy-62551-p6660,N/A,0003754800,16/10/2022 11:37:57
5060821289454,Active,62551 | BLACK | Size:ONE SIZE,62551 | BLACK | Size:ONE SIZE | ,Ashwood,N/A,N/A,N/A,0003754900,16/10/2022 11:30:16
5060821289485,Active,62551 | TAN | Size:ONE SIZE,62551 | TAN | Size:ONE SIZE | ,Ashwood,N/A,N/A,N/A,0003755800,16/10/2022 11:43:07
5060821289478,Active,62551 | RED | Size:ONE SIZE,62551 | RED | Size:ONE SIZE | Medium Leather Shoulder Bag Red: 62551,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/ashwood-c30/medium-leather-shoulder-bag-red-62551-p3659,N/A,0003755900,16/10/2022 11:40:08
5060821280222,Active,G-37 | BLACK | Size:ONE SIZE,G-37 | BLACK | Size:ONE SIZE | Mens Leather Washbag Black : G-37,Ashwood,N/A,https://www.leathercompany.co.uk/luggage-c7/wash-toiletry-bags-c55/mens-leather-washbag-black-g-37-p3820,N/A,0003852200,18/08/2020 16:34:58
5060821281427,Active,V-21 | BLACK | Size:ONE SIZE,V-21 | BLACK | Size:ONE SIZE | Vegetable Tanned Small Leather Cross body Shoulder Bag Black  : V-21,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/cross-body-bag-c87/vegetable-tanned-small-leather-cross-body-shoulder-bag-black-v-21-p3827,N/A,0003855700,22/10/2020 15:19:26
5060821281441,Active,V-21 | NAVY | Size:ONE SIZE,V-21 | NAVY | Size:ONE SIZE | ,Ashwood,N/A,N/A,N/A,0003855800,22/10/2020 15:21:12
5060821281434,Active,V-21 | CHESTNUT | Size:ONE SIZE,V-21 | CHESTNUT | Size:ONE SIZE | Vegetable Tanned Small Leather Cross body Shoulder Bag Chestnut : V-21,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/cross-body-bag-c87/vegetable-tanned-small-leather-cross-body-shoulder-bag-chestnut-v-21-p3828,N/A,0003855900,22/10/2020 15:20:16
5060821281458,Active,V-22 | BLACK | Size:ONE SIZE,V-22 | BLACK | Size:ONE SIZE | Vegetable Tanned Leather Bag Black : V-22,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/ashwood-c30/vegetable-tanned-leather-bag-black-v-22-p3830,N/A,0003856000,22/10/2020 15:22:06
5060821281472,Active,V-22 | NAVY | Size:ONE SIZE,V-22 | NAVY | Size:ONE SIZE | Vegetable Tanned Leather Bag Navy : V-22,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/vegetable-tanned-leather-bag-navy-v-22-p3832,N/A,0003856100,22/10/2020 15:23:41
5060821281465,Active,V-22 | CHESTNUT | Size:ONE SIZE,V-22 | CHESTNUT | Size:ONE SIZE | Vegetable Tanned Leather Bag Chestnut : V-22,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/ashwood-c30/vegetable-tanned-leather-bag-chestnut-v-22-p3831,N/A,0003856200,22/10/2020 15:23:00
5060821281489,Active,V-23 | BLACK | Size:ONE SIZE,V-23 | BLACK | Size:ONE SIZE | Vegetable Tanned Leather Bag Black : V-23,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/ashwood-c30/vegetable-tanned-leather-bag-black-v-23-p3833,N/A,0003856300,22/10/2020 15:24:28
