NumberType: GTIN-13,,,,,,,,,
Prefix: 506099970,,,,,,,,,
,,,,,,,,,
Number,Status,Product Name,Description,Main Brand,Sub Brand,Product Link,MPN,SKU,Updated
5060999700188,Active,HARRY | BRIDGE/VT | Size:ONE SIZE,HARRY | BRIDGE/VT | Size:ONE SIZE | Medium Weekend Leather Holdall Bridge/vt : Harry,Ashwood,N/A,https://www.leathercompany.co.uk/luggage-c7/holdall-c15/medium-weekend-leather-holdall-bridge-vt-harry-p6468,N/A,0002448900,14/11/2022 13:22:52
5060999706067,Active,62394 | BLACK | Size:ONE SIZE,62394 | BLACK | Size:ONE SIZE | ,Ashwood,N/A,N/A,N/A,0003714100,28/04/2023 11:00:35
5060999706944,Active,62753 | BOTTLE GREEN | Size:ONE SIZE,62753 | BOTTLE GREEN | Size:ONE SIZE | Crocodile Print Cross Body Bag Bottle Green – 62753,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/ashwood-c30/crocodile-print-cross-body-bag-bottle-green-62753-p3584,N/A,0003753400,23/05/2023 15:41:57
5060999706951,Active,62753 | GRAY | Size:ONE SIZE,62753 | GRAY | Size:ONE SIZE | Crocodile Print Cross Body Bag Grey – 62753,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/ashwood-c30/crocodile-print-cross-body-bag-grey-62753-p3585,N/A,0003753500,23/05/2023 15:43:29
5060999706968,Active,62753 | MUSTARD | Size:ONE SIZE,62753 | MUSTARD | Size:ONE SIZE | Crocodile Print Cross Body Bag Mustard– 62753,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/ashwood-c30/crocodile-print-cross-body-bag-mustard-62753-p3586,N/A,0003753800,23/05/2023 15:46:24
5060999706937,Active,62753 | BLUSH | Size:ONE SIZE,62753 | BLUSH | Size:ONE SIZE | Crocodile Print Cross Body Bag Blush – 62753,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/ashwood-c30/crocodile-print-cross-body-bag-blush-62753-p3583,N/A,0003753900,23/05/2023 15:40:06
5060999706784,Active,G-41 | BLACK | Size:ONE SIZE,G-41 | BLACK | Size:ONE SIZE | Women's Vintage Wash Leather Wallet Purse Black : G-41,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/accessories-c24/purses-c104/womens-vintage-wash-leather-wallet-purse-black-g-41-p4071,N/A,0003934700,16/05/2023 14:04:51
5060999706807,Active,G-41 | TAN | Size:ONE SIZE,G-41 | TAN | Size:ONE SIZE | Women's Vintage Wash Leather Wallet Purse Tan : G-41,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/accessories-c24/purses-c104/womens-vintage-wash-leather-wallet-purse-tan-g-41-p4073,N/A,0003934800,16/05/2023 14:07:52
5060999706791,Active,G-41 | BRANDY | Size:ONE SIZE,G-41 | BRANDY | Size:ONE SIZE | Women's Vintage Wash Leather Wallet Purse Brandy : G-41,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/accessories-c24/purses-c104/womens-vintage-wash-leather-wallet-purse-brandy-g-41-p4072,N/A,0003934900,16/05/2023 14:06:44
5060999706814,Active,G-42 | BLACK | Size:ONE SIZE,G-42 | BLACK | Size:ONE SIZE | Women's Vintage Wash 12 Card Leather  Purse Black : G-42,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/accessories-c24/purses-c104/womens-vintage-wash-12-card-leather-purse-black-g-42-p4074,N/A,0003935000,16/05/2023 14:09:48
5060999706838,Active,G-42 | TAN | Size:ONE SIZE,G-42 | TAN | Size:ONE SIZE | Women's Vintage Wash 12 Card Leather Purse Honey Tan: G-42,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/accessories-c24/purses-c104/womens-vintage-wash-12-card-leather-purse-honey-tan-g-42-p4076,N/A,0003935100,16/05/2023 14:13:03
