NumberType: GTIN-13,,,,,,,,,
Prefix: 506104960,,,,,,,,,
,,,,,,,,,
Number,Status,Product Name,Description,Main Brand,Sub Brand,Product Link,MPN,SKU,Updated
5061049609246,Active,CURVE | TAN | Size:ONE SIZE,CURVE | TAN | Size:ONE SIZE | Ashwood Curve  Zip Top Leather Cross Body Bag Tan: 63028,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/ashwood-curve-zip-top-leather-cross-body-bag-tan-63028-p5620,N/A,0000852900,29/04/2024 10:20:03
5061049606511,Active,10157 | NAVY | Size:6,10157 | NAVY | Size:6 | ,Ashwood,N/A,N/A,N/A,0001583100,18/04/2024 11:26:15
5061049606528,Active,10157 | NAVY | Size:8,10157 | NAVY | Size:8 | Ashwood Leather Women's Two Button Navy Blazer: 10157,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/blazer-styles-c79/ashwood-leather-womens-two-button-navy-blazer-10157-p9127,N/A,0001583101,18/04/2024 11:32:56
5061049606535,Active,10157 | NAVY | Size:10,10157 | NAVY | Size:10 | Ashwood Leather Women's Two Button Navy Blazer: 10157,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/blazer-styles-c79/ashwood-leather-womens-two-button-navy-blazer-10157-p9127,N/A,0001583102,18/04/2024 11:34:18
5061049606542,Active,10157 | NAVY | Size:12,10157 | NAVY | Size:12 | Ashwood Leather Women's Two Button Navy Blazer: 10157,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/blazer-styles-c79/ashwood-leather-womens-two-button-navy-blazer-10157-p9127,N/A,0001583103,18/04/2024 11:34:50
5061049606559,Active,10157 | NAVY | Size:14,10157 | NAVY | Size:14 | Ashwood Leather Women's Two Button Navy Blazer: 10157,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/blazer-styles-c79/ashwood-leather-womens-two-button-navy-blazer-10157-p9127,N/A,0001583104,18/04/2024 11:35:23
5061049606566,Active,10157 | NAVY | Size:16,10157 | NAVY | Size:16 | Ashwood Leather Women's Two Button Navy Blazer: 10157,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/blazer-styles-c79/ashwood-leather-womens-two-button-navy-blazer-10157-p9127,N/A,0001583105,18/04/2024 11:36:35
5061049606573,Active,10157 | NAVY | Size:18,10157 | NAVY | Size:18 | Ashwood Leather Women's Two Button Navy Blazer: 10157,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/blazer-styles-c79/ashwood-leather-womens-two-button-navy-blazer-10157-p9127,N/A,0001583106,18/04/2024 11:37:17
5061049606580,Active,10157 | NAVY | Size:20,10157 | NAVY | Size:20 | Ashwood Leather Women's Two Button Navy Blazer: 10157,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/blazer-styles-c79/ashwood-leather-womens-two-button-navy-blazer-10157-p9127,N/A,0001583107,18/04/2024 11:38:03
5061049606597,Active,10157 | NAVY | Size:22,10157 | NAVY | Size:22 | Ashwood Leather Women's Two Button Navy Blazer: 10157,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/blazer-styles-c79/ashwood-leather-womens-two-button-navy-blazer-10157-p9127,N/A,0001583108,18/04/2024 11:39:00
5061049606603,Active,10157 | NAVY | Size:24,10157 | NAVY | Size:24 | Ashwood Leather Women's Two Button Navy Blazer: 10157,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/blazer-styles-c79/ashwood-leather-womens-two-button-navy-blazer-10157-p9127,N/A,0001583109,18/04/2024 11:39:38
5061049606610,Active,10157 | NAVY | Size:26,10157 | NAVY | Size:26 | ,Ashwood,N/A,N/A,N/A,0001583110,18/04/2024 11:40:20
5061049606627,Active,10157 | NAVY | Size:28,10157 | NAVY | Size:28 | ,Ashwood,N/A,N/A,N/A,0001583111,18/04/2024 11:40:57
5061049604999,Active,79651 | PURPLE | Size:ONE SIZE,79651 | PURPLE | Size:ONE SIZE | Ashwood Leather Croc-embossed Crossbody X Shoulder Bag for Woman Purple: 79651,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/shoulder-bag-c86/ashwood-leather-croc-embossed-crossbody-x-shoulder-bag-for-woman-purple-79651-p8822,N/A,0001990200,21/03/2024 14:03:42
5061049605002,Active,12088 | PURPLE | Size:ONE SIZE,12088 | PURPLE | Size:ONE SIZE | Ashwood Leather Croc-embossed Shoulder Bag for Woman Purple: 12088,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/shoulder-bag-c86/ashwood-leather-croc-embossed-shoulder-bag-for-woman-purple-12088-p8817,N/A,0001991200,21/03/2024 15:07:33
5061049605019,Active,09-192 | PURPLE | Size:ONE SIZE,09-192 | PURPLE | Size:ONE SIZE | Ashwood Leather Croc-embossed Crossbody Bag for Woman Purple: 09-192,Ashwood,N/A,https://www.leathercompany.co.uk/handbags-c6/cross-body-bag-c87/ashwood-leather-croc-embossed-crossbody-bag-for-woman-purple-09-192-p8816,N/A,0001991800,21/03/2024 15:08:58
5061049606399,Active,10157 | BLACK | Size:6,10157 | BLACK | Size:6 | ,Ashwood,N/A,N/A,N/A,0002080400,18/04/2024 11:11:56
5061049606405,Active,10157 | BLACK | Size:8,10157 | BLACK | Size:8 | Ashwood Leather Women's Two Button Black Blazer: 10157,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/blazer-styles-c79/ashwood-leather-womens-two-button-black-blazer-10157-p9126,N/A,0002080401,18/04/2024 11:15:17
5061049606412,Active,10157 | BLACK | Size:10,10157 | BLACK | Size:10 | Ashwood Leather Women's Two Button Black Blazer: 10157,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/blazer-styles-c79/ashwood-leather-womens-two-button-black-blazer-10157-p9126,N/A,0002080402,18/04/2024 11:15:47
5061049606429,Active,10157 | BLACK | Size:12,10157 | BLACK | Size:12 | Ashwood Leather Women's Two Button Black Blazer: 10157,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/blazer-styles-c79/ashwood-leather-womens-two-button-black-blazer-10157-p9126,N/A,0002080403,18/04/2024 11:16:16
5061049606436,Active,10157 | BLACK | Size:14,10157 | BLACK | Size:14 | Ashwood Leather Women's Two Button Black Blazer: 10157,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/blazer-styles-c79/ashwood-leather-womens-two-button-black-blazer-10157-p9126,N/A,0002080404,18/04/2024 11:16:46
5061049606443,Active,10157 | BLACK | Size:16,10157 | BLACK | Size:16 | Ashwood Leather Women's Two Button Black Blazer: 10157,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/blazer-styles-c79/ashwood-leather-womens-two-button-black-blazer-10157-p9126,N/A,0002080405,18/04/2024 11:17:36
5061049606450,Active,10157 | BLACK | Size:18,10157 | BLACK | Size:18 | Ashwood Leather Women's Two Button Black Blazer: 10157,Ashwood,N/A,https://www.leathercompany.co.uk/ladies-c3/leather-jackets-c9/blazer-styles-c79/ashwood-leather-womens-two-button-black-blazer-10157-p9126,N/A,0002080406,18/04/2024 11:18:33
