Number,Product,PLU,On Fashione
5060474526685,G-32 BRANDY BROWN,0003850800,Yes
5060474526715,G-33 BRANDY BROWN,0003851100,Yes
5060474526746,G-34 BRANDY BROWN,0003851400,Yes
5060474524520,A4 SLEEVE CHESTNUT,0001322200,Yes
5060474524513,A4 SLEEVE BROWN,0001322100,Yes
5061049603442,LF-101 ,0005020200,Yes
5061049603459,LF-102 ,0005020300,Yes
5061049603466,LF-103 ,0005020400,Yes
5061049603473,LF-104 ,0005019700,Yes
5061049603480,LF-105 ,0005020500,Yes
5061049603497,LF-106 ,0005020600,Yes
5061049603503,LF-107 ,0005019600,Yes
5061049603510,LF-108 ,0005020700,Yes
5061049603527,LF-109 ,0005020800,Yes
5061049603534,LF-110 ,0005019400,Yes
5061049603541,LF-111 ,0005021800,Yes
5061049603558,LF-112 ,0005022000,Yes
5061049603565,LF-113 ,0005022200,Yes
5061049603572,LF-114 ,0005019500,Yes
5061049603589,LF-115 ,0005019800,Yes
5061049603596,LF-116 ,0005019900,Yes
5061049603602,LF-117 ,0005019000,Yes
5061049603619,LF-118 ,0005021200,Yes
5061049603626,LF-119 ,0005021300,Yes
5061049603633,LF-120 ,0005021400,Yes
5061049603640,LF-121 ,0005021500,Yes
5061049603657,LF-122 ,0005021600,Yes
5061049603664,LF-123 ,0005021700,Yes
5061049603671,LF-124 ,0005022500,Yes
5061049603688,LF-125 ,0005022600,Yes
5061049603695,LF-126 ,0005018300,Yes
5061049603701,LF-127 ,0005018400,Yes
5061049603718,LF-128 ,0005018200,Yes
5061049603725,LF-129 ,0005022700,Yes
5061049603732,LF-130 ,0005022800,Yes
5061049603749,LF-131 ,0005022900,Yes
5061049603756,LF-132 ,0005023000,Yes
5061049603763,LF-133 ,0005023100,Yes
5061049603770,LF-134 ,0005014600,Yes
5061049603787,LF-135 ,0005016300,Yes
5061049603794,LF-136 ,0005014700,Yes
5061049603800,LF-137 ,0005018500,Yes
5061049603817,LF-138 ,0005018100,Yes
5061049603824,LF-139 ,0005015100,Yes
5061049603831,LF-140 ,0005023200,Yes
5061049603848,LF-141 ,0005015300,Yes
5061049603855,LF-142 ,0004872600,Yes
5061049603862,LF-143 ,0004869600,Yes
5061049603879,LF-144 ,0004903400,Yes
5061049603886,LF-145 ,0005015200,Yes
5061049603893,LF-146 ,0005014800,Yes
5061049603909,LF-147 ,0005015800,Yes
5061049603916,LF-148 ,0005016000,Yes
5061049603923,LF-149 ,0005016100,Yes
5061049603930,LF-150 ,0005015000,Yes
5061049603947,LF-151 ,0005015400,Yes
5061049603954,LF-152 ,0005015700,Yes
5061049603961,LF-153 ,0005015500,Yes
5061049603978,LF-154 ,0005016200,Yes
5061049603985,LF-155 ,0005015900,Yes
5061049603992,LF-156 ,0005014900,Yes
5061049604005,LF-157 ,0005023300,Yes
5061049604012,LF-158 ,0005023400,Yes
5061049604029,LF-159 ,0005020000,Yes
5061049604036,LF-160 ,0005020100,Yes
5061049604043,LF-161 ,0005017900,Yes
5061049604050,LF-162 ,0005018000,Yes
5061049604067,LF-163 ,0005019300,Yes
5061049604074,LF-164 ,0005018700,Yes
5061049604081,LF-165 ,0005018800,Yes
5061049604098,LF-166 ,0005018900,Yes
5061049604104,LF-167 ,0005014500,Yes
5061049604135,LF-170 ,0005018600,Yes
5061049604142,LF-171 ,0005015600,Yes
5061049604159,LF-172 ,0005019100,Yes
5061049604166,LF-173 ,0005023500,Yes
5061049604173,LF-174 ,0005019200,Yes
5061049604289,LF-184 ,0005024900,Yes
5061049604296,LF-185 ,0005024800,Yes
5061049604302,LF-186 ,0005024700,Yes
5061049604319,LF-187 ,0005025000,Yes
5061049604326,LF-188 ,0005060400,Yes
5061049604340,LF-189 ,0005068500,Yes
5060474523998,2080 BROWN,0000074200,Yes
5060474524001,2080 COGNAC,0000072600,Yes
5060474524513,A4ZIPFOLDER BROWN,0001322100,Yes
5060474524520,A4ZIPFOLDER CHESTNUT,0001322200,Yes
5060821287269,C-50 BLACK,0004473200,Yes
5060821287276,C-50 GREEN,0004473400,Yes
5060821288563,C-50 TAN,0004148300,Yes
5060999706395,C-51 BORDO,0004151200,Yes
5060999706401,C-51 GREEN,0004149000,Yes
5060999706418,C-51 TAN,0004148700,Yes
5060999706425,C-51 TEAL,0004148800,Yes
5060999703684,C-52 BLACK,0004149300,Yes
5060999706524,C-52 BORDO,0004151300,Yes
5060999703691,C-52 GREEN,0004149400,Yes
5060999706517,C-52 TAN,0004149100,Yes
5060999706500,C-52 TEAL,0004149200,Yes
5060999706531,C-53 BLACK,0004149500,Yes
5060999706548,C-53 BORDO,0004151400,Yes
5060999706555,C-53 GREEN,0004149800,Yes
5060999706562,C-53 TAN,0004149600,Yes
5060999706579,C-53 TEAL,0004149700,Yes
5060999706630,C-55 BLACK,0004150300,Yes
5060999706678,C-55 TEAL,0004150500,Yes
5060999706685,C-56 BLACK,0004150700,Yes
5060999706715,C-56 TAN,0004150800,Yes
5060999706722,C-56 TEAL,0004150900,Yes
5060821288372,C-57 BLACK-CROC,0004508100,Yes
5060821288396,C-57 GREEN-CROC,0004508200,Yes
5060821288389,C-57 TAN-CROC,0004508300,Yes
5060821288518,C-59 BLACK-CROC,0004509000,Yes
5060821288532,C-59 GREEN-CROC,0004509100,Yes
5060821288525,C-59 TAN-CROC,0004509200,Yes
5060999701710,CB-3 YELLOW,0004595700,Yes
5060999707194,CB-5 BLACK,0004786700,Yes
5060999707200,CB-5 BORDEAUX,0004786800,Yes
5060999707217,CB-5 CARVET-GREEN,0004786900,Yes
5060999707224,CB-5 NAVY,0004787000,Yes
5060999707231,CB-5 ORANGE,0004787100,Yes
5060999707248,CB-5 TAN,0004787200,Yes
5060999707255,CB-5 YELLOW,0004787300,Yes
5060999701574,D-90 BRANDY,0005046300,Yes
5060999701598,D-90 GREEN,0004594500,Yes
5060999701581,D-90 TAN,0004594300,Yes
5060999701604,D-91 BRANDY,0004598800,Yes
5060999701628,D-91 GREEN,0004594800,Yes
5060999701611,D-91 TAN,0004594600,Yes
5060999701635,D-92 BRANDY,0004598600,Yes
5060999701659,D-92 GREEN,0004595100,Yes
5060999701642,D-92 TAN,0004594900,Yes
5060999701666,D-93 BRANDY,0004598700,Yes
5060999701680,D-93 GREEN,0004595400,Yes
5060999701673,D-93 TAN,0004595200,Yes
5060999701697,D-95 BRANDY,0004598900,Yes
5060999701710,D-95 GREEN,0004595700,Yes
5060999701703,D-95 TAN,0004595500,Yes
5060474526678,G-32 BLACK,0003850700,Yes
5060474526685,G-32 BRANDY,0003850800,Yes
5060474526708,G-33 BLACK,0003851000,Yes
5060474526715,G-33 BRANDY,0003851100,Yes
5060474526739,G-34 BLACK,0003851300,Yes
5060474526746,G-34 BRANDY,0003851400,Yes
5060474526760,G-36 BLACK,0003851900,Yes
5060821280222,G-37 BLACK,0003852200,Yes
5060474524384,GARETH MUD,0000075500,Yes
5060474523929,HARPER BROWN,0002023100,Yes
5060474524483,HARPER CHESTNUT,0002019800,Yes
5060474524056,HARRY BROWN,0000074700,Yes
5060474524223,HARRY CHESTNUT,0000073000,Yes
5060999702540,J-10 BLACK/LEOPARD,0004281400,Yes
5060999702557,J-10 PEACH-WHIP,0004281500,Yes
5060999702564,J-10 WINTER-SKY,0004281300,Yes
5060999702571,J-10 WOODROSE,0004281600,Yes
5060999702601,J-11 WINTER-SKY,0004281800,Yes
5060999702632,J-12 PEACH-WHIP,0004282300,Yes
5060999702649,J-12 WINTER-SKY,0004282200,Yes
5060999702700,J-14 BLACK,0004283000,Yes
5060999702694,J-14 WOODROSE,0004283100,Yes
5060999702861,J-18 BLACK,0004284000,Yes
5060999702878,J-18 BLUE-ATOLL,0004284200,Yes
5060999702885,J-18 RASPBERRY,0004284100,Yes
5060474524070,JOSH BROWN,0000074900,Yes
5060474524322,JOSH CHESTNUT,0000072800,Yes
5060474524186,LEWIS CHESTNUT,0002022800,Yes
5060474524087,MURPHY BROWN,0000075200,Yes
5060474524339,MURPHY CHESTNUT,0000073400,Yes
5060821281397,V-20 BLACK,0003859000,Yes
5060821281403,V-20 CHESTNUT,0003859100,Yes
5060821281410,V-20 NAVY,0003859200,Yes
5060821281427,V-21 BLACK,0003855700,Yes
5060821281434,V-21 CHESTNUT,0003855900,Yes
5060821281441,V-21 NAVY,0003855800,Yes
5060821281458,V-22 BLACK,0003856000,Yes
5060821281465,V-22 CHESTNUT,0003856200,Yes
5060821281472,V-22 NAVY,0003856100,Yes
5060821281489,V-23 BLACK,0003856300,Yes
5060821281519,V-23 NAVY,0003856400,Yes
5060821281526,V-24 BLACK,0003856600,Yes
5060821280260,V-24 CHESTNUT,0003856800,Yes
5060821281533,V-24 NAVY,0003856700,Yes
5060821281540,V-25 BLACK,0003856900,Yes
5060821281557,V-25 CHESTNUT,0003857100,Yes
5060821281564,V-25 NAVY,0003857000,Yes
5060821281571,V-26 BLACK,0003857200,Yes
5060821281588,V-26 CHESTNUT,0003857400,Yes
5060821281595,V-26 NAVY,0003857300,Yes
5060821281601,V-27 BLACK,0003857500,Yes
5060821281618,V-27 CHESTNUT,0003857700,Yes
5060821281625,V-27 NAVY,0003857600,Yes
5060821281632,V-28 BLACK,0003857800,Yes
5060821281649,V-28 CHESTNUT,0003858000,Yes
5060821282226,V-29 BLACK,0004129300,Yes
5060821282233,V-29 CHESTNUT,0004129500,Yes
5060821282240,V-29 NAVY,0004129400,Yes
5060821282257,V-30 BLACK,0004129600,Yes
5060821282264,V-30 CHESTNUT,0004129800,Yes
5060821282288,V-31 BLACK,0004129900,Yes
5060821282295,V-31 CHESTNUT,0004130100,Yes
5060821282301,V-31 NAVY,0004130000,Yes
5060821282318,V-32 BLACK,0004130200,Yes
5060821282325,V-32 CHESTNUT,0004130400,Yes
5060821282332,V-32 NAVY,0004130300,Yes
5061027912900,401 TAN S,0000204903,No
