Landing page,Sessions,Views,Users,New users,Engagement rate,Average engagement time per session,Conversions,Total revenue,Views / Sessions
/,9950,31352,7709.0,6452.0,46.62%,1m 01s,75.0,"£9,052.20",3.150954773869347
/mens-c4/leather-jackets-c25,1932,6703,1750.0,1446.0,70.55%,1m 30s,8.0,"£1,487.23",3.469461697722567
/ladies-c3/leather-jackets-c9,1854,6251,1637.0,1364.0,68.45%,1m 29s,16.0,"£1,944.13",3.371628910463862
(not set),1852,0,1267.0,5.0,3.94%,7s,8.0,"£1,490.11",0.0
/weekly-deals-c164,1777,2423,1429.0,1237.0,34.50%,10s,0.0,£0.00,1.3635340461451886
/handbags-c6,1575,4678,1409.0,1182.0,66.10%,1m 24s,7.0,£549.45,2.97015873015873
/handbags-c6/backpacks-c89,729,1893,684.0,611.0,65.29%,1m 03s,2.0,£199.99,2.596707818930041
/mens-c4/man-bags-briefcases-c12/mens-vintage-wash-leather-a4-side-bag-rust-7994-p676/s4143,642,1379,530.0,438.0,46.73%,30s,3.0,£237.00,2.14797507788162
/basket,626,2565,422.0,145.0,55.91%,1m 25s,51.0,"£5,143.21",4.097444089456869
/luggage-c7/holdall-c15,609,1964,574.0,522.0,77.01%,1m 16s,5.0,£785.24,3.22495894909688
/mens-c4/man-bags-briefcases-c12/vintage-wash-leather-a4-side-bag-brown-7994-p1342/s6837,596,1128,503.0,406.0,46.64%,18s,4.0,£316.00,1.8926174496644295
/mens-c4/man-bags-briefcases-c12,540,1553,503.0,442.0,74.44%,1m 29s,0.0,£0.00,2.8759259259259258
/handbags-c6/ashwood-c30,514,1887,478.0,426.0,74.71%,1m 51s,0.0,£0.00,3.6712062256809337
/mens-c4,504,2013,473.0,364.0,63.29%,1m 37s,1.0,£139.00,3.994047619047619
/luggage-c7/backpacks-rucksacks-c52,470,1195,438.0,398.0,70.43%,59s,0.0,£0.00,2.5425531914893615
/ladies-c3,465,1936,429.0,302.0,55.05%,1m 42s,6.0,£692.20,4.163440860215053
/handbags-c6/marta-ponti-m38,437,770,401.0,377.0,56.75%,30s,0.0,£0.00,1.7620137299771168
/handbags-c6/ashwood-m1,431,1965,405.0,359.0,85.15%,1m 28s,2.0,£83.97,4.559164733178655
/gift-accessories-c8/wallets-c16,430,1047,402.0,368.0,72.09%,1m 05s,4.0,£171.34,2.4348837209302325
/ladies-c3/sheepskin-jackets-c11,427,1144,388.0,314.0,59.95%,1m 00s,0.0,£0.00,2.6791569086651053
/mens-c4/leather-jackets-c25/biker-styles-c97,399,1243,338.0,249.0,67.67%,1m 16s,0.0,£0.00,3.1152882205513786
/mens-c4/leather-jackets-c25/trapper-m33,398,1007,354.0,318.0,66.33%,52s,1.0,£179.00,2.530150753768844
/handbags-c6/cross-body-bag-c87,388,1332,361.0,293.0,72.68%,1m 31s,4.0,£224.00,3.4329896907216493
/mens-c4/leather-jackets-c25/leather-jacket-tan-edinburgh-p234/s1255,358,597,342.0,252.0,38.27%,25s,0.0,£0.00,1.6675977653631284
/handbags-c6/cross-body-bag-c87/ashwood-leather-crossbody-bag-tan-cb-3-63014-p7229/s21581,357,1311,336.0,299.0,73.11%,1m 10s,5.0,£174.90,3.672268907563025
/ladies-c3/leather-jackets-c9/full-length-styles-c92,356,796,333.0,303.0,63.20%,34s,0.0,£0.00,2.235955056179775
/ladies-c3/womens-leather-biker-jacket-coffee-2810-p6175/s18978,353,900,315.0,279.0,65.72%,47s,5.0,£279.95,2.54957507082153
/mens-c4/leather-jackets-c25/leather-jacket-tan-edinburgh-p234/s1256,348,775,289.0,202.0,64.66%,53s,5.0,£777.55,2.2270114942528734
/ladies-c3/fur-coats-c77/mink-coat-brown-imola-p1417/s7043,321,496,259.0,223.0,25.55%,12s,0.0,£0.00,1.5451713395638629
/ladies-c3/ashwood-leather-crossbody-bag-black-cb-3-63014-p6779/s20113,307,868,277.0,241.0,68.08%,57s,1.0,£34.98,2.8273615635179152
/handbags-c6/tablet-friendly-medium-vintage-leather-bag-brandy-d-91-p6963/s20712,293,979,237.0,168.0,64.51%,55s,1.0,£55.00,3.3412969283276452
/luggage-c7,277,805,257.0,200.0,72.20%,1m 19s,3.0,£614.81,2.9061371841155235
/sheepskin-fur-c5,256,852,233.0,173.0,66.80%,1m 14s,1.0,£43.99,3.328125
/gift-accessories-c8/purses-c36,255,873,240.0,206.0,71.37%,1m 11s,1.0,£34.98,3.4235294117647057
/mens-c4/sheepskin-jackets-c26,251,647,235.0,182.0,54.58%,1m 11s,0.0,£0.00,2.5776892430278884
/ladies-c3/womens-leather-biker-jacket-coffee-2810-p6175/s18977,243,644,231.0,206.0,67.90%,53s,3.0,£161.97,2.6502057613168724
/ashwood-m1,237,1014,226.0,194.0,73.42%,1m 43s,1.0,£69.00,4.2784810126582276
/mens-c4/leather-jackets-c25/biker-styles-c97/vintage-leather-biker-jacket-blue-black-jaxon-p3014/s10592,237,379,188.0,153.0,56.12%,18s,0.0,£0.00,1.59915611814346
