NumberType: GTIN-13,,,,,,,,,
Prefix: 506104960,,,,,,,,,
,,,,,,,,,
Number,Status,Product Name,Description,Main Brand,Sub Brand,Product Link,MPN,SKU,Updated
"=""5061049600007""",Active,TW-27-05-TB /  TAN-LT.BLUE,TW-27-05-TB /  TAN-LT.BLUE,Ashwood,,,,,"=""23/02/2024 10:15:52"""
"=""5061049600014""",Active,TW-27-06-NP / NAVY-PINK,TW-27-06-NP / NAVY-PINK,Ashwood,,,,,"=""23/02/2024 10:16:36"""
"=""5061049600021""",Active,TW-27-07-BR / BLACK-BLK/RED/GREEN,TW-27-07-BR / BLACK-BLK/RED/GREEN,Ashwood,,,,,"=""23/02/2024 10:17:19"""
"=""5061049600038""",Active,TW-27-08-TR / TAN-BLK/RED/GREEN,TW-27-08-TR / TAN-BLK/RED/GREEN,Ashwood,,,,,"=""23/02/2024 10:17:53"""
"=""5061049600045""",Active,TW-27-09-BG / BROWN-GREEN,TW-27-09-BG / BROWN-GREEN,Ashwood,,,,,"=""23/02/2024 10:18:37"""
"=""5061049600052""",Active,TW-27-10-TGNH/ TAN-GREEN,TW-27-10-TGNH/ TAN-GREEN,Ashwood,,,,,"=""23/02/2024 10:19:20"""
"=""5061049600069""",Active,TW-27-011-TN / TAN-NAVY,TW-27-011-TN / TAN-NAVY,Ashwood,,,,,"=""23/02/2024 10:21:14"""
"=""5061049600076""",Active,TW-27-012-BW / BLACK-BLK/WHITE,TW-27-012-BW / BLACK-BLK/WHITE,Ashwood,,,,,"=""23/02/2024 10:20:40"""
"=""5061049600083""",Active,TW-28-01-BM / BROWN-MACLEOD,TW-28-01-BM / BROWN-MACLEOD,Ashwood,,,,,"=""23/02/2024 10:23:10"""
"=""5061049600090""",Active,TW-28-02-TM / TAN-MACLEOD,TW-28-02-TM / TAN-MACLEOD,Ashwood,,,,,"=""23/02/2024 10:24:05"""
"=""5061049600106""",Active,TW-28-03-BW / BLACK-WATCH,TW-28-03-BW / BLACK-WATCH,Ashwood,,,,,"=""23/02/2024 10:24:40"""
"=""5061049600113""",Active,TW-28-04-TW / TAN-WATCH,TW-28-04-TW / TAN-WATCH,Ashwood,,,,,"=""23/02/2024 10:31:02"""
"=""5061049600120""",Active,TW-28-05-TB / TAN-LT.BLUE,TW-28-05-TB / TAN-LT.BLUE,Ashwood,,,,,"=""23/02/2024 10:40:25"""
"=""5061049600137""",Active,TW-28-06-NP / NAVY-PINK,TW-28-06-NP / NAVY-PINK,Ashwood,,,,,"=""23/02/2024 10:41:27"""
"=""5061049600144""",Active,TW-28-07-BR / BLACK-BLK/RED/GREEN,TW-28-07-BR / BLACK-BLK/RED/GREEN,Ashwood,,,,,"=""23/02/2024 10:42:11"""
"=""5061049600151""",Active,TW-28-08-TR / TAN-BLK/RED/GREEN,TW-28-08-TR / TAN-BLK/RED/GREEN,Ashwood,,,,,"=""23/02/2024 10:43:32"""
"=""5061049600168""",Active,TW-28-09-BG / BROWN-GREEN,TW-28-09-BG / BROWN-GREEN,Ashwood,,,,,"=""23/02/2024 10:44:12"""
"=""5061049600175""",Active,TW-28-010-TGNH / TAN-GREEN,TW-28-010-TGNH / TAN-GREEN,Ashwood,,,,,"=""23/02/2024 10:46:53"""
"=""5061049600182""",Active,TW-28-011-TN / TAN-NAVY,TW-28-011-TN / TAN-NAVY,Ashwood,,,,,"=""23/02/2024 10:45:40"""
"=""5061049600199""",Active,TW-28-012-BW / BLACK-BLK/WHITE,TW-28-012-BW / BLACK-BLK/WHITE,Ashwood,,,,,"=""23/02/2024 10:46:15"""
