"Main Reference","Product Name",Brand,Attributes,"Product Reference","Product Model","Sale Price","Regular Price","RRP Price",Categories,"Num. Categories","Stock Message","Stock Level","Total Images","Product Specific Images","On Sale",Active,Discontinued,"Meta Title","Meta Keywords","Meta Description",Weight,"Friendly URL","Image Location"
00001405,"Leather Shirt Jacket Birmingham Black/ant",Ashwood,"Size: XS",0000140502,DM-SHIRT,99.000,189.000,0,"&middot;&nbsp;Mens,Leather Jackets,Offers,Sale For Him,Blouson & Casual Styles<br />",5,,0,5,5,Y,Y,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-leather-shirt-jacket-black-ant-birmingham-p47,https://www.leathercompany.co.uk/images/products/1447679627-03038600.jpg
00001405,"Leather Shirt Jacket Birmingham Black/ant",Ashwood,"Size: S",0000140503,DM-SHIRT,99.000,189.000,0,"&middot;&nbsp;Mens,Leather Jackets,Offers,Sale For Him,Blouson & Casual Styles<br />",5,,2,5,5,Y,Y,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-leather-shirt-jacket-black-ant-birmingham-p47,https://www.leathercompany.co.uk/images/products/1447679627-03038600.jpg
00001405,"Leather Shirt Jacket Birmingham Black/ant",Ashwood,"Size: M",0000140504,DM-SHIRT,99.000,189.000,0,"&middot;&nbsp;Mens,Leather Jackets,Offers,Sale For Him,Blouson & Casual Styles<br />",5,,6,5,5,Y,Y,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-leather-shirt-jacket-black-ant-birmingham-p47,https://www.leathercompany.co.uk/images/products/1447679627-03038600.jpg
00001405,"Leather Shirt Jacket Birmingham Black/ant",Ashwood,"Size: L",0000140505,DM-SHIRT,99.000,189.000,0,"&middot;&nbsp;Mens,Leather Jackets,Offers,Sale For Him,Blouson & Casual Styles<br />",5,,0,5,5,Y,Y,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-leather-shirt-jacket-black-ant-birmingham-p47,https://www.leathercompany.co.uk/images/products/1447679627-03038600.jpg
00001405,"Leather Shirt Jacket Birmingham Black/ant",Ashwood,"Size: XL",0000140506,DM-SHIRT,99.000,189.000,0,"&middot;&nbsp;Mens,Leather Jackets,Offers,Sale For Him,Blouson & Casual Styles<br />",5,,0,5,5,Y,Y,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-leather-shirt-jacket-black-ant-birmingham-p47,https://www.leathercompany.co.uk/images/products/1447679627-03038600.jpg
00001405,"Leather Shirt Jacket Birmingham Black/ant",Ashwood,"Size: 2XL",0000140507,DM-SHIRT,99.000,189.000,0,"&middot;&nbsp;Mens,Leather Jackets,Offers,Sale For Him,Blouson & Casual Styles<br />",5,,0,5,5,Y,Y,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-leather-shirt-jacket-black-ant-birmingham-p47,https://www.leathercompany.co.uk/images/products/1447679627-03038600.jpg
00001405,"Leather Shirt Jacket Birmingham Black/ant",Ashwood,"Size: 3XL",0000140508,DM-SHIRT,99.000,189.000,0,"&middot;&nbsp;Mens,Leather Jackets,Offers,Sale For Him,Blouson & Casual Styles<br />",5,,0,5,5,Y,Y,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-leather-shirt-jacket-black-ant-birmingham-p47,https://www.leathercompany.co.uk/images/products/1447679627-03038600.jpg
00001433,"Leather Shirt Jacket Birmingham D-brown/app",Ashwood,"Size: XS",0000143302,DM-SHIRT,99.000,189.000,0,"&middot;&nbsp;Mens,Leather Jackets,Offers,Sale For Him,Blouson & Casual Styles<br />",5,,0,5,5,Y,Y,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-leather-shirt-jacket-d-brown-app-birmingham-p48,https://www.leathercompany.co.uk/images/products/1447679782-39718500.jpg
00001433,"Leather Shirt Jacket Birmingham D-brown/app",Ashwood,"Size: S",0000143303,DM-SHIRT,99.000,189.000,0,"&middot;&nbsp;Mens,Leather Jackets,Offers,Sale For Him,Blouson & Casual Styles<br />",5,,0,5,5,Y,Y,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-leather-shirt-jacket-d-brown-app-birmingham-p48,https://www.leathercompany.co.uk/images/products/1447679782-39718500.jpg
00001433,"Leather Shirt Jacket Birmingham D-brown/app",Ashwood,"Size: M",0000143304,DM-SHIRT,99.000,189.000,0,"&middot;&nbsp;Mens,Leather Jackets,Offers,Sale For Him,Blouson & Casual Styles<br />",5,,2,5,5,Y,Y,N,Y,Y,Y,0.00,https://www.leathercompany.co.uk/mens-c4/leather-jackets-c25/ashwood-leather-shirt-jacket-d-brown-app-birmingham-p48,https://www.leathercompany.co.uk/images/products/1447679782-39718500.jpg
